Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,50.4544,33.5741,Warrior,61.9403,86.5734,33.6719,14.0208,3.7936,1.8922,200,55.8789,337.0739,926.5948,337.0453,400.4410,604.8114,0.0381,0.0353,Population structure converged. Difference: 0.0458
1,1,50.4544,39.9552,Warrior,61.9403,86.5734,33.6719,14.0208,3.7936,1.8922,200,55.8789,262.4269,742.0914,189.2716,225.3729,498.8595,0.0324,0.0353,Population structure converged. Difference: 0.0458
1,2,50.3828,45.1245,Warrior,61.6208,86.1269,34.5297,13.9485,3.7740,1.8922,200,55.8789,118.0251,475.3058,91.4206,135.7133,305.7990,0.0168,0.0353,Population structure converged. Difference: 0.0458
1,3,53.5276,47.2246,Warrior,73.2661,102.4034,12.0136,7.3927,4.9241,1.8838,200,55.8789,71.4962,242.4614,37.2159,117.2698,132.8931,0.0057,0.0353,Population structure converged. Difference: 0.0458
1,4,54.1286,48.8503,Warrior,73.6899,102.9957,12.0831,7.4355,3.7959,1.8922,200,55.8789,72.3882,138.5954,37.0679,30.4852,66.8224,0.0017,0.0353,Population structure converged. Difference: 0.0458
1,5,54.1286,50.1527,Warrior,73.6899,102.9957,12.0831,7.4355,3.7959,1.8922,200,55.8789,28.0803,45.8701,51.4285,6.6724,25.7405,0.0002,0.0353,Population structure converged. Difference: 0.0458
1,6,55.2430,50.4424,Warrior,70.9174,89.1185,29.8774,6.4336,3.6531,1.8922,200,55.8789,43.2514,71.2729,77.3842,7.8417,29.9622,0.0002,0.0353,Population structure converged. Difference: 0.0458
1,7,55.4856,51.2767,Warrior,71.9943,87.4348,30.3311,6.5313,3.7085,1.8922,200,55.8789,31.7198,65.0607,86.2545,8.7786,1.7945,0.0000,0.0353,Population structure converged. Difference: 0.0458
1,8,55.5282,51.9173,Warrior,72.1894,89.8023,28.0216,6.0340,3.9527,1.8922,200,55.8789,37.6099,59.8194,90.7123,10.6996,1.8979,0.0000,0.0353,Population structure converged. Difference: 0.0458
1,9,55.7208,52.7999,Warrior,73.0388,86.6622,30.0631,6.4736,3.7623,1.8922,200,55.8789,40.5840,58.1980,83.7635,10.6981,0.3518,0.0000,0.0353,Population structure converged. Difference: 0.0458
1,10,55.8789,53.4334,Warrior,73.7543,86.2021,29.8405,6.4257,3.7773,1.8922,200,55.8789,40.9733,47.8165,83.7459,9.2229,0.3078,0.0000,0.0353,Population structure converged. Difference: 0.0458
2,0,45.1375,31.7025,Warrior,84.6701,35.6835,55.9447,15.0942,8.6075,1.8503,200,53.5438,541.3978,337.5600,359.1573,528.8613,351.2264,0.0426,0.0392,Population structure converged. Difference: 0.0445
2,1,48.2084,36.7559,Warrior,94.4261,45.0062,40.1444,10.8241,9.5992,1.8503,200,53.5438,479.3918,200.9455,352.2465,403.7931,305.5313,0.0349,0.0392,Population structure converged. Difference: 0.0445
2,2,48.8945,40.5903,Warrior,84.9588,49.0421,43.7443,11.7948,10.4601,1.8503,200,53.5438,332.8020,90.8115,212.1354,226.4212,170.5799,0.0223,0.0392,Population structure converged. Difference: 0.0445
2,3,49.4796,43.2077,Warrior,80.7716,46.6251,55.2527,8.8497,8.5010,1.8503,200,53.5438,157.1600,62.4076,153.6684,44.5926,121.3451,0.0231,0.0392,Population structure converged. Difference: 0.0445
2,4,50.5074,44.4880,Warrior,84.3488,51.5504,45.9817,9.2417,8.8775,1.8503,200,53.5438,79.2013,35.5934,115.2391,44.8949,39.1108,0.0178,0.0392,Population structure converged. Difference: 0.0445
2,5,51.6719,45.3382,Warrior,95.3480,47.3328,45.6017,1.7852,9.9323,1.8503,200,53.5438,69.0184,38.7647,83.1886,41.0473,46.4358,0.0104,0.0392,Population structure converged. Difference: 0.0445
2,6,52.8789,46.7920,Warrior,87.0645,53.2101,47.6213,1.8441,10.2600,1.8503,200,53.5438,30.7500,22.9407,45.6725,33.5600,10.1914,0.0049,0.0392,Population structure converged. Difference: 0.0445
2,7,53.3460,48.0116,Warrior,87.7572,53.6335,48.0002,1.8588,8.7503,1.8503,200,53.5438,23.9266,23.3929,19.8321,18.1563,7.0053,0.0057,0.0392,Population structure converged. Difference: 0.0445
2,8,53.4387,49.2069,Warrior,87.8950,53.7178,48.0757,1.8617,8.4498,1.8503,200,53.5438,22.1975,22.9065,19.4125,24.7426,5.7817,0.0029,0.0392,Population structure converged. Difference: 0.0445
2,9,53.5438,50.3190,Warrior,89.0065,54.3970,46.1545,1.8852,8.5567,1.8503,200,53.5438,15.7703,21.4165,14.0120,23.1825,4.5762,0.0011,0.0392,Population structure converged. Difference: 0.0445
2,10,53.5438,51.2638,Warrior,89.0065,54.3970,46.1545,1.8852,8.5567,1.8503,200,53.5438,9.1860,16.2927,8.8698,19.1073,2.7402,0.0007,0.0392,Population structure converged. Difference: 0.0445
3,0,46.6860,31.0265,Warrior,58.5945,79.1360,33.3020,4.3902,24.5773,1.9567,200,55.1574,371.6697,519.8230,479.8380,460.7217,339.6707,0.0406,0.0340,Population structure converged. Difference: 0.0466
3,1,48.6463,35.9617,Warrior,75.9408,58.4514,35.0873,4.6256,25.8949,1.9567,200,55.1574,241.9376,475.4884,331.7394,354.3300,286.4625,0.0506,0.0340,Population structure converged. Difference: 0.0466
3,2,49.3518,40.2609,Warrior,67.1629,74.6820,31.4277,3.7281,22.9993,1.9567,200,55.1574,171.8024,335.6365,216.8070,262.1470,169.7353,0.0551,0.0340,Population structure converged. Difference: 0.0466
3,3,49.3518,42.5086,Warrior,67.1629,74.6820,31.4277,3.7281,22.9993,1.9567,200,55.1574,161.3680,252.7043,143.8991,155.6976,180.1208,0.0594,0.0340,Population structure converged. Difference: 0.0466
3,4,51.1335,44.9362,Warrior,63.3410,85.5464,35.9996,6.6716,8.4415,1.9567,200,55.1574,99.4624,162.4831,100.5895,46.7498,122.2429,0.0531,0.0340,Population structure converged. Difference: 0.0466
3,5,52.9120,46.6058,Warrior,71.3037,79.2863,33.3653,7.0829,8.9619,1.9567,200,55.1574,64.5466,98.7467,73.1385,21.5787,88.8877,0.0497,0.0340,Population structure converged. Difference: 0.0466
3,6,54.5364,47.6940,Warrior,72.9981,81.1704,34.1581,4.0520,7.6214,1.9567,200,55.1574,53.0971,105.4152,74.5143,6.7388,109.8483,0.0419,0.0340,Population structure converged. Difference: 0.0466
3,7,54.7502,49.8006,Warrior,79.9916,67.5354,39.8779,4.7305,7.8645,1.9567,200,55.1574,37.0202,100.9318,33.9064,2.5833,74.6228,0.0339,0.0340,Population structure converged. Difference: 0.0466
3,8,55.0345,51.7415,Warrior,80.3574,67.8443,40.0603,4.7522,6.9859,1.9567,200,55.1574,32.3988,88.2289,25.1117,1.7937,54.2116,0.0189,0.0340,Population structure converged. Difference: 0.0466
3,9,55.1574,52.7039,Warrior,76.4023,86.2066,26.4324,3.8554,7.1034,1.9567,200,55.1574,34.9220,57.9324,21.3589,1.8556,27.8573,0.0144,0.0340,Population structure converged. Difference: 0.0466
4,0,48.8408,30.2111,Warrior,66.2834,63.4158,40.7538,7.5031,22.0440,1.8893,200,51.1356,352.9405,460.1549,445.9198,445.2174,366.3429,0.0419,0.0249,Population structure converged. Difference: 0.0472
4,1,48.8408,36.5133,Warrior,66.2834,63.4158,40.7538,7.5031,22.0440,1.8893,200,51.1356,267.9403,239.3584,387.0105,318.5071,184.5624,0.0311,0.0249,Population structure converged. Difference: 0.0472
4,2,49.0271,40.8814,Warrior,65.0442,77.3192,28.8492,1.5759,27.2115,1.8893,200,51.1356,172.4194,217.4195,251.4404,181.9055,100.6939,0.0261,0.0249,Population structure converged. Difference: 0.0472
4,3,51.1356,45.1822,Warrior,72.7716,69.6233,31.6732,1.7301,24.2018,1.8893,200,51.1356,58.0014,146.1732,195.8006,91.6696,38.7855,0.0127,0.0249,Population structure converged. Difference: 0.0472
4,4,51.1356,47.1150,Warrior,72.7716,69.6233,31.6732,1.7301,24.2018,1.8893,200,51.1356,44.1535,93.8597,106.6743,9.4161,30.7490,0.0058,0.0249,Population structure converged. Difference: 0.0472
4,5,51.1356,47.9506,Warrior,72.7716,69.6233,31.6732,1.7301,24.2018,1.8893,200,51.1356,33.1560,55.1027,42.5348,7.6085,11.9115,0.0077,0.0249,Population structure converged. Difference: 0.0472
4,6,51.1356,48.8289,Warrior,72.7716,69.6233,31.6732,1.7301,24.2018,1.8893,200,51.1356,11.1467,22.3314,24.5402,5.3816,4.3045,0.0023,0.0249,Population structure converged. Difference: 0.0472
5,0,48.7724,30.9362,Warrior,79.6299,36.7264,70.6100,9.6215,3.4121,1.8943,200,55.4619,421.3718,416.7698,273.0625,393.9259,337.7933,0.0380,0.0347,Population structure converged. Difference: 0.0391
5,1,54.1902,36.4791,Warrior,75.2151,75.1648,33.5536,11.8604,4.2061,1.8943,200,55.4619,342.0252,214.1016,367.1626,328.2056,408.8989,0.0307,0.0347,Population structure converged. Difference: 0.0391
5,2,55.3029,42.3425,Warrior,76.3732,76.3222,34.0703,9.7697,3.4646,1.8943,200,55.4619,254.7003,216.1482,432.1563,191.8373,418.0869,0.0199,0.0347,Population structure converged. Difference: 0.0391
5,3,55.3029,45.7909,Warrior,76.3732,76.3222,34.0703,9.7697,3.4646,1.8943,200,55.4619,222.7413,276.3540,364.0823,111.6845,371.6418,0.0135,0.0347,Population structure converged. Difference: 0.0391
5,4,55.4113,48.9090,Warrior,77.0627,75.8965,33.8803,9.7152,3.4453,1.8943,200,55.4619,137.9509,251.9202,271.5677,63.0626,214.5391,0.0107,0.0347,Population structure converged. Difference: 0.0391
5,5,55.4069,51.1083,Warrior,77.8129,74.5284,34.3253,9.8428,3.4906,1.8943,200,55.4619,87.3016,190.2704,187.4266,26.5168,145.5098,0.0095,0.0347,Population structure converged. Difference: 0.0391
5,6,55.4069,51.9622,Warrior,77.8129,74.5284,34.3253,9.8428,3.4906,1.8943,200,55.4619,58.5444,167.4709,128.0154,25.1859,55.7121,0.0100,0.0347,Population structure converged. Difference: 0.0391
5,7,55.4619,53.3746,Warrior,77.7288,75.3917,33.6549,9.7625,3.4621,1.8943,200,55.4619,37.0057,98.3826,54.6869,8.9745,27.7804,0.0046,0.0347,Population structure converged. Difference: 0.0391
6,0,50.0806,31.6346,Warrior,77.4645,53.4517,51.7518,5.7921,11.5399,1.9744,200,52.4330,459.0423,423.4890,298.4941,381.5796,381.5836,0.0485,0.0355,Population structure converged. Difference: 0.0453
6,1,50.8394,36.9468,Warrior,68.5371,70.3406,45.7877,5.1246,10.2100,1.9744,200,52.4330,387.7040,385.0182,229.6461,277.9443,379.2546,0.0499,0.0355,Population structure converged. Difference: 0.0453
6,2,51.9966,40.8899,Warrior,78.2199,79.1771,25.3422,5.7683,11.4926,1.9744,200,52.4330,330.4220,301.8891,167.6587,250.5537,378.7873,0.0432,0.0355,Population structure converged. Difference: 0.0453
6,3,51.9100,45.1366,Warrior,77.5631,79.6041,25.4788,5.7994,11.5546,1.9744,200,52.4330,183.1856,177.7501,160.6254,160.3142,181.7049,0.0215,0.0355,Population structure converged. Difference: 0.0453
6,4,51.9042,46.6398,Warrior,80.8489,76.5580,24.5039,6.0451,12.0441,1.9744,200,52.4330,174.4609,115.6822,156.5865,105.6052,132.4709,0.0124,0.0355,Population structure converged. Difference: 0.0453
6,5,51.8528,48.9400,Warrior,90.9696,62.7705,29.7700,4.7805,11.7095,1.9744,200,52.4330,85.7748,113.7631,118.3515,33.3559,74.1602,0.0030,0.0355,Population structure converged. Difference: 0.0453
6,6,52.3957,49.6729,Warrior,79.2647,75.7447,28.5696,4.5877,11.8333,1.9744,200,52.4330,53.1090,96.6623,118.5805,24.4446,42.3013,0.0030,0.0355,Population structure converged. Difference: 0.0453
6,7,52.9964,50.2137,Warrior,79.4520,80.4243,25.7414,4.0437,10.3386,1.9744,200,52.4330,46.0452,82.8456,107.9661,11.1070,34.8035,0.0015,0.0355,Population structure converged. Difference: 0.0453
6,8,52.4330,50.1605,Warrior,91.8292,63.3636,30.0513,4.1787,10.5772,1.9744,200,52.4330,53.9449,72.9749,119.7168,21.3924,53.7603,0.0026,0.0355,Population structure converged. Difference: 0.0453
7,0,55.4722,33.6284,Warrior,66.9012,82.1436,45.7192,0.7727,4.4632,1.8827,200,57.4897,402.4994,696.4235,355.8607,597.3908,577.2473,0.0373,0.0246,Population structure converged. Difference: 0.0436
7,1,55.4722,42.2769,Warrior,66.9012,82.1436,45.7192,0.7727,4.4632,1.8827,200,57.4897,335.2343,637.1561,299.2815,557.8368,610.2131,0.0213,0.0246,Population structure converged. Difference: 0.0436
7,2,55.4722,48.0610,Warrior,66.9012,82.1436,45.7192,0.7727,4.4632,1.8827,200,57.4897,203.5125,407.3510,160.5725,354.4157,485.7834,0.0114,0.0246,Population structure converged. Difference: 0.0436
7,3,57.1120,51.8220,Warrior,83.4138,60.7658,50.2909,0.8161,4.7135,1.8827,200,57.4897,100.1020,138.6787,134.6082,194.5090,216.9144,0.0056,0.0246,Population structure converged. Difference: 0.0436
7,4,57.4485,53.0450,Warrior,75.6230,73.7702,45.5938,0.7398,4.2732,1.8827,200,57.4897,97.8290,118.3359,53.1878,122.6341,206.0995,0.0013,0.0246,Population structure converged. Difference: 0.0436
7,5,57.4498,54.3023,Warrior,80.6011,65.4607,48.5951,0.7886,4.5545,1.8827,200,57.4897,27.5330,64.7996,29.3705,51.9754,42.3697,0.0007,0.0246,Population structure converged. Difference: 0.0436
7,6,57.4897,55.0899,Warrior,80.6497,65.5001,48.6244,0.7890,4.4368,1.8827,200,57.4897,32.9255,57.0984,7.7451,4.0927,14.5490,0.0007,0.0246,Population structure converged. Difference: 0.0436
