Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,53.5534,38.3625,Warrior,90.4242,51.2575,50.1864,7.7594,0.3725,1.8611,200,53.5534,832.0842,172.5337,330.6905,361.8555,678.1637,0.0373,0.0167,Population structure converged. Difference: 0.0022
1,1,53.5534,46.1226,Warrior,90.4242,51.2575,50.1864,7.7594,0.3725,1.8611,200,53.5534,573.2900,122.4106,231.3911,233.0402,682.6513,0.0143,0.0167,Population structure converged. Difference: 0.0022
1,2,53.5534,50.4114,Warrior,90.4242,51.2575,50.1864,7.7594,0.3725,1.8611,200,53.5534,260.3198,66.5974,124.0999,105.5169,293.1092,0.0088,0.0167,Population structure converged. Difference: 0.0022
1,3,53.5534,52.7894,Warrior,90.4242,51.2575,50.1864,7.7594,0.3725,1.8611,200,53.5534,54.8685,18.9765,14.5000,15.7742,144.3162,0.0031,0.0167,Population structure converged. Difference: 0.0022
1,4,53.5534,53.4370,Warrior,90.4242,51.2575,50.1864,7.7594,0.3725,1.8611,200,53.5534,3.1594,1.0152,0.9732,0.0233,15.3984,0.0000,0.0167,Population structure converged. Difference: 0.0022
2,0,53.0053,34.3590,Warrior,101.7655,85.9431,1.3095,7.6714,3.3105,1.9693,200,59.4078,424.1401,369.5180,502.6010,506.1730,363.3708,0.0385,0.0396,Population structure converged. Difference: 0.0087
2,1,53.4611,42.8964,Warrior,102.5358,86.5936,1.3194,6.2157,3.3355,1.9693,200,59.4078,665.9451,373.6236,736.9924,354.8124,201.5919,0.0216,0.0396,Population structure converged. Difference: 0.0087
2,2,54.8113,48.9327,Warrior,85.4619,99.2457,2.1109,7.8449,5.3366,1.9087,200,59.4078,527.6468,301.0866,793.4885,100.0597,68.0794,0.0131,0.0396,Population structure converged. Difference: 0.0087
2,3,55.4057,50.9722,Warrior,101.7655,85.9431,1.3095,7.6714,3.3105,1.9087,200,59.4078,358.5273,248.7988,597.4795,37.1065,41.0704,0.0092,0.0396,Population structure converged. Difference: 0.0087
2,4,56.0731,52.6032,Warrior,94.8964,93.5858,1.2772,7.1536,3.0870,1.9087,200,59.4078,139.3595,147.6309,297.4900,3.3829,13.0704,0.0011,0.0396,Population structure converged. Difference: 0.0087
2,5,56.3662,53.0045,Warrior,81.5208,80.3949,32.4949,3.2310,2.3584,1.9693,200,59.4078,126.2698,117.0039,246.7900,3.2090,11.9621,0.0012,0.0396,Population structure converged. Difference: 0.0087
2,6,59.2739,54.0102,Warrior,89.8784,75.9042,28.6623,2.8500,2.7052,1.9087,200,59.4078,72.1890,54.9805,171.3551,3.3433,5.4362,0.0009,0.0396,Population structure converged. Difference: 0.0087
2,7,59.3734,55.6760,Warrior,85.2237,84.0467,25.7408,2.5595,2.4294,1.9087,200,59.4078,55.0471,68.4509,240.0419,5.0808,0.6714,0.0008,0.0396,Population structure converged. Difference: 0.0087
2,8,59.5393,56.6933,Warrior,92.5115,78.1279,24.5940,2.4454,2.3212,1.9087,200,59.4078,43.7594,66.3489,230.6892,5.6539,0.6055,0.0006,0.0396,Population structure converged. Difference: 0.0087
2,9,59.4809,57.7531,Warrior,90.0412,76.1258,28.8675,2.8704,2.0951,1.9087,200,59.4078,40.7025,52.6283,158.7507,4.4866,0.2669,0.0004,0.0396,Population structure converged. Difference: 0.0087
2,10,59.4078,58.4034,Warrior,92.3342,77.9782,24.5469,2.4408,2.7000,1.9087,200,59.4078,20.9022,31.2149,95.8493,3.2827,0.1440,0.0002,0.0396,Population structure converged. Difference: 0.0087
2,11,59.4078,58.8974,Warrior,92.3342,77.9782,24.5469,2.4408,2.7000,1.9087,200,59.4078,10.1898,16.6259,44.5287,1.0813,0.0832,0.0001,0.0396,Population structure converged. Difference: 0.0087
3,0,44.8276,30.3152,Warrior,69.2944,84.9383,10.1217,21.9956,13.6500,1.9758,200,56.4594,472.5969,448.9716,629.2279,403.7902,405.4083,0.0518,0.0415,Population structure converged. Difference: 0.0088
3,1,47.3880,36.5479,Warrior,77.0184,76.3648,14.2750,31.0212,1.3206,1.9529,200,56.4594,350.7496,385.1592,536.1026,231.8171,230.4396,0.0642,0.0415,Population structure converged. Difference: 0.0088
3,2,48.0179,41.2066,Warrior,80.5935,81.5235,9.7148,14.7914,13.3767,1.9758,200,56.4594,216.5160,269.0150,252.5525,78.3843,123.7780,0.0510,0.0415,Population structure converged. Difference: 0.0088
3,3,52.4063,43.9650,Warrior,75.8484,75.2047,30.6322,17.0141,1.3006,1.9529,200,56.4594,118.2607,255.8025,162.6630,71.4149,140.8291,0.0326,0.0415,Population structure converged. Difference: 0.0088
3,4,52.5220,46.6170,Warrior,76.1315,75.4853,30.2794,16.8182,1.2856,1.9529,200,56.4594,60.3660,173.7186,121.7074,34.6744,122.2343,0.0183,0.0415,Population structure converged. Difference: 0.0088
3,5,52.7688,49.1529,Warrior,74.3663,80.5798,28.1969,15.6615,1.1956,1.9529,200,56.4594,39.4140,136.9018,97.1571,18.0782,71.0616,0.0058,0.0415,Population structure converged. Difference: 0.0088
3,6,52.9146,50.2799,Warrior,75.0498,80.2634,27.9662,15.5333,1.1874,1.9529,200,56.4594,34.8769,96.7849,67.0071,10.1433,48.4557,0.0038,0.0415,Population structure converged. Difference: 0.0088
