Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,45.4100,37.0251,Warrior,69.9530,43.2272,59.8372,11.9698,15.0129,1.8484,200,54.3662,310.0996,303.2894,477.2458,291.5207,335.6664,0.0289,0.0935,Population structure converged. Difference: 0.0090
1,1,45.5321,44.5845,Warrior,68.2979,44.3989,61.4592,11.4646,14.3793,1.8484,200,54.3662,37.3341,37.8231,120.4486,25.3043,31.8155,0.0019,0.0935,Population structure converged. Difference: 0.0090
1,2,48.3549,45.0783,Warrior,85.8574,82.0062,10.2587,15.4551,6.4225,1.8104,200,54.3662,5.3431,23.0417,62.4072,7.5120,4.2723,0.0001,0.0935,Population structure converged. Difference: 0.0090
1,3,49.3169,45.2300,Warrior,75.2533,89.6248,11.2117,16.8910,7.0192,1.8484,200,54.3662,10.9401,59.8175,138.0407,7.9864,5.7605,0.0001,0.0935,Population structure converged. Difference: 0.0090
1,4,50.5075,45.9970,Warrior,85.6021,81.7623,10.2282,15.4092,6.9983,1.8484,200,54.3662,29.9317,272.3458,503.2967,2.1125,8.0992,0.0002,0.0935,Population structure converged. Difference: 0.0090
1,5,50.5075,47.7230,Warrior,85.6021,81.7623,10.2282,15.4092,6.9983,1.8484,200,54.3662,53.4096,346.5214,588.1911,4.0477,8.6769,0.0004,0.0935,Population structure converged. Difference: 0.0090
1,6,50.6336,49.1016,Warrior,85.8073,81.9584,10.2527,15.4461,6.5355,1.8484,200,54.3662,31.4605,77.4708,90.5526,1.2920,1.9818,0.0003,0.0935,Population structure converged. Difference: 0.0090
1,7,50.9976,49.6098,Warrior,77.8423,92.7082,10.6116,13.3078,5.5302,1.8484,200,54.3662,28.4833,20.1180,12.9155,1.4983,0.2940,0.0002,0.0935,Population structure converged. Difference: 0.0090
1,8,51.4207,50.1710,Warrior,78.3620,93.3272,10.6824,12.0613,5.5671,1.8484,200,54.3662,23.2358,24.6501,25.4468,1.1112,0.2471,0.0001,0.0935,Population structure converged. Difference: 0.0090
1,9,51.4207,50.3802,Warrior,78.3620,93.3272,10.6824,12.0613,5.5671,1.8484,200,54.3662,18.1762,18.6826,21.2865,0.9813,0.2002,0.0000,0.0935,Population structure converged. Difference: 0.0090
1,10,52.2606,50.5683,Warrior,84.4780,88.6862,10.0839,11.4615,5.2903,1.8484,200,54.3662,14.9760,18.5160,37.5713,1.4603,0.2578,0.0000,0.0935,Population structure converged. Difference: 0.0090
1,11,52.2606,50.8171,Warrior,84.4780,88.6862,10.0839,11.4615,5.2903,1.8484,200,54.3662,19.0303,37.2392,81.0382,2.5875,0.3824,0.0000,0.0935,Population structure converged. Difference: 0.0090
1,12,52.2606,51.2376,Warrior,84.4780,88.6862,10.0839,11.4615,5.2903,1.8484,200,54.3662,22.8620,62.0379,114.6877,3.5192,0.4076,0.0000,0.0935,Population structure converged. Difference: 0.0090
