Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,59.1042,39.6898,Warrior,84.4931,99.6606,14.0345,1.3717,0.4402,1.9352,200,60.3149,344.3061,656.6303,351.9588,449.8528,467.0573,0.0447,0.0097,Population structure converged. Difference: 0.0314
1,1,59.3135,54.9914,Warrior,81.0470,95.5959,21.6191,1.3157,0.4222,1.9352,200,60.3149,112.2871,385.2577,95.4328,166.9912,129.2033,0.0121,0.0097,Population structure converged. Difference: 0.0314
1,2,60.3149,58.4772,Warrior,89.3459,84.3176,24.4205,1.4505,0.4655,1.9352,200,60.3149,34.8678,52.0073,7.5423,8.2879,9.9947,0.0038,0.0097,Population structure converged. Difference: 0.0314
2,0,45.4657,33.8790,Warrior,78.9122,83.5802,13.8387,8.8060,14.8629,1.4456,200,57.1110,535.3535,397.6931,342.3617,362.6677,274.1752,0.0451,0.0184,Population structure converged. Difference: 0.0271
2,1,54.1979,40.8350,Warrior,96.2168,75.5526,12.5096,12.9962,2.7248,1.8920,200,57.1110,494.3121,472.4077,347.0670,101.1898,215.6677,0.0482,0.0184,Population structure converged. Difference: 0.0271
2,2,56.8670,45.8512,Warrior,99.9705,78.5001,12.9976,5.7007,2.8311,1.8920,200,57.1110,253.7019,482.2555,352.1470,33.8511,87.6384,0.0529,0.0184,Population structure converged. Difference: 0.0271
2,3,56.8670,51.9263,Warrior,99.9705,78.5001,12.9976,5.7007,2.8311,1.8920,200,57.1110,66.2798,125.9009,103.9114,7.5388,37.0154,0.0205,0.0184,Population structure converged. Difference: 0.0271
2,4,56.8670,54.1254,Warrior,99.9705,78.5001,12.9976,5.7007,2.8311,1.8920,200,57.1110,40.3492,25.2665,69.0371,9.7405,18.8081,0.0061,0.0184,Population structure converged. Difference: 0.0271
2,5,57.1110,55.6064,Warrior,96.6593,81.0987,13.4279,5.8894,2.9248,1.8920,200,57.1110,49.3333,21.0764,91.4856,8.7765,10.0382,0.0020,0.0184,Population structure converged. Difference: 0.0271
3,0,46.7207,34.5404,Warrior,79.0545,32.9165,73.7519,9.7384,4.5387,1.9493,200,57.6934,415.7528,433.9433,339.7787,342.3393,423.6173,0.0500,0.0143,Population structure converged. Difference: 0.0485
3,1,48.6289,41.1855,Warrior,80.7090,53.0674,50.5957,10.8833,4.7447,1.9876,200,57.6934,395.0701,245.6032,176.3862,88.5467,188.8908,0.0398,0.0143,Population structure converged. Difference: 0.0485
3,2,57.6934,44.6283,Warrior,85.9653,67.3503,40.7585,1.8918,4.0341,1.9493,200,57.6934,234.4138,221.3329,287.8555,48.3816,70.8607,0.0103,0.0143,Population structure converged. Difference: 0.0485
3,3,57.6934,49.1041,Warrior,85.9653,67.3503,40.7585,1.8918,4.0341,1.9493,200,57.6934,99.4275,244.4910,335.0140,42.0273,51.7273,0.0017,0.0143,Population structure converged. Difference: 0.0485
3,4,57.6934,55.0239,Warrior,85.9653,67.3503,40.7585,1.8918,4.0341,1.9493,200,57.6934,52.4821,124.8306,96.4676,31.9530,24.9125,0.0002,0.0143,Population structure converged. Difference: 0.0485
4,0,49.7970,36.1921,Warrior,89.3096,87.6046,14.6182,7.6326,0.8351,1.4442,200,50.2398,317.3538,543.6144,375.4909,407.4107,376.6428,0.0286,0.0119,Population structure converged. Difference: 0.0481
4,1,49.7970,43.5984,Warrior,89.3096,87.6046,14.6182,7.6326,0.8351,1.4442,200,50.2398,185.3525,344.5093,330.0998,141.0442,117.9715,0.0211,0.0119,Population structure converged. Difference: 0.0481
4,2,50.1643,46.2843,Warrior,89.7757,88.0617,14.6945,5.9647,1.5034,1.4442,200,50.2398,92.8699,157.3555,266.7615,37.1476,38.5599,0.0073,0.0119,Population structure converged. Difference: 0.0481
4,3,50.2398,47.9361,Warrior,77.6163,76.1345,40.9556,4.5679,0.7257,1.4442,200,50.2398,91.0499,96.9585,244.3257,5.1621,27.7344,0.0054,0.0119,Population structure converged. Difference: 0.0481
5,0,41.1387,32.0882,Warrior,102.2923,50.2779,31.6939,0.3578,15.3781,1.6454,200,55.4359,494.6127,374.1813,249.5983,320.9672,341.0961,0.0390,0.0281,Population structure converged. Difference: 0.0458
5,1,41.1387,36.6692,Warrior,102.2923,50.2779,31.6939,0.3578,15.3781,1.6454,200,55.4359,534.9820,133.8233,104.8267,283.6182,250.6754,0.0305,0.0281,Population structure converged. Difference: 0.0458
5,2,44.2695,40.1341,Warrior,82.5513,62.5913,42.1583,0.2888,12.4103,1.6454,200,55.4359,298.2116,24.3983,19.8865,149.9912,59.9205,0.0091,0.0281,Population structure converged. Difference: 0.0458
5,3,49.5500,41.0215,Warrior,83.9198,63.6289,42.8572,0.2936,9.3005,1.4407,200,55.4359,79.8951,19.6016,6.4329,70.9318,25.7011,0.0045,0.0281,Population structure converged. Difference: 0.0458
5,4,51.2879,43.0808,Warrior,97.1061,52.9466,33.3762,0.3768,16.1943,1.8564,200,55.4359,44.3981,44.4704,24.2573,0.0026,34.1603,0.0136,0.0281,Population structure converged. Difference: 0.0458
5,5,52.2394,46.5089,Warrior,105.5331,51.8708,32.6980,0.3029,9.5952,1.8564,200,55.4359,47.1415,75.5217,34.2424,0.0060,22.3286,0.0269,0.0281,Population structure converged. Difference: 0.0458
5,6,55.4359,48.7785,Warrior,93.2397,67.7635,28.8891,0.3093,9.7984,1.8564,200,55.4359,48.5235,73.6634,26.7908,0.0050,22.8159,0.0385,0.0281,Population structure converged. Difference: 0.0458
5,7,55.4359,50.5047,Warrior,93.2397,67.7635,28.8891,0.3093,9.7984,1.8564,200,55.4359,44.0444,68.5824,30.3822,0.0037,15.5454,0.0405,0.0281,Population structure converged. Difference: 0.0458
5,8,55.4359,53.0101,Warrior,93.2397,67.7635,28.8891,0.3093,9.7984,1.8564,200,55.4359,28.2998,66.6348,33.2874,0.0044,7.7693,0.0157,0.0281,Population structure converged. Difference: 0.0458
6,0,47.3763,34.3548,Warrior,92.3152,53.9615,24.8616,26.5337,2.3280,1.8857,200,56.5617,345.2275,343.3475,368.2742,303.3036,468.6058,0.0395,0.0291,Population structure converged. Difference: 0.0153
6,1,48.3412,41.1075,Warrior,59.5866,74.7838,42.8332,18.6252,4.1712,1.9028,200,56.5617,347.8735,164.8997,311.5010,166.8521,260.9547,0.0293,0.0291,Population structure converged. Difference: 0.0153
6,2,53.5160,44.7966,Warrior,73.2137,105.6969,8.6772,7.2870,5.1251,1.9028,200,56.5617,228.0615,114.4870,134.1237,80.6651,81.7449,0.0156,0.0291,Population structure converged. Difference: 0.0153
6,3,56.4029,47.5611,Warrior,87.0592,95.3107,7.8246,7.2372,2.5684,1.8958,200,56.5617,168.1735,255.0787,103.4336,51.5602,38.7611,0.0008,0.0291,Population structure converged. Difference: 0.0153
6,4,56.4029,50.5197,Warrior,87.0592,95.3107,7.8246,7.2372,2.5684,1.8958,200,56.5617,119.7753,454.8230,171.3153,62.3679,14.8127,0.0006,0.0291,Population structure converged. Difference: 0.0153
6,5,56.5617,53.6917,Warrior,94.0931,88.2906,7.2482,6.0870,4.2811,1.9028,200,56.5617,86.1836,299.3393,113.8970,31.6824,3.4011,0.0000,0.0291,Population structure converged. Difference: 0.0153
6,6,56.5617,55.7083,Warrior,94.0931,88.2906,7.2482,6.0870,4.2811,1.9028,200,56.5617,38.8450,58.9673,25.1352,3.1154,1.2760,0.0000,0.0291,Population structure converged. Difference: 0.0153
7,0,44.5388,33.6794,Warrior,65.9922,52.9975,40.3081,15.2874,25.4149,1.9539,200,44.5388,256.0813,368.1419,288.7232,231.1334,222.4859,0.0405,0.0148,Population structure converged. Difference: 0.0283
7,1,44.5388,40.5754,Warrior,65.9922,52.9975,40.3081,15.2874,25.4149,1.9539,200,44.5388,134.8001,189.9837,177.1248,73.5206,45.2795,0.0162,0.0148,Population structure converged. Difference: 0.0283
7,2,44.5388,43.3133,Warrior,65.9922,52.9975,40.3081,15.2874,25.4149,1.9539,200,44.5388,38.1081,58.9600,54.5640,40.8472,20.9174,0.0047,0.0148,Population structure converged. Difference: 0.0283
8,0,44.7235,33.9395,Warrior,60.8887,70.2178,54.2500,8.6318,6.0117,1.7780,200,53.3757,114.8271,542.5927,381.9993,281.4298,406.9142,0.0372,0.0328,Population structure converged. Difference: 0.0406
