Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,51.0781,32.2649,Warrior,79.0847,48.4621,51.7162,6.5038,14.2333,1.9066,200,54.7357,234.9726,409.4036,336.0783,336.3007,311.7493,0.0399,0.0283,Population structure converged. Difference: 0.0081
1,1,51.0781,36.6568,Warrior,79.0847,48.4621,51.7162,6.5038,14.2333,1.9066,200,54.7357,136.7336,234.2156,286.7615,190.5113,161.1278,0.0396,0.0283,Population structure converged. Difference: 0.0081
1,2,53.7101,41.2571,Warrior,85.4460,61.7622,33.1691,2.3205,17.3023,1.9066,200,54.7357,90.8933,114.8472,250.6935,155.8223,89.5665,0.0411,0.0283,Population structure converged. Difference: 0.0081
1,3,53.7101,46.2980,Warrior,85.4460,61.7622,33.1691,2.3205,17.3023,1.9066,200,54.7357,52.8686,69.2893,171.7860,108.2261,55.7818,0.0104,0.0283,Population structure converged. Difference: 0.0081
1,4,53.8084,49.6685,Warrior,81.9005,63.9612,34.3501,2.3400,17.4482,1.9066,200,54.7357,33.0330,37.9321,87.6740,34.9920,33.6416,0.0023,0.0283,Population structure converged. Difference: 0.0081
1,5,54.7163,51.2854,Warrior,83.4057,65.1367,34.0637,2.3830,15.0109,1.9066,200,54.7357,15.8168,35.8347,79.0729,8.9699,11.6907,0.0001,0.0283,Population structure converged. Difference: 0.0081
1,6,54.7258,52.4828,Warrior,83.7265,64.9575,33.9699,2.3765,14.9696,1.9066,200,54.7357,8.6126,43.6849,76.7410,4.0532,7.8026,0.0000,0.0283,Population structure converged. Difference: 0.0081
1,7,54.7357,53.4567,Warrior,83.6097,65.0458,34.0161,2.3797,14.9487,1.9066,200,54.7357,3.8022,19.3266,29.2320,1.5582,2.2201,0.0000,0.0283,Population structure converged. Difference: 0.0081
1,8,54.7357,53.9601,Warrior,83.6097,65.0458,34.0161,2.3797,14.9487,1.9066,200,54.7357,1.6911,3.5423,2.9090,0.1767,1.0133,0.0000,0.0283,Population structure converged. Difference: 0.0081
1,9,54.7357,54.2954,Warrior,83.6097,65.0458,34.0161,2.3797,14.9487,1.9066,200,54.7357,0.5583,1.2695,0.1019,0.0015,1.2645,0.0000,0.0283,Population structure converged. Difference: 0.0081
