Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,45.9677,32.0628,Warrior,79.2223,39.6309,65.7318,8.7777,6.6373,1.8165,200,56.1617,306.3644,283.7745,430.3730,321.0144,318.5166,0.0320,0.0368,Population structure converged. Difference: 0.0238
1,1,46.8951,38.1486,Warrior,61.2322,57.5947,53.8858,0.6434,26.6439,1.8630,200,56.1617,123.1472,174.1581,337.4756,205.4236,222.0718,0.0187,0.0368,Population structure converged. Difference: 0.0238
1,2,55.6585,42.4184,Warrior,73.0972,91.5279,28.7652,0.9956,5.6141,1.8630,200,56.1617,102.7978,174.3845,238.7575,119.1554,129.6733,0.0084,0.0368,Population structure converged. Difference: 0.0238
1,3,55.6585,45.5315,Warrior,73.0972,91.5279,28.7652,0.9956,5.6141,1.8630,200,56.1617,70.2105,146.5562,154.8193,56.9308,77.1924,0.0012,0.0368,Population structure converged. Difference: 0.0238
1,4,55.6585,47.8642,Warrior,73.0972,91.5279,28.7652,0.9956,5.6141,1.8630,200,56.1617,50.6021,267.4094,134.0425,19.1735,54.7906,0.0009,0.0368,Population structure converged. Difference: 0.0238
1,5,56.1617,52.4393,Warrior,75.2862,89.9491,28.2690,0.9784,5.5173,1.8630,200,56.1617,38.6382,314.0574,235.5095,9.1425,29.7942,0.0003,0.0368,Population structure converged. Difference: 0.0238
1,6,56.1617,54.8557,Warrior,75.2862,89.9491,28.2690,0.9784,5.5173,1.8630,200,56.1617,17.2793,174.3930,163.9404,1.5189,4.3458,0.0001,0.0368,Population structure converged. Difference: 0.0238
2,0,45.7853,32.1140,Warrior,65.1857,85.4333,36.2221,6.0557,7.1032,1.4848,200,48.8989,245.2928,463.3545,339.5380,287.9352,333.9197,0.0395,0.0323,Population structure converged. Difference: 0.0474
2,1,45.7853,37.3302,Warrior,65.1857,85.4333,36.2221,6.0557,7.1032,1.4848,200,48.8989,212.2311,354.5575,359.6313,168.4160,109.6720,0.0238,0.0323,Population structure converged. Difference: 0.0474
2,2,47.0108,40.8261,Warrior,75.0585,85.8884,23.9012,6.9729,8.1791,1.4848,200,48.8989,146.2003,202.0711,276.9924,82.3466,74.0825,0.0270,0.0323,Population structure converged. Difference: 0.0474
2,3,48.8989,44.5090,Warrior,86.5101,79.8981,22.2342,3.9447,7.4128,1.4848,200,48.8989,38.8114,107.4626,85.7889,9.7501,40.6134,0.0097,0.0323,Population structure converged. Difference: 0.0474
2,4,48.8989,45.7625,Warrior,86.5101,79.8981,22.2342,3.9447,7.4128,1.4848,200,48.8989,34.6639,47.6342,57.9118,2.3167,12.5311,0.0082,0.0323,Population structure converged. Difference: 0.0474
2,5,48.8989,46.6862,Warrior,86.5101,79.8981,22.2342,3.9447,7.4128,1.4848,200,48.8989,71.8958,93.5347,140.9712,1.0955,15.2730,0.0176,0.0323,Population structure converged. Difference: 0.0474
3,0,43.3818,31.1720,Warrior,63.5916,50.5264,59.6681,19.8689,6.3450,1.8260,200,51.0350,214.8616,383.1912,357.4541,256.4032,316.7429,0.0297,0.0419,Population structure converged. Difference: 0.0328
3,1,45.6151,34.9826,Warrior,74.6838,56.9426,45.7141,7.4262,15.2333,1.7774,200,51.0350,115.3469,397.7155,471.1531,139.0530,274.3717,0.0200,0.0419,Population structure converged. Difference: 0.0328
3,2,45.6151,38.2563,Warrior,74.6838,56.9426,45.7141,7.4262,15.2333,1.7774,200,51.0350,91.8737,554.4018,592.0126,115.3226,215.1775,0.0131,0.0419,Population structure converged. Difference: 0.0328
3,3,46.6759,41.1605,Warrior,67.9689,59.6892,49.5353,16.4948,6.3119,1.8260,200,51.0350,118.2864,211.9998,468.4079,67.4626,163.6685,0.0029,0.0419,Population structure converged. Difference: 0.0328
3,4,50.7637,43.4466,Warrior,78.1572,59.5909,47.8401,7.7716,6.6401,1.8260,200,51.0350,82.3444,57.9619,232.9723,39.8603,106.0742,0.0009,0.0419,Population structure converged. Difference: 0.0328
