Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,50.1992,30.9099,Warrior,72.7968,52.2633,57.1607,17.7703,0.0090,1.9097,200,57.4465,223.3148,476.6519,457.7296,327.7165,390.9368,0.0367,0.0337,Population structure converged. Difference: 0.0082
1,1,50.6136,35.6385,Warrior,92.7712,31.5417,72.8448,2.8309,0.0115,1.9097,200,57.4465,162.5618,299.4243,390.7557,236.3061,310.0137,0.0374,0.0337,Population structure converged. Difference: 0.0082
1,2,51.8701,40.9801,Warrior,77.5715,41.2290,77.4898,3.7004,0.0093,1.9097,200,57.4465,187.7902,242.0113,201.0997,132.2302,268.6317,0.0190,0.0337,Population structure converged. Difference: 0.0082
1,3,56.4676,45.3769,Warrior,78.6724,56.4816,61.7742,3.0594,0.0124,1.9097,200,57.4465,222.5685,168.5924,139.3594,81.7501,170.1375,0.0143,0.0337,Population structure converged. Difference: 0.0082
1,4,56.4676,49.2023,Warrior,78.6724,56.4816,61.7742,3.0594,0.0124,1.9097,200,57.4465,167.7820,145.0159,127.7811,64.2469,71.6568,0.0113,0.0337,Population structure converged. Difference: 0.0082
1,5,56.8648,51.0423,Warrior,80.3790,55.9574,61.2009,2.4528,0.0099,1.9097,200,57.4465,120.6416,136.3238,76.7427,29.6640,24.0454,0.0031,0.0337,Population structure converged. Difference: 0.0082
1,6,56.9275,52.5980,Warrior,86.6620,52.7622,57.7063,2.8579,0.0116,1.9097,200,57.4465,67.7568,115.4694,44.8770,11.2532,11.3638,0.0004,0.0337,Population structure converged. Difference: 0.0082
1,7,57.1430,54.3360,Warrior,81.6394,56.8348,58.6112,2.9028,0.0118,1.9097,200,57.4465,30.1189,45.7016,24.2123,4.8663,7.1597,0.0004,0.0337,Population structure converged. Difference: 0.0082
1,8,57.1431,55.5993,Warrior,81.6395,56.8349,58.6112,2.9028,0.0116,1.9097,200,57.4465,21.0165,17.3924,5.7403,2.5562,4.7249,0.0003,0.0337,Population structure converged. Difference: 0.0082
1,9,57.1578,56.3613,Warrior,83.8073,54.6262,59.1849,2.3720,0.0096,1.9097,200,57.4465,15.8965,3.1085,2.9662,0.2814,1.9457,0.0002,0.0337,Population structure converged. Difference: 0.0082
1,10,57.4465,56.7499,Warrior,83.1274,56.3742,58.1361,2.3527,0.0095,1.9097,200,57.4465,11.2354,3.0412,2.8454,0.1671,0.6983,0.0001,0.0337,Population structure converged. Difference: 0.0082
1,11,57.4465,56.9790,Warrior,83.1274,56.3742,58.1361,2.3527,0.0095,1.9097,200,57.4465,7.2925,3.6607,1.5903,0.0364,0.0000,0.0000,0.0337,Population structure converged. Difference: 0.0082
2,0,45.2610,33.3624,Warrior,88.0505,49.5838,41.2634,16.0619,5.0404,1.7900,200,57.4818,353.4074,307.1560,497.2090,368.9507,305.4530,0.0362,0.0713,Population structure converged. Difference: 0.0086
2,1,48.5189,38.0597,Warrior,78.0398,48.1442,46.6066,16.1730,11.0365,1.8924,200,57.4818,223.8041,241.9561,454.2452,200.2360,195.1455,0.0420,0.0713,Population structure converged. Difference: 0.0086
2,2,48.9013,42.0653,Warrior,83.3831,51.4406,37.8613,19.7540,7.5610,1.8924,200,57.4818,144.5839,213.0207,328.4830,43.1309,95.4098,0.0361,0.0713,Population structure converged. Difference: 0.0086
2,3,50.5121,44.3220,Warrior,86.8559,48.9111,40.7036,2.6786,20.8509,1.8924,200,57.4818,94.0013,161.0445,208.5650,28.6887,60.9955,0.0281,0.0713,Population structure converged. Difference: 0.0086
2,4,52.2405,46.8265,Warrior,90.0613,50.7162,42.2058,10.3263,6.6905,1.8924,200,57.4818,67.9784,123.8536,105.1869,24.2866,33.0891,0.0170,0.0713,Population structure converged. Difference: 0.0086
2,5,54.3561,48.4242,Warrior,92.4620,52.0681,43.3308,2.5681,9.5710,1.8924,200,57.4818,36.5158,67.7669,54.3555,25.0115,16.2964,0.0068,0.0713,Population structure converged. Difference: 0.0086
2,6,55.0139,49.7125,Warrior,93.4743,52.6382,43.8052,2.8827,7.1996,1.8924,200,57.4818,39.1051,47.0068,36.8332,39.2007,20.1883,0.0003,0.0713,Population structure converged. Difference: 0.0086
2,7,56.5798,50.9639,Warrior,78.6941,69.2141,42.1526,2.8034,7.1358,1.8924,200,57.4818,55.4420,44.2748,33.3960,45.3474,23.3154,0.0001,0.0713,Population structure converged. Difference: 0.0086
2,8,56.6548,52.6349,Warrior,82.6930,66.4718,40.4825,2.9600,7.3927,1.8924,200,57.4818,51.3588,34.9144,27.4541,33.5881,16.2120,0.0001,0.0713,Population structure converged. Difference: 0.0086
2,9,56.7544,54.2640,Warrior,81.5745,68.2779,39.9349,2.9200,7.2927,1.8924,200,57.4818,38.0222,36.8479,20.0552,18.5848,5.5893,0.0001,0.0713,Population structure converged. Difference: 0.0086
2,10,56.9324,55.1797,Warrior,86.3202,63.9167,40.4525,2.6621,6.6485,1.8924,200,57.4818,31.9571,35.0027,19.0065,7.7285,4.9267,0.0000,0.0713,Population structure converged. Difference: 0.0086
2,11,57.0700,56.0522,Warrior,81.9441,68.5872,40.1159,2.6741,6.6787,1.8924,200,57.4818,17.6401,30.3588,9.2374,1.0340,0.7707,0.0000,0.0713,Population structure converged. Difference: 0.0086
