Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,46.1952,30.0808,Warrior,61.3874,60.3681,50.9501,5.0610,22.2334,1.8409,200,56.8724,269.0820,205.4922,342.5846,255.9703,312.9587,0.0460,0.0264,Population structure converged. Difference: 0.0356
1,1,46.1952,34.7205,Warrior,61.3874,60.3681,50.9501,5.0610,22.2334,1.8409,200,56.8724,130.7622,159.5576,219.4119,228.5285,293.5074,0.0432,0.0264,Population structure converged. Difference: 0.0356
1,2,52.7229,37.9904,Warrior,66.3337,65.2323,55.0554,5.4688,7.9098,1.9241,200,56.8724,65.4901,110.7069,172.4008,194.9121,155.4446,0.0428,0.0264,Population structure converged. Difference: 0.0356
1,3,54.9063,40.7903,Warrior,81.6721,62.2690,45.0068,5.8647,5.1874,1.9532,200,56.8724,45.9005,77.3693,176.6141,165.5882,131.8347,0.0383,0.0264,Population structure converged. Difference: 0.0356
1,4,55.7836,45.0193,Warrior,79.1847,80.0770,29.9027,5.9238,4.9117,1.9532,200,56.8724,31.5137,40.1989,124.0378,93.6462,130.6239,0.0224,0.0264,Population structure converged. Difference: 0.0356
1,5,55.7836,48.0016,Warrior,79.1847,80.0770,29.9027,5.9238,4.9117,1.9532,200,56.8724,33.3560,31.0036,99.9699,52.2026,97.6754,0.0163,0.0264,Population structure converged. Difference: 0.0356
1,6,55.7836,50.9630,Warrior,79.1847,80.0770,29.9027,5.9238,4.9117,1.9532,200,56.8724,42.8454,30.8741,56.9934,12.6186,69.5536,0.0073,0.0264,Population structure converged. Difference: 0.0356
1,7,56.8724,53.0189,Warrior,79.1847,80.0770,29.9027,5.9238,4.9117,1.9241,200,56.8724,47.9647,39.8666,70.5897,11.0442,41.6396,0.0011,0.0264,Population structure converged. Difference: 0.0356
1,8,56.8724,54.1567,Warrior,79.1847,80.0770,29.9027,5.9238,4.9117,1.9241,200,56.8724,35.8963,64.6836,80.5662,4.8853,18.9149,0.0009,0.0264,Population structure converged. Difference: 0.0356
1,9,56.8724,54.9181,Warrior,79.1847,80.0770,29.9027,5.9238,4.9117,1.9241,200,56.8724,21.3784,64.0359,73.1000,0.3615,15.0826,0.0007,0.0264,Population structure converged. Difference: 0.0356
2,0,46.9837,32.2751,Warrior,58.7684,78.8000,37.8253,1.2016,23.4047,1.9691,200,59.9632,468.8666,442.9692,497.6909,369.9335,324.9148,0.0508,0.0243,Population structure converged. Difference: 0.0341
2,1,52.5177,37.8267,Warrior,71.0677,50.1585,70.9540,2.2541,5.5658,1.9203,200,59.9632,441.2022,436.2645,365.7732,228.2701,223.3152,0.0471,0.0243,Population structure converged. Difference: 0.0341
2,2,53.5358,42.5020,Warrior,74.4909,50.6239,68.4949,4.1167,2.2736,1.9189,200,59.9632,280.9077,356.0031,241.0875,73.0505,178.3590,0.0488,0.0243,Population structure converged. Difference: 0.0341
2,3,58.3369,45.4459,Warrior,88.8308,74.0950,28.8425,2.3728,5.8588,1.9203,200,59.9632,173.7826,282.3351,225.5438,45.0566,86.8595,0.0337,0.0243,Population structure converged. Difference: 0.0341
2,4,59.2970,48.9098,Warrior,98.3036,66.4941,31.9182,1.0140,2.2700,1.9189,200,59.9632,177.4020,190.5488,171.1640,22.9317,75.9085,0.0154,0.0243,Population structure converged. Difference: 0.0341
2,5,59.9632,51.9322,Warrior,91.2404,69.9880,35.7235,0.9411,2.1069,1.9189,200,59.9632,149.9629,114.8632,189.1775,5.2949,82.5609,0.0036,0.0243,Population structure converged. Difference: 0.0341
2,6,59.9632,55.1492,Warrior,91.2404,69.9880,35.7235,0.9411,2.1069,1.9189,200,59.9632,88.6522,67.7602,106.7138,5.5328,39.5472,0.0015,0.0243,Population structure converged. Difference: 0.0341
2,7,59.9632,57.0138,Warrior,91.2404,69.9880,35.7235,0.9411,2.1069,1.9189,200,59.9632,61.4053,54.4316,84.9692,3.5369,18.7989,0.0002,0.0243,Population structure converged. Difference: 0.0341
2,8,59.9632,57.9844,Warrior,91.2404,69.9880,35.7235,0.9411,2.1069,1.9189,200,59.9632,58.7802,42.8383,53.9255,1.7951,18.3778,0.0002,0.0243,Population structure converged. Difference: 0.0341
3,0,41.8770,29.7945,Warrior,61.8383,50.3465,36.7587,18.8041,32.2524,1.9299,200,55.0845,392.6475,349.1935,461.6266,360.0032,351.5754,0.0461,0.0214,Population structure converged. Difference: 0.0415
3,1,54.6091,33.1416,Warrior,80.5495,69.9790,32.1621,2.7251,14.5843,1.8915,200,55.0845,298.5582,212.6649,455.6847,326.2308,164.2970,0.0439,0.0214,Population structure converged. Difference: 0.0415
3,2,54.6091,36.6635,Warrior,80.5495,69.9790,32.1621,2.7251,14.5843,1.8915,200,55.0845,224.3372,192.5510,305.6958,184.3983,119.8934,0.0348,0.0214,Population structure converged. Difference: 0.0415
3,3,54.6091,39.5680,Warrior,80.5495,69.9790,32.1621,2.7251,14.5843,1.8915,200,55.0845,188.4298,236.8844,293.5104,130.4158,103.5272,0.0272,0.0214,Population structure converged. Difference: 0.0415
3,4,54.6796,42.8679,Warrior,79.4099,71.8185,31.7071,2.6866,14.3780,1.8915,200,55.0845,132.8972,296.7550,174.2309,101.3468,92.0337,0.0191,0.0214,Population structure converged. Difference: 0.0415
3,5,54.8884,46.0926,Warrior,79.2840,71.4949,32.8588,2.5760,13.7863,1.8915,200,55.0845,139.2450,253.4624,152.6448,57.9925,79.0604,0.0105,0.0214,Population structure converged. Difference: 0.0415
3,6,55.0845,50.0768,Warrior,80.8992,70.3543,32.7862,2.5127,13.4475,1.8915,200,55.0845,117.4707,162.3543,70.4884,23.4951,57.3110,0.0054,0.0214,Population structure converged. Difference: 0.0415
3,7,55.0845,52.8879,Warrior,80.8992,70.3543,32.7862,2.5127,13.4475,1.8915,200,55.0845,46.4940,74.9069,21.1873,4.5932,36.2561,0.0005,0.0214,Population structure converged. Difference: 0.0415
4,0,46.6700,30.5217,Warrior,66.4133,52.7120,52.0255,7.7375,21.1117,1.8532,200,53.8277,336.4762,301.1542,474.5045,309.8126,324.4027,0.0484,0.0273,Population structure converged. Difference: 0.0488
4,1,46.6700,36.0068,Warrior,66.4133,52.7120,52.0255,7.7375,21.1117,1.8532,200,53.8277,201.8889,202.7327,345.6817,173.4095,214.9908,0.0443,0.0273,Population structure converged. Difference: 0.0488
4,2,48.8029,39.4868,Warrior,73.4498,50.5926,52.4135,2.1347,21.4095,1.8532,200,53.8277,127.4943,142.5176,236.4015,136.3279,150.4038,0.0422,0.0273,Population structure converged. Difference: 0.0488
4,3,48.8029,43.2380,Warrior,73.4498,50.5926,52.4135,2.1347,21.4095,1.8532,200,53.8277,56.5303,87.2751,210.7236,67.5240,50.6343,0.0317,0.0273,Population structure converged. Difference: 0.0488
4,4,51.5522,45.4167,Warrior,80.2952,79.8619,14.5604,2.2923,22.9902,1.8921,200,53.8277,37.0463,86.1697,221.3473,44.8317,19.5578,0.0179,0.0273,Population structure converged. Difference: 0.0488
4,5,52.1513,47.0195,Warrior,71.6355,71.2490,34.5596,2.0451,20.5108,1.8921,200,53.8277,43.4444,90.1721,252.2478,37.5093,7.6738,0.0059,0.0273,Population structure converged. Difference: 0.0488
4,6,52.1513,48.5516,Warrior,71.6355,71.2490,34.5596,2.0451,20.5108,1.8921,200,53.8277,59.6939,68.5639,190.4205,17.7989,5.0138,0.0006,0.0273,Population structure converged. Difference: 0.0488
4,7,52.1513,49.5901,Warrior,71.6355,71.2490,34.5596,2.0451,20.5108,1.8921,200,53.8277,73.5485,66.4984,174.1616,8.8231,4.1462,0.0004,0.0273,Population structure converged. Difference: 0.0488
4,8,53.3336,50.5112,Warrior,78.6530,62.4266,39.3299,1.7762,17.8142,1.8921,200,53.8277,56.6663,73.0137,160.9569,5.0404,3.3720,0.0003,0.0273,Population structure converged. Difference: 0.0488
4,9,53.8277,51.3226,Warrior,73.3003,72.9048,35.9087,1.6217,16.2646,1.8921,200,53.8277,46.5863,71.1896,155.4378,0.3371,3.1578,0.0002,0.0273,Population structure converged. Difference: 0.0488
5,0,41.0185,30.1716,Warrior,87.2862,45.3093,22.9166,36.5196,7.9684,1.8827,200,55.5486,298.2817,403.1747,514.2297,425.4520,346.5270,0.0332,0.0342,Population structure converged. Difference: 0.0378
5,1,44.5497,34.8786,Warrior,64.3606,49.6014,59.7183,0.7175,25.6022,1.8128,200,55.5486,212.7635,445.1217,509.3839,337.1034,226.5965,0.0203,0.0342,Population structure converged. Difference: 0.0378
5,2,48.8097,37.9419,Warrior,68.1090,103.6041,3.8789,8.7469,15.6610,1.9315,200,55.5486,206.5685,236.1932,333.6631,277.3012,177.7675,0.0162,0.0342,Population structure converged. Difference: 0.0378
5,3,48.8097,40.2696,Warrior,68.1090,103.6041,3.8789,8.7469,15.6610,1.9315,200,55.5486,177.3671,210.2608,298.5517,279.6471,163.3866,0.0115,0.0342,Population structure converged. Difference: 0.0378
5,4,48.8097,42.6936,Warrior,68.1090,103.6041,3.8789,8.7469,15.6610,1.9315,200,55.5486,109.5219,161.2761,286.3296,189.9550,130.1877,0.0122,0.0342,Population structure converged. Difference: 0.0378
5,5,50.5086,44.5587,Warrior,73.0630,51.5244,52.3232,0.6576,22.4318,1.9315,200,55.5486,71.0452,214.1818,302.7168,65.3336,72.9474,0.0062,0.0342,Population structure converged. Difference: 0.0378
5,6,53.4190,45.8828,Warrior,79.9790,61.6383,38.6250,2.1287,17.6290,1.9315,200,55.5486,80.8710,370.0930,348.1365,32.7426,64.5221,0.0038,0.0342,Population structure converged. Difference: 0.0378
5,7,53.4190,47.7454,Warrior,79.9790,61.6383,38.6250,2.1287,17.6290,1.9315,200,55.5486,103.6331,474.7472,391.1007,24.2358,48.3221,0.0028,0.0342,Population structure converged. Difference: 0.0378
5,8,53.9313,49.4556,Warrior,70.3715,85.1111,28.8524,4.8820,10.7829,1.9315,200,55.5486,115.9297,313.0787,398.1462,18.5667,19.8988,0.0025,0.0342,Population structure converged. Difference: 0.0378
5,9,55.2745,50.9807,Warrior,85.1330,69.9577,28.7552,2.0159,14.1382,1.9315,200,55.5486,90.8832,203.0208,282.2923,12.6662,19.6749,0.0020,0.0342,Population structure converged. Difference: 0.0378
5,10,55.5486,52.5955,Warrior,85.4801,70.2430,28.8725,2.0241,13.3803,1.9315,200,55.5486,55.2333,92.7908,138.5060,8.8444,12.0005,0.0009,0.0342,Population structure converged. Difference: 0.0378
5,11,55.5486,53.5272,Warrior,85.4801,70.2430,28.8725,2.0241,13.3803,1.9315,200,55.5486,32.4519,71.1624,73.3768,3.4418,12.3107,0.0002,0.0342,Population structure converged. Difference: 0.0378
6,0,52.4075,30.4579,Warrior,104.9504,44.5365,45.3257,1.3843,3.8031,1.8580,200,56.2176,455.0939,312.7033,442.7226,434.1506,254.7103,0.0374,0.0259,Population structure converged. Difference: 0.0445
6,1,52.4075,35.2106,Warrior,104.9504,44.5365,45.3257,1.3843,3.8031,1.8580,200,56.2176,466.6231,258.5344,345.1627,312.8775,199.5681,0.0253,0.0259,Population structure converged. Difference: 0.0445
6,2,54.4933,38.9881,Warrior,88.4301,51.7504,53.6764,1.6393,4.5038,1.8580,200,56.2176,517.5136,177.8138,182.1431,202.7638,126.7792,0.0178,0.0259,Population structure converged. Difference: 0.0445
