Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,46.7311,29.9031,Warrior,70.1211,48.7590,47.2161,6.2444,27.6593,1.9427,200,55.4219,317.6884,267.8695,400.1641,265.2796,226.1874,0.0383,0.2170,Population structure converged. Difference: 0.0087
1,1,46.7311,32.9022,Warrior,70.1211,48.7590,47.2161,6.2444,27.6593,1.9427,200,55.4219,204.1687,175.2915,440.1283,235.2597,173.4357,0.0368,0.2170,Population structure converged. Difference: 0.0087
1,2,46.7311,35.0521,Warrior,70.1211,48.7590,47.2161,6.2444,27.6593,1.9427,200,55.4219,175.7683,188.6835,397.9117,190.6074,147.0229,0.0352,0.2170,Population structure converged. Difference: 0.0087
1,3,49.2502,38.6665,Warrior,77.3197,46.6841,53.9010,5.5541,16.5410,1.8663,200,55.4219,100.6571,85.2067,220.1275,75.0948,111.4605,0.0291,0.2170,Population structure converged. Difference: 0.0087
1,4,49.7029,40.3863,Warrior,87.2256,52.6651,35.1834,6.2657,18.6602,1.8663,200,55.4219,105.9631,84.6934,145.2897,79.6434,117.7540,0.0238,0.2170,Population structure converged. Difference: 0.0087
1,5,50.3375,42.5953,Warrior,80.8068,48.7895,49.9345,5.1454,15.3238,1.8663,200,55.4219,96.2893,75.7628,153.5871,57.1510,101.1780,0.0204,0.2170,Population structure converged. Difference: 0.0087
1,6,50.3375,45.1620,Warrior,80.8068,48.7895,49.9345,5.1454,15.3238,1.8663,200,55.4219,49.9422,62.8651,96.4073,22.6339,58.3445,0.0080,0.2170,Population structure converged. Difference: 0.0087
1,7,50.3375,46.1210,Warrior,80.8068,48.7895,49.9345,5.1454,15.3238,1.8663,200,55.4219,26.7315,44.4407,90.5654,8.5079,41.1673,0.0050,0.2170,Population structure converged. Difference: 0.0087
1,8,50.3375,46.6700,Warrior,80.8068,48.7895,49.9345,5.1454,15.3238,1.8663,200,55.4219,20.6087,27.2728,65.0999,5.5451,33.7678,0.0036,0.2170,Population structure converged. Difference: 0.0087
1,9,50.8432,47.0247,Warrior,80.6420,48.6900,49.8327,5.5428,15.2926,1.9427,200,55.4219,18.6428,28.7005,53.8466,4.0459,32.8234,0.0033,0.2170,Population structure converged. Difference: 0.0087
