Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,41.8190,29.9954,Warrior,61.2482,46.9938,56.6704,17.6535,17.4340,1.8251,200,52.7136,339.9096,413.5784,472.9431,384.4730,391.6300,0.0332,0.0503,Population structure converged. Difference: 0.0092
1,1,42.4183,33.6271,Warrior,56.2835,59.3964,52.0768,16.2226,16.0208,1.8251,200,52.7136,197.6571,248.0368,235.6973,203.8481,271.8945,0.0273,0.0503,Population structure converged. Difference: 0.0092
1,2,45.0020,37.3263,Warrior,64.7057,49.6466,59.8695,7.3602,18.4181,1.8251,200,52.7136,96.2285,144.3049,148.6481,102.2769,190.2565,0.0251,0.0503,Population structure converged. Difference: 0.0092
1,3,45.7624,39.9524,Warrior,66.2641,61.8779,41.3330,11.6633,18.8617,1.8251,200,52.7136,42.4516,99.7777,111.9806,55.0800,108.7682,0.0215,0.0503,Population structure converged. Difference: 0.0092
1,4,46.6876,41.4809,Warrior,54.5187,70.1045,48.7551,5.6937,20.9281,1.9177,200,52.7136,29.1899,68.9241,103.4976,42.0775,45.6644,0.0142,0.0503,Population structure converged. Difference: 0.0092
1,5,45.7624,43.0488,Warrior,66.2641,61.8779,41.3330,11.6633,18.8617,1.8251,200,52.7136,20.0972,45.3925,111.5717,34.0970,11.8563,0.0037,0.0503,Population structure converged. Difference: 0.0092
1,6,47.4134,44.1444,Warrior,71.0051,68.8328,31.8742,8.0767,20.2112,1.8251,200,52.7136,10.7540,44.6608,114.2349,31.5328,2.2251,0.0004,0.0503,Population structure converged. Difference: 0.0092
1,7,48.4400,44.7785,Warrior,65.5124,50.2656,60.6160,7.4519,16.1540,1.9177,200,52.7136,11.2442,42.2696,113.8497,24.1784,1.5225,0.0003,0.0503,Population structure converged. Difference: 0.0092
1,8,48.4400,45.3448,Warrior,65.5124,50.2656,60.6160,7.4519,16.1540,1.9177,200,52.7136,9.2499,35.2531,73.6924,9.1086,2.0787,0.0004,0.0503,Population structure converged. Difference: 0.0092
1,9,48.9122,46.1303,Warrior,62.3586,57.4741,57.6978,7.0932,15.3763,1.9177,200,52.7136,13.4858,45.4501,94.8618,2.2270,2.1994,0.0009,0.0503,Population structure converged. Difference: 0.0092
1,10,52.3467,47.1218,Warrior,76.3613,68.1162,31.5424,7.5700,16.4100,1.9177,200,52.7136,22.1044,56.4840,132.9268,0.7196,2.4547,0.0018,0.0503,Population structure converged. Difference: 0.0092
1,11,52.4029,48.4478,Warrior,73.1733,70.9347,32.8475,7.2747,15.7698,1.9177,200,52.7136,22.2430,67.4071,149.7260,0.3445,2.2469,0.0022,0.0503,Population structure converged. Difference: 0.0092
1,12,52.4672,50.1972,Warrior,76.5044,68.2439,31.6015,7.4659,16.1843,1.9177,200,52.7136,21.5053,65.3808,145.9043,0.2792,1.6175,0.0013,0.0503,Population structure converged. Difference: 0.0092
1,13,52.4672,51.0925,Warrior,76.5044,68.2439,31.6015,7.4659,16.1843,1.9177,200,52.7136,18.1918,46.8495,94.9809,0.2801,1.2385,0.0006,0.0503,Population structure converged. Difference: 0.0092
1,14,52.6402,51.9606,Warrior,74.8964,69.9298,32.3822,7.4775,15.3142,1.9177,200,52.7136,8.2444,16.9215,32.6358,0.2084,0.6425,0.0001,0.0503,Population structure converged. Difference: 0.0092
1,15,52.7136,52.2344,Warrior,76.4946,68.2352,32.4387,7.4905,15.3410,1.9177,200,52.7136,2.5698,7.4616,7.1125,0.2027,0.1897,0.0000,0.0503,Population structure converged. Difference: 0.0092
2,0,45.5495,30.0668,Warrior,71.8708,43.7687,59.2955,20.6521,4.4129,1.8623,200,46.8743,438.3205,295.0536,603.0108,443.2191,438.8648,0.0420,0.0323,Population structure converged. Difference: 0.0068
2,1,46.7894,33.7604,Warrior,73.1641,44.5563,60.3626,17.4247,4.4923,1.8623,200,46.8743,296.8080,226.5775,517.9473,332.9964,426.8338,0.0319,0.0323,Population structure converged. Difference: 0.0068
