Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,42.5042,28.3966,Warrior,62.3545,56.8769,45.1440,29.1555,6.4691,1.8401,200,54.3529,403.5505,389.7971,379.6900,417.0935,409.7831,0.0339,0.0444,Population structure converged. Difference: 0.0478
1,1,52.3396,31.0394,Warrior,95.2365,86.8704,4.0239,3.9887,9.8805,1.8401,200,54.3529,284.3386,414.2310,295.1499,233.3939,379.6806,0.0383,0.0444,Population structure converged. Difference: 0.0478
1,2,52.3396,32.7803,Warrior,95.2365,86.8704,4.0239,3.9887,9.8805,1.8401,200,54.3529,308.8624,357.9522,265.8144,157.7478,305.7407,0.0479,0.0444,Population structure converged. Difference: 0.0478
1,3,52.3396,34.5456,Warrior,95.2365,86.8704,4.0239,3.9887,9.8805,1.8401,200,54.3529,419.6378,344.0562,263.5580,113.1320,285.6969,0.0435,0.0444,Population structure converged. Difference: 0.0478
1,4,52.3396,36.0813,Warrior,95.2365,86.8704,4.0239,3.9887,9.8805,1.8401,200,54.3529,418.9156,276.1834,160.8295,75.6959,299.5352,0.0406,0.0444,Population structure converged. Difference: 0.0478
1,5,54.0548,37.9680,Warrior,84.9852,77.5197,25.1188,3.5594,8.8169,1.8401,200,54.3529,405.5591,251.0604,155.0944,72.4756,325.4260,0.0375,0.0444,Population structure converged. Difference: 0.0478
1,6,54.2638,39.8154,Warrior,86.7007,76.6948,24.7698,2.8398,8.9949,1.8401,200,54.3529,392.8898,231.3497,121.0765,65.0361,340.8856,0.0281,0.0444,Population structure converged. Difference: 0.0478
1,7,56.4160,42.2326,Warrior,82.2466,78.9420,25.5797,3.6247,9.6069,1.9051,200,54.3529,319.6957,254.4341,139.5554,56.1307,267.4635,0.0087,0.0444,Population structure converged. Difference: 0.0478
1,8,54.0548,43.6149,Warrior,84.9852,77.5197,25.1188,3.5594,8.8169,1.8401,200,54.3529,267.3233,240.9733,138.8755,47.9546,154.8989,0.0056,0.0444,Population structure converged. Difference: 0.0478
1,9,54.0548,45.8632,Warrior,84.9852,77.5197,25.1188,3.5594,8.8169,1.8401,200,54.3529,186.2760,279.4808,165.9047,42.9541,78.5817,0.0024,0.0444,Population structure converged. Difference: 0.0478
1,10,54.0548,47.5198,Warrior,84.9852,77.5197,25.1188,3.5594,8.8169,1.8401,200,54.3529,202.8442,237.2717,177.5827,36.6993,44.4781,0.0021,0.0444,Population structure converged. Difference: 0.0478
1,11,54.3529,49.0965,Warrior,88.1590,70.3055,32.1391,4.5541,4.8423,1.8332,200,54.3529,138.7498,182.8516,132.2411,31.0479,12.0019,0.0021,0.0444,Population structure converged. Difference: 0.0478
1,12,54.3529,50.7297,Warrior,88.1590,70.3055,32.1391,4.5541,4.8423,1.8332,200,54.3529,96.5480,142.6293,131.3642,15.9286,12.0187,0.0016,0.0444,Population structure converged. Difference: 0.0478
1,13,54.3529,51.8729,Warrior,88.1590,70.3055,32.1391,4.5541,4.8423,1.8332,200,54.3529,73.0414,97.0199,124.2892,9.7575,9.1903,0.0005,0.0444,Population structure converged. Difference: 0.0478
2,0,48.3171,28.5987,Warrior,65.2516,72.0829,49.8448,9.1349,3.6857,1.9892,200,55.4195,375.7608,425.3243,463.2694,412.5360,387.3872,0.0348,0.0522,Population structure converged. Difference: 0.0453
2,1,42.8374,31.9764,Warrior,68.4043,41.2430,58.5579,27.4123,4.3825,1.8688,200,55.4195,345.3568,282.6971,357.3395,302.7719,274.8650,0.0323,0.0522,Population structure converged. Difference: 0.0453
2,2,43.7368,33.3195,Warrior,56.3008,62.1949,43.0074,7.8819,30.6151,1.9557,200,55.4195,281.7094,296.8205,361.0908,290.1938,236.5235,0.0306,0.0522,Population structure converged. Difference: 0.0453
2,3,44.9900,35.1317,Warrior,60.6035,59.3475,51.8800,24.2862,3.8827,1.8688,200,55.4195,190.5098,258.8890,302.2433,250.2858,247.7020,0.0314,0.0522,Population structure converged. Difference: 0.0453
2,4,44.9900,36.8224,Warrior,60.6035,59.3475,51.8800,24.2862,3.8827,1.8688,200,55.4195,122.0588,333.3275,296.6682,169.1630,172.6285,0.0246,0.0522,Population structure converged. Difference: 0.0453
2,5,54.6442,38.9138,Warrior,81.3426,98.6281,9.1971,5.6208,5.2114,1.8688,200,55.4195,100.7671,327.7656,310.1074,60.2795,145.0355,0.0210,0.0522,Population structure converged. Difference: 0.0453
2,6,54.6442,40.6909,Warrior,81.3426,98.6281,9.1971,5.6208,5.2114,1.8688,200,55.4195,108.7275,233.5858,235.4415,58.1986,163.3310,0.0099,0.0522,Population structure converged. Difference: 0.0453
2,7,54.6442,41.9838,Warrior,81.3426,98.6281,9.1971,5.6208,5.2114,1.8688,200,55.4195,88.0072,231.6883,248.5773,52.3258,162.1775,0.0080,0.0522,Population structure converged. Difference: 0.0453
2,8,53.6576,43.6675,Warrior,81.9152,62.4596,40.8282,9.3521,5.4450,1.8688,200,55.4195,101.4012,212.8095,254.1744,44.6153,182.5679,0.0038,0.0522,Population structure converged. Difference: 0.0453
2,9,53.9051,45.0379,Warrior,92.0701,78.6058,13.4651,8.2292,7.6298,1.8688,200,55.4195,101.7748,183.6691,203.8197,27.0709,168.2717,0.0030,0.0522,Population structure converged. Difference: 0.0453
2,10,53.2633,46.7633,Warrior,79.6487,63.8578,40.9970,11.2434,4.2531,1.8688,200,55.4195,102.6569,237.6717,149.0797,15.5552,124.3188,0.0034,0.0522,Population structure converged. Difference: 0.0453
2,11,54.3113,48.1668,Warrior,92.3382,80.6245,12.4151,7.5875,7.0348,1.8688,200,55.4195,101.7166,233.6236,156.3467,17.8238,118.9703,0.0027,0.0522,Population structure converged. Difference: 0.0453
2,12,55.4195,49.6382,Warrior,82.0066,70.0140,36.3325,6.0435,5.6033,1.8688,200,55.4195,81.8577,207.3497,120.6522,12.6442,87.0088,0.0024,0.0522,Population structure converged. Difference: 0.0453
2,13,55.4195,50.8573,Warrior,82.0066,70.0140,36.3325,6.0435,5.6033,1.8688,200,55.4195,56.1670,169.2402,102.1421,10.5564,49.9191,0.0018,0.0522,Population structure converged. Difference: 0.0453
2,14,55.4195,52.0797,Warrior,82.0066,70.0140,36.3325,6.0435,5.6033,1.8688,200,55.4195,32.2284,109.2366,93.5053,8.1297,18.0141,0.0018,0.0522,Population structure converged. Difference: 0.0453
2,15,55.4195,53.0160,Warrior,82.0066,70.0140,36.3325,6.0435,5.6033,1.8688,200,55.4195,32.3448,85.5652,76.1321,7.3840,5.0024,0.0007,0.0522,Population structure converged. Difference: 0.0453
3,0,54.5724,29.3731,Warrior,92.4528,53.5673,40.4664,0.1325,13.3809,1.9208,200,56.6191,355.7256,417.9787,418.3024,421.8401,374.3683,0.0386,0.0565,Population structure converged. Difference: 0.0401
3,1,54.5724,31.8758,Warrior,92.4528,53.5673,40.4664,0.1325,13.3809,1.9208,200,56.6191,203.4411,420.5080,361.9619,310.0505,310.8231,0.0428,0.0565,Population structure converged. Difference: 0.0401
3,2,55.1843,33.9225,Warrior,97.5628,70.1938,17.9830,0.1399,14.1205,1.9208,200,56.6191,103.7639,334.6114,315.1272,215.6874,243.2173,0.0465,0.0565,Population structure converged. Difference: 0.0401
