Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,55.1758,30.4846,Warrior,88.6258,48.4914,55.9856,3.1778,3.7194,1.9153,200,59.4083,365.9958,397.5120,428.6096,398.1436,421.3003,0.0404,0.0562,Population structure converged. Difference: 0.0091
1,1,55.1758,33.5645,Warrior,88.6258,48.4914,55.9856,3.1778,3.7194,1.9153,200,59.4083,381.3160,287.7053,338.3061,331.1250,231.7762,0.0358,0.0562,Population structure converged. Difference: 0.0091
1,2,55.1758,37.3585,Warrior,88.6258,48.4914,55.9856,3.1778,3.7194,1.9153,200,59.4083,416.8206,253.7533,334.5385,247.8195,175.0983,0.0295,0.0562,Population structure converged. Difference: 0.0091
1,3,55.4785,40.4346,Warrior,79.0079,55.6072,57.9215,4.1477,3.3158,1.9153,200,59.4083,340.7837,122.2551,323.5291,240.2420,118.2281,0.0337,0.0562,Population structure converged. Difference: 0.0091
1,4,56.0953,43.5040,Warrior,72.2128,90.0069,27.9519,1.5767,8.2517,1.9153,200,59.4083,267.7819,154.9805,271.7619,182.4792,76.2254,0.0342,0.0562,Population structure converged. Difference: 0.0091
1,5,57.8723,47.8292,Warrior,78.8051,71.8851,41.8358,1.1988,6.2752,1.9153,200,59.4083,287.9671,125.8242,306.3970,111.8172,56.0810,0.0313,0.0562,Population structure converged. Difference: 0.0091
1,6,57.8723,51.5021,Warrior,78.8051,71.8851,41.8358,1.1988,6.2752,1.9153,200,59.4083,245.3133,135.7339,298.5405,41.6811,39.0295,0.0184,0.0562,Population structure converged. Difference: 0.0091
1,7,57.9904,53.4225,Warrior,82.1720,83.1813,25.8322,1.1885,7.6259,1.9153,200,59.4083,110.5864,124.1812,188.5344,23.7841,21.3957,0.0110,0.0562,Population structure converged. Difference: 0.0091
1,8,57.9904,55.1257,Warrior,82.1720,83.1813,25.8322,1.1885,7.6259,1.9153,200,59.4083,68.0090,144.4864,186.4136,11.7143,14.0834,0.0013,0.0562,Population structure converged. Difference: 0.0091
1,9,58.5987,56.1843,Warrior,79.6447,72.6510,42.2816,1.2116,4.2112,1.9153,200,59.4083,72.0160,124.9444,177.7907,2.5499,6.6543,0.0000,0.0562,Population structure converged. Difference: 0.0091
1,10,59.1127,56.8802,Warrior,83.7643,72.9312,37.9554,1.1976,4.1516,1.9153,200,59.4083,70.6819,103.2095,152.6123,2.1843,4.1749,0.0000,0.0562,Population structure converged. Difference: 0.0091
1,11,59.1127,57.3841,Warrior,83.7643,72.9312,37.9554,1.1976,4.1516,1.9153,200,59.4083,58.3316,100.4227,122.4297,2.3056,2.4858,0.0000,0.0562,Population structure converged. Difference: 0.0091
1,12,59.1127,57.8359,Warrior,83.7643,72.9312,37.9554,1.1976,4.1516,1.9153,200,59.4083,31.5207,84.4228,99.2216,1.4445,2.3215,0.0000,0.0562,Population structure converged. Difference: 0.0091
