Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,40.8543,27.6979,Warrior,68.3431,68.9542,21.6497,14.3069,26.7461,1.4562,200,55.1043,464.2605,510.7308,452.9960,394.1678,430.1740,0.0366,0.0825,Population structure converged. Difference: 0.0450
1,1,38.7575,29.7474,Warrior,61.7005,65.4311,16.4095,17.8408,38.6182,1.9824,200,55.1043,394.8561,485.6437,677.5383,328.4854,388.3775,0.0353,0.0825,Population structure converged. Difference: 0.0450
1,2,39.8857,30.8210,Warrior,58.1133,69.8057,41.6754,0.3419,30.0637,1.7269,200,55.1043,352.0773,411.8075,533.7510,265.7781,271.3412,0.0302,0.0825,Population structure converged. Difference: 0.0450
1,3,44.0148,32.7827,Warrior,89.8005,56.7831,26.7055,8.0553,18.6557,1.4583,200,55.1043,267.1904,340.3701,453.2554,241.1304,147.4086,0.0285,0.0825,Population structure converged. Difference: 0.0450
1,4,44.2115,34.1367,Warrior,63.9976,76.8739,45.8952,0.2807,12.9526,1.7269,200,55.1043,210.9060,223.3517,330.8686,181.0549,126.2180,0.0258,0.0825,Population structure converged. Difference: 0.0450
1,5,44.6343,35.6150,Warrior,65.9787,79.2536,41.1248,0.2893,13.3536,1.7269,200,55.1043,155.8182,152.9418,294.7809,141.3886,140.6237,0.0296,0.0825,Population structure converged. Difference: 0.0450
1,6,45.1226,36.8619,Warrior,69.3042,73.1676,43.1976,0.3039,14.0267,1.7269,200,55.1043,75.7715,116.3595,161.6871,136.6215,129.2310,0.0258,0.0825,Population structure converged. Difference: 0.0450
1,7,48.8751,38.1841,Warrior,59.2302,70.9430,57.6345,0.4035,11.7889,1.8399,200,55.1043,52.4728,103.4196,129.0972,106.8624,114.5727,0.0266,0.0825,Population structure converged. Difference: 0.0450
1,8,46.7824,39.0255,Warrior,68.0235,55.3690,51.9013,9.0007,15.7055,1.8281,200,55.1043,55.6552,93.7013,116.9431,76.2824,97.9808,0.0311,0.0825,Population structure converged. Difference: 0.0450
1,9,49.8012,40.3865,Warrior,76.9123,71.0113,22.9380,14.4149,14.7237,1.8744,200,55.1043,55.2961,88.3651,128.2016,69.8660,109.5222,0.0320,0.0825,Population structure converged. Difference: 0.0450
1,10,50.9007,41.6740,Warrior,69.6422,72.1447,43.0719,0.3533,14.7879,1.8281,200,55.1043,52.6981,91.7220,150.3766,62.1752,84.0206,0.0335,0.0825,Population structure converged. Difference: 0.0450
1,11,51.0429,43.1411,Warrior,82.2400,70.0076,21.8221,9.4466,16.4836,1.8744,200,55.1043,52.8919,77.5185,157.4762,39.8990,69.5348,0.0317,0.0825,Population structure converged. Difference: 0.0450
1,12,53.3019,44.0791,Warrior,81.3020,74.8542,24.1793,0.4473,19.2172,1.8744,200,55.1043,49.1974,83.8057,151.5514,31.8797,67.8396,0.0283,0.0825,Population structure converged. Difference: 0.0450
1,13,53.3019,44.7095,Warrior,81.3020,74.8542,24.1793,0.4473,19.2172,1.8744,200,55.1043,45.5320,82.7983,141.6317,30.7263,58.6512,0.0284,0.0825,Population structure converged. Difference: 0.0450
1,14,53.3201,45.2510,Warrior,81.3254,74.8757,24.1863,0.3899,19.2227,1.8744,200,55.1043,50.1916,72.0652,158.4630,30.3552,55.7285,0.0317,0.0825,Population structure converged. Difference: 0.0450
1,15,53.3201,46.5301,Warrior,81.3254,74.8757,24.1863,0.3899,19.2227,1.8744,200,55.1043,52.5528,88.1154,158.2792,36.9262,50.2385,0.0266,0.0825,Population structure converged. Difference: 0.0450
1,16,53.3201,47.6709,Warrior,81.3254,74.8757,24.1863,0.3899,19.2227,1.8744,200,55.1043,38.9011,87.7934,154.7390,35.9239,50.3762,0.0108,0.0825,Population structure converged. Difference: 0.0450
1,17,54.8133,48.4631,Warrior,83.1562,76.5613,24.7307,0.3987,15.1531,1.8744,200,55.1043,46.1852,76.7130,131.4726,35.6811,38.6754,0.0091,0.0825,Population structure converged. Difference: 0.0450
1,18,54.8133,49.1750,Warrior,83.1562,76.5613,24.7307,0.3987,15.1531,1.8744,200,55.1043,48.9596,71.5027,116.2920,33.6559,36.6359,0.0108,0.0825,Population structure converged. Difference: 0.0450
1,19,54.8133,50.2444,Warrior,83.1562,76.5613,24.7307,0.3987,15.1531,1.8744,200,55.1043,48.6179,64.0190,112.1878,31.2249,28.4711,0.0056,0.0825,Population structure converged. Difference: 0.0450
1,20,55.0164,51.2724,Warrior,83.4071,76.7923,24.8054,0.3999,14.5954,1.8744,200,55.1043,45.5203,49.6674,94.0995,26.8084,22.4223,0.0038,0.0825,Population structure converged. Difference: 0.0450
1,21,54.8347,51.9451,Warrior,80.5351,74.1481,30.0498,0.3884,14.8787,1.8744,200,55.1043,30.8430,39.0132,96.4071,18.9171,19.1231,0.0038,0.0825,Population structure converged. Difference: 0.0450
1,22,55.1043,52.7329,Warrior,77.8459,66.2671,43.5993,0.3094,11.9783,1.8744,200,55.1043,24.5794,32.7325,89.3878,8.1045,12.5355,0.0019,0.0825,Population structure converged. Difference: 0.0450
2,0,45.4099,28.8784,Warrior,66.0952,85.7827,23.6053,13.9684,10.5484,1.7969,200,55.9413,302.6347,461.8692,509.6954,463.9467,484.4176,0.0332,0.0903,Population structure converged. Difference: 0.0415
2,1,45.4099,30.7316,Warrior,66.0952,85.7827,23.6053,13.9684,10.5484,1.7969,200,55.9413,256.7676,460.6978,485.8538,345.4968,414.4460,0.0356,0.0903,Population structure converged. Difference: 0.0415
2,2,47.8941,33.4100,Warrior,67.6282,87.7724,28.1409,5.6655,10.7931,1.7969,200,55.9413,191.1977,411.2170,457.9419,266.8220,351.7032,0.0323,0.0903,Population structure converged. Difference: 0.0415
2,3,47.8941,35.7026,Warrior,67.6282,87.7724,28.1409,5.6655,10.7931,1.7969,200,55.9413,172.9894,340.7129,290.0986,197.5651,210.6478,0.0326,0.0903,Population structure converged. Difference: 0.0415
2,4,48.0219,38.3100,Warrior,83.7393,52.3078,33.2532,12.5718,18.1279,1.8712,200,55.9413,177.5199,255.4048,250.3950,108.8546,140.0520,0.0327,0.0903,Population structure converged. Difference: 0.0415
2,5,52.2382,39.6872,Warrior,81.3721,75.9959,20.9122,12.3748,9.3450,1.8712,200,55.9413,152.9118,304.2319,255.5158,73.8708,122.3625,0.0328,0.0903,Population structure converged. Difference: 0.0415
2,6,52.2382,41.5905,Warrior,81.3721,75.9959,20.9122,12.3748,9.3450,1.8712,200,55.9413,153.3828,283.5537,199.5962,44.2427,112.8036,0.0313,0.0903,Population structure converged. Difference: 0.0415
2,7,52.2382,42.7048,Warrior,81.3721,75.9959,20.9122,12.3748,9.3450,1.8712,200,55.9413,134.5193,269.2309,193.2374,47.9259,111.9438,0.0323,0.0903,Population structure converged. Difference: 0.0415
2,8,52.2382,43.3582,Warrior,81.3721,75.9959,20.9122,12.3748,9.3450,1.8712,200,55.9413,128.1013,265.9981,170.6670,38.7012,90.8014,0.0317,0.0903,Population structure converged. Difference: 0.0415
2,9,52.2382,44.9084,Warrior,81.3721,75.9959,20.9122,12.3748,9.3450,1.8712,200,55.9413,111.1060,263.4930,161.0298,36.0240,65.2601,0.0213,0.0903,Population structure converged. Difference: 0.0415
2,10,54.9071,45.3968,Warrior,80.1167,74.8234,30.6426,2.9023,11.5150,1.8712,200,55.9413,142.6938,258.3562,140.3321,32.4721,52.8581,0.0173,0.0903,Population structure converged. Difference: 0.0415
2,11,53.9243,46.1540,Warrior,83.1811,64.9516,35.2298,3.3323,13.3053,1.8712,200,55.9413,130.6205,254.4262,119.3447,27.5231,41.2044,0.0128,0.0903,Population structure converged. Difference: 0.0415
