Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,46.2924,31.5112,Warrior,74.8774,68.2508,37.6841,10.4129,8.7747,1.4630,200,52.3374,273.6470,497.7994,433.8925,241.8284,458.8851,0.0397,0.0576,Population structure converged. Difference: 0.0088
1,1,46.2924,35.5016,Warrior,74.8774,68.2508,37.6841,10.4129,8.7747,1.4630,200,52.3374,128.0885,473.0721,425.7333,135.2967,274.5715,0.0400,0.0576,Population structure converged. Difference: 0.0088
1,2,50.9443,38.2947,Warrior,75.7770,69.0708,38.1368,10.5380,6.4774,1.9778,200,52.3374,119.5403,388.8966,447.4487,79.6998,245.0351,0.0434,0.0576,Population structure converged. Difference: 0.0088
1,3,50.9443,41.3682,Warrior,75.7770,69.0708,38.1368,10.5380,6.4774,1.9778,200,52.3374,111.6763,332.5056,473.4627,78.5932,163.2397,0.0430,0.0576,Population structure converged. Difference: 0.0088
1,4,51.3435,44.0039,Warrior,85.8457,69.0080,27.7636,12.0259,5.3568,1.9778,200,52.3374,114.9111,278.1823,380.9780,51.0333,130.4227,0.0385,0.0576,Population structure converged. Difference: 0.0088
1,5,51.3435,45.7773,Warrior,85.8457,69.0080,27.7636,12.0259,5.3568,1.9778,200,52.3374,119.5943,197.1571,282.3208,32.1936,62.0303,0.0247,0.0576,Population structure converged. Difference: 0.0088
1,6,50.9523,47.6611,Warrior,76.2623,68.6879,37.9254,10.6055,6.5189,1.9778,200,52.3374,67.7731,146.3161,244.0626,18.0860,22.9258,0.0089,0.0576,Population structure converged. Difference: 0.0088
1,7,51.6814,48.9763,Warrior,78.8659,71.8863,31.0405,11.2762,6.9312,1.8421,200,52.3374,35.9060,54.5009,69.9815,13.0089,9.3563,0.0051,0.0576,Population structure converged. Difference: 0.0088
1,8,52.0261,49.9154,Warrior,79.3620,72.3385,31.2358,11.3471,5.7167,1.8421,200,52.3374,11.1718,13.3891,13.9455,6.3204,4.7101,0.0037,0.0576,Population structure converged. Difference: 0.0088
1,9,51.7260,50.5286,Warrior,76.3977,69.6366,37.0216,10.2299,6.7142,1.8421,200,52.3374,5.6598,8.5439,13.7876,0.2834,3.3083,0.0037,0.0576,Population structure converged. Difference: 0.0088
1,10,51.7260,50.9751,Warrior,76.3977,69.6366,37.0216,10.2299,6.7142,1.8421,200,52.3374,6.0165,8.4898,14.9264,0.2853,1.5376,0.0042,0.0576,Population structure converged. Difference: 0.0088
1,11,51.9665,51.2704,Warrior,77.5196,75.1603,30.2388,10.9521,6.1292,1.8421,200,52.3374,3.1708,7.6798,13.2431,0.1638,1.2498,0.0035,0.0576,Population structure converged. Difference: 0.0088
1,12,52.0698,51.5138,Warrior,79.3387,72.3173,31.2266,10.6012,6.5163,1.8421,200,52.3374,2.5202,6.9381,11.1824,0.1844,0.6710,0.0032,0.0576,Population structure converged. Difference: 0.0088
1,13,52.3374,51.7031,Warrior,79.6593,72.6095,31.3528,10.0973,6.2811,1.8421,200,52.3374,2.1292,5.7077,9.2064,0.2251,0.2132,0.0026,0.0576,Population structure converged. Difference: 0.0088
1,14,52.3374,51.8800,Warrior,79.6593,72.6095,31.3528,10.0973,6.2811,1.8421,200,52.3374,2.0962,4.9938,9.1575,0.2049,0.1773,0.0010,0.0576,Population structure converged. Difference: 0.0088
2,0,52.1531,29.2599,Warrior,91.4346,64.1702,37.7181,2.6257,4.0515,1.7957,200,58.6621,333.2782,447.7586,441.5098,480.3375,359.7300,0.0285,0.0613,Population structure converged. Difference: 0.0091
