Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,47.9490,28.1332,Warrior,74.9385,70.4066,37.0341,15.6921,1.9287,1.7967,200,60.4761,433.2133,537.9300,659.0636,317.3194,521.6522,0.0369,0.1067,Population structure converged. Difference: 0.0092
1,1,47.9490,30.4508,Warrior,74.9385,70.4066,37.0341,15.6921,1.9287,1.7967,200,60.4761,365.0866,511.6235,649.5541,197.2567,541.1546,0.0372,0.1067,Population structure converged. Difference: 0.0092
1,2,48.5619,32.4562,Warrior,80.4034,67.3300,35.4158,15.0064,1.8444,1.7967,200,60.4761,280.9400,444.6900,636.9280,157.4509,437.4927,0.0272,0.1067,Population structure converged. Difference: 0.0092
1,3,50.7826,34.2996,Warrior,81.3037,66.0878,51.2138,1.2481,0.1466,1.4692,200,60.4761,245.2537,427.9985,734.0338,111.9403,444.2421,0.0272,0.1067,Population structure converged. Difference: 0.0092
1,4,50.0018,35.9919,Warrior,54.0324,81.2720,62.9805,1.5348,0.1803,1.8778,200,60.4761,243.5460,421.9692,639.1557,85.5969,336.2285,0.0203,0.1067,Population structure converged. Difference: 0.0092
1,5,50.0018,38.6162,Warrior,54.0324,81.2720,62.9805,1.5348,0.1803,1.8778,200,60.4761,267.7410,395.6367,593.5504,87.2767,281.0067,0.0171,0.1067,Population structure converged. Difference: 0.0092
1,6,56.3093,40.5299,Warrior,74.8360,62.7460,60.4677,1.4736,0.4767,1.8778,200,60.4761,314.5756,335.9119,580.4233,76.7489,242.7677,0.0128,0.1067,Population structure converged. Difference: 0.0092
1,7,56.3093,43.0945,Warrior,74.8360,62.7460,60.4677,1.4736,0.4767,1.8778,200,60.4761,290.6588,313.1116,551.4541,77.9870,122.1163,0.0091,0.1067,Population structure converged. Difference: 0.0092
1,8,57.8854,43.9716,Warrior,76.7485,72.9011,47.9142,2.1801,0.2561,1.8778,200,60.4761,297.6889,342.0212,559.0332,74.1439,136.5403,0.0060,0.1067,Population structure converged. Difference: 0.0092
1,9,56.7505,45.8819,Warrior,78.3953,65.7303,54.3932,1.3255,0.1557,1.8590,200,60.4761,265.8010,176.6293,532.0697,72.1303,118.4804,0.0057,0.1067,Population structure converged. Difference: 0.0092
1,10,59.4590,47.7116,Warrior,93.1783,71.3302,33.5307,1.7546,0.2061,1.8778,200,60.4761,249.0411,156.8381,464.3927,78.9158,108.6798,0.0034,0.1067,Population structure converged. Difference: 0.0092
1,11,58.0563,49.6479,Warrior,79.0148,67.3622,52.2013,1.2721,0.1495,1.8778,200,60.4761,211.2085,163.9999,484.4936,69.2182,112.4088,0.0009,0.1067,Population structure converged. Difference: 0.0092
1,12,58.7112,50.9121,Warrior,85.5239,63.1769,48.9580,2.0951,0.2462,1.8934,200,60.4761,158.8961,222.8771,559.6045,62.4184,97.7842,0.0010,0.1067,Population structure converged. Difference: 0.0092
1,13,58.7112,52.0443,Warrior,85.5239,63.1769,48.9580,2.0951,0.2462,1.8934,200,60.4761,144.8112,259.2932,552.9334,40.2608,77.3467,0.0009,0.1067,Population structure converged. Difference: 0.0092
1,14,59.6975,53.2118,Warrior,87.1768,73.0931,38.4559,1.1402,0.1340,1.8778,200,60.4761,143.3801,232.8635,508.9341,35.1430,48.0941,0.0008,0.1067,Population structure converged. Difference: 0.0092
