Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,40.9554,32.3338,Warrior,63.4395,63.2352,19.9656,9.5179,43.8418,1.9548,200,53.6937,239.2169,304.3275,211.2056,270.6296,294.3950,0.0344,0.0295,Population structure converged. Difference: 0.0330
1,1,43.7488,35.9791,Warrior,62.2065,66.2014,24.4118,16.3646,30.8158,1.9240,200,53.6937,188.5852,200.3865,242.4999,142.9604,208.7439,0.0280,0.0295,Population structure converged. Difference: 0.0330
1,2,47.5307,39.0554,Warrior,61.8746,81.9693,29.7847,21.4719,4.8995,1.8742,200,53.6937,115.0247,142.9363,217.4140,81.7965,228.6511,0.0210,0.0295,Population structure converged. Difference: 0.0330
1,3,53.6738,40.7135,Warrior,79.4379,79.1820,25.0006,11.9182,4.4613,1.9548,200,53.6937,88.3250,138.2051,186.5702,43.3727,236.0841,0.0168,0.0295,Population structure converged. Difference: 0.0330
1,4,53.6738,42.7393,Warrior,79.4379,79.1820,25.0006,11.9182,4.4613,1.9548,200,53.6937,84.6459,115.6047,180.2883,25.7788,231.3392,0.0129,0.0295,Population structure converged. Difference: 0.0330
1,5,53.6738,46.0124,Warrior,79.4379,79.1820,25.0006,11.9182,4.4613,1.9548,200,53.6937,77.3524,103.1271,154.8698,13.4207,156.6465,0.0072,0.0295,Population structure converged. Difference: 0.0330
1,6,53.6738,49.4339,Warrior,79.4379,79.1820,25.0006,11.9182,4.4613,1.9548,200,53.6937,77.1334,83.2568,110.1176,12.7059,86.6540,0.0037,0.0295,Population structure converged. Difference: 0.0330
1,7,53.6937,51.9777,Warrior,79.4651,79.2092,25.0092,11.9222,4.3942,1.9548,200,53.6937,36.3383,46.4080,59.1271,4.1119,17.7949,0.0024,0.0295,Population structure converged. Difference: 0.0330
2,0,50.8707,32.0512,Warrior,75.9272,80.2877,17.5844,4.3299,21.8708,1.8814,200,57.9635,311.8433,478.9262,461.6292,443.1981,439.8295,0.0410,0.0309,Population structure converged. Difference: 0.0382
2,1,50.8707,37.0459,Warrior,75.9272,80.2877,17.5844,4.3299,21.8708,1.8814,200,57.9635,188.6775,502.7571,405.3140,350.4060,305.8490,0.0339,0.0309,Population structure converged. Difference: 0.0382
2,2,51.2511,41.9238,Warrior,78.6896,78.5002,17.1929,4.2335,21.3839,1.8814,200,57.9635,122.6195,392.5299,382.8125,182.7424,225.9244,0.0251,0.0309,Population structure converged. Difference: 0.0382
2,3,56.3519,46.2486,Warrior,82.7046,87.4543,19.1540,4.7163,5.9708,1.8814,200,57.9635,63.0912,257.5499,386.8776,92.7034,119.3981,0.0113,0.0309,Population structure converged. Difference: 0.0382
2,4,56.4121,49.3108,Warrior,85.2602,85.0550,18.6285,4.5870,6.4693,1.8814,200,57.9635,32.8788,72.3925,201.5316,36.0424,58.8125,0.0039,0.0309,Population structure converged. Difference: 0.0382
2,5,56.6565,50.9884,Warrior,72.9541,74.8932,46.2254,0.9082,5.0191,1.8814,200,57.9635,22.2509,22.6591,140.3707,11.1852,33.8047,0.0014,0.0309,Population structure converged. Difference: 0.0382
2,6,57.0003,52.4468,Warrior,77.3758,71.3848,44.0468,1.1021,6.0905,1.8814,200,57.9635,27.5999,36.2917,220.0976,2.7957,49.7831,0.0002,0.0309,Population structure converged. Difference: 0.0382
2,7,57.9304,54.3267,Warrior,84.6320,86.8814,21.6104,1.0536,5.8226,1.8814,200,57.9635,39.6446,54.0981,235.2938,3.1230,49.5414,0.0000,0.0309,Population structure converged. Difference: 0.0382
2,8,57.9635,55.8303,Warrior,84.4754,87.3773,21.4503,1.0262,5.6708,1.8814,200,57.9635,36.7399,63.0984,195.9599,3.0942,22.6808,0.0000,0.0309,Population structure converged. Difference: 0.0382
3,0,54.9291,30.9681,Warrior,78.9785,81.9662,23.3813,3.0057,12.6683,1.8874,200,58.8662,427.9320,477.3674,461.5514,291.0896,446.4352,0.0390,0.0229,Population structure converged. Difference: 0.0467
3,1,54.9291,36.9314,Warrior,78.9785,81.9662,23.3813,3.0057,12.6683,1.8874,200,58.8662,323.6851,358.8407,414.5269,240.0295,285.3986,0.0333,0.0229,Population structure converged. Difference: 0.0467
3,2,54.9291,42.5222,Warrior,78.9785,81.9662,23.3813,3.0057,12.6683,1.8874,200,58.8662,192.6281,320.7329,645.3930,195.8887,220.2373,0.0207,0.0229,Population structure converged. Difference: 0.0467
3,3,58.0526,47.4536,Warrior,83.1586,86.3044,24.6188,4.7042,1.2141,1.8811,200,58.8662,107.9444,436.7245,759.5672,99.1227,92.2227,0.0079,0.0229,Population structure converged. Difference: 0.0467
3,4,58.7585,51.4054,Warrior,83.6424,86.8065,24.7620,3.1832,1.6058,1.8874,200,58.8662,107.8824,443.4821,632.8359,21.6964,57.8161,0.0005,0.0229,Population structure converged. Difference: 0.0467
3,5,58.7585,54.4235,Warrior,83.6424,86.8065,24.7620,3.1832,1.6058,1.8874,200,58.8662,65.6063,245.3939,182.8342,12.9101,44.2436,0.0001,0.0229,Population structure converged. Difference: 0.0467
3,6,58.8662,56.2410,Warrior,83.7765,86.9456,24.8017,3.1883,1.2879,1.8874,200,58.8662,43.6775,114.0145,86.7807,1.8683,42.6058,0.0000,0.0229,Population structure converged. Difference: 0.0467
4,0,46.3725,31.7768,Warrior,103.3195,49.8128,31.5429,9.9941,5.3306,1.7974,200,56.2513,436.6152,412.3092,295.1296,304.0495,294.0972,0.0308,0.0352,Population structure converged. Difference: 0.0425
4,1,46.7921,36.4017,Warrior,83.1190,94.3753,1.2079,17.0093,4.2884,1.7974,200,56.2513,360.4015,485.9196,352.1669,146.4345,252.7135,0.0287,0.0352,Population structure converged. Difference: 0.0425
