Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,48.4967,29.3636,Warrior,90.3497,48.8229,36.7879,11.7831,12.2565,1.8565,200,55.0378,378.0701,353.9846,494.0849,353.3490,359.8538,0.0404,0.0525,Population structure converged. Difference: 0.0488
1,1,48.4967,33.3455,Warrior,90.3497,48.8229,36.7879,11.7831,12.2565,1.8565,200,55.0378,189.0119,352.7128,439.8038,331.2359,264.2304,0.0345,0.0525,Population structure converged. Difference: 0.0488
1,2,48.4967,35.4970,Warrior,90.3497,48.8229,36.7879,11.7831,12.2565,1.8565,200,55.0378,180.5108,270.6843,354.6115,277.0273,237.0059,0.0207,0.0525,Population structure converged. Difference: 0.0488
1,3,48.6790,38.2011,Warrior,76.6348,55.4278,41.0879,13.1604,13.6891,1.8565,200,55.0378,220.9927,189.6988,278.1159,190.8046,222.9841,0.0181,0.0525,Population structure converged. Difference: 0.0488
1,4,53.2447,40.7276,Warrior,87.6095,74.9539,20.2344,5.3175,11.8847,1.8565,200,55.0378,191.2778,138.3887,214.6237,123.6891,162.9014,0.0129,0.0525,Population structure converged. Difference: 0.0488
1,5,53.2447,43.8932,Warrior,87.6095,74.9539,20.2344,5.3175,11.8847,1.8565,200,55.0378,232.3235,105.3590,199.2984,58.4447,119.4524,0.0085,0.0525,Population structure converged. Difference: 0.0488
1,6,53.2447,45.7083,Warrior,87.6095,74.9539,20.2344,5.3175,11.8847,1.8565,200,55.0378,216.3349,94.9118,138.7952,51.7136,93.2143,0.0065,0.0525,Population structure converged. Difference: 0.0488
1,7,53.2447,47.6406,Warrior,87.6095,74.9539,20.2344,5.3175,11.8847,1.8565,200,55.0378,150.0728,100.7501,144.4642,35.3058,63.9415,0.0031,0.0525,Population structure converged. Difference: 0.0488
1,8,53.2447,49.1603,Warrior,87.6095,74.9539,20.2344,5.3175,11.8847,1.8565,200,55.0378,110.5550,127.2983,156.0034,31.1368,49.0751,0.0013,0.0525,Population structure converged. Difference: 0.0488
1,9,53.8411,50.3981,Warrior,72.7387,77.4236,33.4309,3.2877,13.1191,1.8806,200,55.0378,108.2387,137.5930,156.2904,19.8228,37.9493,0.0010,0.0525,Population structure converged. Difference: 0.0488
