Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,43.4991,27.5312,Warrior,81.5475,41.8790,59.1029,3.7668,13.7038,1.5000,200,56.6581,301.1925,380.1386,531.1124,387.8876,454.9097,0.0436,0.0790,Population structure converged. Difference: 0.0498
1,1,43.4991,28.6139,Warrior,81.5475,41.8790,59.1029,3.7668,13.7038,1.5000,200,56.6581,284.9014,302.9595,524.1366,351.8266,355.0086,0.0369,0.0790,Population structure converged. Difference: 0.0498
1,2,50.3794,29.7314,Warrior,58.8921,68.7152,62.5087,3.9839,5.9001,1.9447,200,56.6581,212.3964,279.1534,496.6114,308.2810,385.0187,0.0394,0.0790,Population structure converged. Difference: 0.0498
1,3,53.1237,30.8539,Warrior,72.3606,84.4303,25.8240,10.1355,7.2495,1.9447,200,56.6581,174.3607,343.5550,417.6043,314.0593,412.7889,0.0401,0.0790,Population structure converged. Difference: 0.0498
1,4,53.1237,33.0982,Warrior,72.3606,84.4303,25.8240,10.1355,7.2495,1.9447,200,56.6581,180.8700,354.9389,421.0229,337.3962,416.1566,0.0456,0.0790,Population structure converged. Difference: 0.0498
1,5,53.5507,33.7747,Warrior,73.2822,85.5056,26.1529,10.2646,4.7947,1.9511,200,56.6581,170.7755,352.2162,444.4912,294.3835,452.3777,0.0500,0.0790,Population structure converged. Difference: 0.0498
1,6,53.5507,35.2163,Warrior,73.2822,85.5056,26.1529,10.2646,4.7947,1.9511,200,56.6581,187.7570,409.5845,407.6720,331.4203,408.5372,0.0526,0.0790,Population structure converged. Difference: 0.0498
1,7,53.5507,36.5711,Warrior,73.2822,85.5056,26.1529,10.2646,4.7947,1.9511,200,56.6581,228.2030,462.2779,394.5558,281.8372,362.8379,0.0556,0.0790,Population structure converged. Difference: 0.0498
1,8,53.5507,39.5888,Warrior,73.2822,85.5056,26.1529,10.2646,4.7947,1.9511,200,56.6581,188.8105,475.2419,280.2879,259.2051,266.4194,0.0566,0.0790,Population structure converged. Difference: 0.0498
1,9,54.6588,40.7723,Warrior,73.9258,86.2565,26.3826,6.0288,7.4063,1.9447,200,56.6581,180.0976,479.7279,273.2422,218.1895,200.8529,0.0575,0.0790,Population structure converged. Difference: 0.0498
1,10,53.5507,42.9052,Warrior,73.2822,85.5056,26.1529,10.2646,4.7947,1.9511,200,56.6581,146.4392,386.9598,221.5693,173.4437,168.4101,0.0612,0.0790,Population structure converged. Difference: 0.0498
1,11,54.8605,45.5811,Warrior,92.5614,71.0680,21.7370,8.5314,6.1022,1.9447,200,56.6581,143.4989,314.7019,171.1833,98.9568,142.5059,0.0561,0.0790,Population structure converged. Difference: 0.0498
1,12,54.8605,46.6744,Warrior,92.5614,71.0680,21.7370,8.5314,6.1022,1.9447,200,56.6581,136.2915,231.8863,166.2479,60.1210,154.2673,0.0412,0.0790,Population structure converged. Difference: 0.0498
1,13,55.0615,48.5135,Warrior,90.5618,69.5328,25.5879,8.3471,5.9703,1.9447,200,56.6581,147.8268,216.0915,151.1639,30.7451,104.2929,0.0248,0.0790,Population structure converged. Difference: 0.0498
1,14,55.4824,50.1873,Warrior,71.5132,94.1739,26.9762,6.9679,0.3687,1.9447,200,56.6581,141.1535,198.0792,152.7565,19.1956,72.5244,0.0094,0.0790,Population structure converged. Difference: 0.0498
1,15,56.0595,51.0154,Warrior,84.4966,78.9762,24.1558,6.8008,5.5705,1.9447,200,56.6581,75.7399,161.5923,118.4994,17.6719,66.0208,0.0057,0.0790,Population structure converged. Difference: 0.0498
1,16,55.7075,51.6733,Warrior,88.7802,67.9104,32.7291,10.2267,0.3537,1.9511,200,56.6581,60.1750,163.8836,90.4444,7.3870,33.9369,0.0046,0.0790,Population structure converged. Difference: 0.0498
1,17,56.0595,51.9511,Warrior,84.4966,78.9762,24.1558,6.8008,5.5705,1.9447,200,56.6581,48.2597,179.2413,91.5850,6.4920,24.0077,0.0059,0.0790,Population structure converged. Difference: 0.0498
1,18,56.2885,52.5088,Warrior,76.2081,90.7328,25.9905,6.7133,0.3552,1.9511,200,56.6581,59.5676,161.9185,96.1001,5.9283,8.9316,0.0030,0.0790,Population structure converged. Difference: 0.0498
1,19,56.2885,52.9349,Warrior,76.2081,90.7328,25.9905,6.7133,0.3552,1.9511,200,56.6581,48.8356,126.1975,83.9697,6.0086,8.4861,0.0030,0.0790,Population structure converged. Difference: 0.0498
1,20,56.3248,53.4245,Warrior,90.2855,69.0618,31.4608,8.8322,0.3597,1.9511,200,56.6581,35.7748,99.2588,67.7447,5.5061,9.0288,0.0015,0.0790,Population structure converged. Difference: 0.0498
1,21,56.6581,53.9690,Warrior,78.7436,71.7563,42.9504,6.1791,0.3707,1.9511,200,56.6581,24.8807,71.4239,56.2622,4.7509,9.9682,0.0030,0.0790,Population structure converged. Difference: 0.0498
