Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,51.1700,31.1833,Warrior,87.9590,75.0119,10.2944,10.9973,15.7375,1.9131,200,56.5735,529.4164,446.5916,473.6308,419.8716,430.1126,0.0377,0.0550,Population structure converged. Difference: 0.0085
1,1,51.4181,37.4736,Warrior,86.4830,77.1092,10.1216,10.8127,15.4734,1.9131,200,56.5735,324.8237,347.4147,609.4564,181.7504,249.0977,0.0400,0.0550,Population structure converged. Difference: 0.0085
1,2,51.4181,42.4161,Warrior,86.4830,77.1092,10.1216,10.8127,15.4734,1.9131,200,56.5735,254.9357,272.7306,584.5152,46.5549,122.7269,0.0361,0.0550,Population structure converged. Difference: 0.0085
1,3,52.4061,45.6265,Warrior,71.8987,82.6608,28.1109,14.3943,2.9353,1.9521,200,56.5735,152.1502,230.4814,409.8801,29.2678,85.5871,0.0323,0.0550,Population structure converged. Difference: 0.0085
1,4,52.4061,48.5141,Warrior,71.8987,82.6608,28.1109,14.3943,2.9353,1.9521,200,56.5735,81.9616,143.5354,319.4652,4.7118,26.2929,0.0194,0.0550,Population structure converged. Difference: 0.0085
1,5,53.9906,50.1089,Warrior,81.8166,76.2610,25.9345,13.2799,2.7081,1.9521,200,56.5735,54.9012,86.4877,236.8678,2.6585,25.7368,0.0055,0.0550,Population structure converged. Difference: 0.0085
1,6,54.2440,51.1615,Warrior,75.8544,80.2283,27.1687,13.9118,2.8369,1.9131,200,56.5735,47.4928,39.2666,144.9776,2.2705,27.4269,0.0009,0.0550,Population structure converged. Difference: 0.0085
1,7,55.2479,51.9329,Warrior,94.1844,80.7623,10.6011,11.3250,3.1272,1.9131,200,56.5735,58.6475,47.8322,133.9133,3.2027,39.0725,0.0007,0.0550,Population structure converged. Difference: 0.0085
1,8,55.9526,53.0006,Warrior,84.7419,72.2684,29.2825,10.5950,3.1122,1.9131,200,56.5735,50.4862,47.8604,103.0896,2.9142,26.9902,0.0003,0.0550,Population structure converged. Difference: 0.0085
1,9,56.1630,54.0578,Warrior,87.2546,74.8200,24.5366,10.4917,2.8971,1.9131,200,56.5735,38.6306,40.4157,85.0906,2.1146,10.6257,0.0004,0.0550,Population structure converged. Difference: 0.0085
1,10,56.1630,54.6837,Warrior,87.2546,74.8200,24.5366,10.4917,2.8971,1.9131,200,56.5735,33.7894,28.2053,72.4038,1.3749,5.3981,0.0003,0.0550,Population structure converged. Difference: 0.0085
1,11,56.4382,55.1361,Warrior,86.5634,73.8217,26.9766,9.7607,2.8776,1.9131,200,56.5735,25.9176,19.1536,59.4473,1.0436,3.0723,0.0002,0.0550,Population structure converged. Difference: 0.0085
1,12,56.5039,55.5578,Warrior,86.6275,77.7206,23.0656,9.8628,2.7234,1.9131,200,56.5735,20.4776,13.6265,41.2517,0.8077,1.3059,0.0001,0.0550,Population structure converged. Difference: 0.0085
1,13,56.5735,55.8976,Warrior,85.3558,76.9993,25.2513,9.5718,2.8218,1.9131,200,56.5735,7.5189,7.6879,16.0060,0.5530,0.0150,0.0000,0.0550,Population structure converged. Difference: 0.0085
1,14,56.5735,56.0940,Warrior,85.3558,76.9993,25.2513,9.5718,2.8218,1.9131,200,56.5735,2.9896,3.5909,6.5097,0.3509,0.0120,0.0000,0.0550,Population structure converged. Difference: 0.0085
2,0,43.2879,29.3519,Warrior,60.3547,49.9094,63.7169,5.3185,20.7006,1.9887,200,57.4698,265.9342,389.3653,485.9561,435.7985,371.3801,0.0335,0.0678,Population structure converged. Difference: 0.0092
2,1,43.2879,33.1754,Warrior,60.3547,49.9094,63.7169,5.3185,20.7006,1.9887,200,57.4698,135.1097,342.9614,460.8222,332.8055,261.1944,0.0450,0.0678,Population structure converged. Difference: 0.0092
