Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,39.0486,28.8258,Warrior,79.6782,47.7907,44.8306,22.7075,4.9930,1.5603,200,58.0918,426.6811,409.2803,469.8916,412.0952,504.0281,0.0347,0.1580,Population structure converged. Difference: 0.0091
1,1,42.4652,30.8051,Warrior,53.5353,90.0096,15.8935,17.6793,22.8824,1.9260,200,58.0918,315.9302,379.4666,395.5046,380.5518,474.2905,0.0329,0.1580,Population structure converged. Difference: 0.0091
1,2,44.2332,32.4156,Warrior,65.4163,54.5969,49.0668,7.8935,23.0266,1.9896,200,58.0918,272.0118,411.3046,371.6008,366.6940,417.6522,0.0371,0.1580,Population structure converged. Difference: 0.0091
1,3,45.8850,34.2537,Warrior,57.2781,96.3024,17.0046,4.9327,24.4822,1.9260,200,58.0918,276.4949,510.7896,436.6802,301.9762,411.5595,0.0473,0.1580,Population structure converged. Difference: 0.0091
1,4,49.6514,36.1586,Warrior,70.5842,83.0904,19.3186,24.7178,2.2891,1.9260,200,58.0918,200.4766,589.0778,428.3153,280.9177,201.1419,0.0548,0.1580,Population structure converged. Difference: 0.0091
1,5,50.8864,40.8056,Warrior,73.1865,85.5681,15.1092,4.3829,21.7533,1.9260,200,58.0918,138.4327,494.5247,365.2077,148.3709,170.7681,0.0475,0.1580,Population structure converged. Difference: 0.0091
1,6,55.8646,42.8940,Warrior,73.8121,100.5331,17.7517,5.5094,2.3937,1.9260,200,58.0918,100.7413,430.2858,276.5765,91.0893,152.5067,0.0382,0.1580,Population structure converged. Difference: 0.0091
1,7,55.8646,45.2153,Warrior,73.8121,100.5331,17.7517,5.5094,2.3937,1.9260,200,58.0918,91.2928,477.3037,211.6055,76.9894,168.1168,0.0247,0.1580,Population structure converged. Difference: 0.0091
1,8,55.8646,47.6867,Warrior,73.8121,100.5331,17.7517,5.5094,2.3937,1.9260,200,58.0918,87.5648,367.1754,223.7058,65.0779,138.7949,0.0185,0.1580,Population structure converged. Difference: 0.0091
1,9,57.6946,50.3819,Warrior,82.6698,93.4762,16.5056,5.1227,2.2257,1.9260,200,58.0918,64.9286,223.4882,135.8760,47.8932,84.7141,0.0124,0.1580,Population structure converged. Difference: 0.0091
