Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,43.4086,29.4195,Warrior,83.7818,51.0996,55.5496,8.6404,0.9286,1.5711,200,55.4008,510.3759,336.7043,344.0413,265.3611,408.7850,0.0501,0.0777,Population structure converged. Difference: 0.0098
1,1,43.9481,31.8181,Warrior,67.2768,39.0066,55.6423,8.4098,29.6645,1.9294,200,55.4008,422.7108,254.1402,253.9281,251.9184,448.3413,0.0513,0.0777,Population structure converged. Difference: 0.0098
1,2,44.4417,32.8451,Warrior,51.9139,59.4861,64.6665,10.0584,13.8751,1.8946,200,55.4008,316.8672,194.9286,172.6667,266.7233,352.8797,0.0515,0.0777,Population structure converged. Difference: 0.0098
1,3,48.1892,36.2219,Warrior,64.4893,59.5822,64.7710,10.0747,1.0827,1.8350,200,55.4008,251.8952,166.8581,161.1890,251.6749,276.8805,0.0503,0.0777,Population structure converged. Difference: 0.0098
1,4,50.1348,38.2253,Warrior,78.0781,47.6208,51.7679,8.0522,14.4809,1.8946,200,55.4008,198.6448,140.8461,134.9744,180.0230,228.6974,0.0497,0.0777,Population structure converged. Difference: 0.0098
1,5,54.3382,40.5814,Warrior,82.7635,52.9093,54.8745,8.5354,0.9173,1.8946,200,55.4008,168.1759,110.7277,123.1137,161.0651,190.0125,0.0379,0.0777,Population structure converged. Difference: 0.0098
1,6,54.3382,42.9242,Warrior,82.7635,52.9093,54.8745,8.5354,0.9173,1.8946,200,55.4008,172.3859,99.8713,114.9399,163.7570,183.1898,0.0343,0.0777,Population structure converged. Difference: 0.0098
1,7,54.5401,45.3377,Warrior,82.0644,54.1519,54.4109,8.4633,0.9096,1.8946,200,55.4008,159.5470,68.1129,93.1097,93.8122,124.6182,0.0295,0.0777,Population structure converged. Difference: 0.0098
1,8,54.5401,48.3893,Warrior,82.0644,54.1519,54.4109,8.4633,0.9096,1.8946,200,55.4008,139.7099,41.3788,42.1530,45.4932,94.1819,0.0168,0.0777,Population structure converged. Difference: 0.0098
1,9,55.2397,50.4523,Warrior,87.8562,53.9453,49.5220,7.7028,0.9738,1.8946,200,55.4008,129.8909,31.3992,19.4492,38.4510,59.6363,0.0149,0.0777,Population structure converged. Difference: 0.0098
1,10,55.2397,51.9680,Warrior,87.8562,53.9453,49.5220,7.7028,0.9738,1.8946,200,55.4008,68.4197,10.9847,16.0737,19.5723,30.5469,0.0094,0.0777,Population structure converged. Difference: 0.0098
1,11,55.2459,53.1741,Warrior,84.9260,55.3548,50.8159,7.9041,0.9992,1.8946,200,55.4008,34.1588,7.4041,6.7462,11.0399,9.5750,0.0011,0.0777,Population structure converged. Difference: 0.0098
1,12,55.2459,53.4105,Warrior,84.9260,55.3548,50.8159,7.9041,0.9992,1.8946,200,55.4008,20.6560,7.1590,8.1123,5.4533,1.1033,0.0015,0.0777,Population structure converged. Difference: 0.0098
