Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,44.2837,29.6230,Warrior,68.7987,71.5340,36.0108,14.3230,9.3335,1.4229,200,53.7374,403.5281,501.9606,511.7832,509.2523,438.5784,0.0439,0.1796,Population structure converged. Difference: 0.0090
1,1,44.9743,33.8858,Warrior,85.4695,43.7205,33.4066,18.3733,19.0302,1.9326,200,53.7374,234.2438,447.8342,374.5763,401.1871,407.0210,0.0435,0.1796,Population structure converged. Difference: 0.0090
1,2,49.1760,37.2157,Warrior,63.3742,74.4916,37.4996,14.9152,9.7194,1.8832,200,53.7374,130.5362,346.6414,244.4169,314.6129,266.0465,0.0450,0.1796,Population structure converged. Difference: 0.0090
1,3,49.1760,39.8028,Warrior,63.3742,74.4916,37.4996,14.9152,9.7194,1.8832,200,53.7374,94.6040,317.7574,204.9879,148.3769,219.1703,0.0458,0.1796,Population structure converged. Difference: 0.0090
1,4,49.1760,41.9570,Warrior,63.3742,74.4916,37.4996,14.9152,9.7194,1.8832,200,53.7374,56.3387,295.1758,175.5426,93.5698,171.7368,0.0471,0.1796,Population structure converged. Difference: 0.0090
1,5,50.4465,43.6119,Warrior,68.4363,71.1572,36.4569,14.5004,9.4491,1.8832,200,53.7374,41.8490,273.2944,183.0044,40.3266,102.2317,0.0499,0.1796,Population structure converged. Difference: 0.0090
1,6,50.4465,45.1830,Warrior,68.4363,71.1572,36.4569,14.5004,9.4491,1.8832,200,53.7374,38.0424,252.2850,163.0609,29.8098,68.8252,0.0365,0.1796,Population structure converged. Difference: 0.0090
1,7,51.3010,46.3767,Warrior,71.2026,69.8080,35.1418,13.9774,9.8702,1.9326,200,53.7374,30.0301,235.5165,131.2163,9.9700,54.0919,0.0302,0.1796,Population structure converged. Difference: 0.0090
1,8,51.0898,47.5510,Warrior,71.4360,69.9040,35.1902,13.9966,9.4732,1.8832,200,53.7374,31.7259,186.6342,96.9728,9.2073,23.4615,0.0162,0.1796,Population structure converged. Difference: 0.0090
1,9,51.0898,47.7136,Warrior,71.4360,69.9040,35.1902,13.9966,9.4732,1.8832,200,53.7374,26.2933,174.4799,82.8270,7.0755,22.5114,0.0141,0.1796,Population structure converged. Difference: 0.0090
