Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,46.9460,29.1867,Warrior,82.3824,79.1761,23.3816,13.0747,1.9851,1.4949,200,60.0635,292.7238,429.9952,465.5561,362.4439,495.8148,0.0394,0.0992,Population structure converged. Difference: 0.0078
1,1,53.1351,31.2806,Warrior,92.2514,91.8136,6.8940,7.2561,1.7848,1.8250,200,60.0635,317.4308,417.8238,530.0344,335.4731,443.4798,0.0438,0.0992,Population structure converged. Difference: 0.0078
1,2,53.1351,33.2392,Warrior,92.2514,91.8136,6.8940,7.2561,1.7848,1.8250,200,60.0635,347.8836,413.3771,586.9076,280.2900,343.5748,0.0492,0.0992,Population structure converged. Difference: 0.0078
1,3,53.9974,36.5674,Warrior,93.4556,93.0120,6.9840,2.8341,3.7143,1.8250,200,60.0635,351.7214,457.1739,596.0558,201.0402,295.3308,0.0485,0.0992,Population structure converged. Difference: 0.0078
1,4,53.9974,39.1557,Warrior,93.4556,93.0120,6.9840,2.8341,3.7143,1.8250,200,60.0635,331.6537,459.1643,494.0562,104.4858,237.3388,0.0522,0.0992,Population structure converged. Difference: 0.0078
1,5,56.0390,41.0855,Warrior,82.4390,82.0477,33.0686,0.8498,1.5950,1.8250,200,60.0635,309.5415,427.2181,414.1817,120.3437,224.0705,0.0510,0.0992,Population structure converged. Difference: 0.0078
1,6,57.0996,43.6423,Warrior,93.9047,93.4590,7.0175,2.8478,2.7709,1.9531,200,60.0635,289.3815,417.9186,376.1955,85.8974,159.2620,0.0534,0.0992,Population structure converged. Difference: 0.0078
1,7,57.6192,46.0802,Warrior,93.4556,93.0120,6.9840,2.8341,3.7143,1.9365,200,60.0635,291.1738,324.6094,312.4852,58.3304,133.1492,0.0493,0.0992,Population structure converged. Difference: 0.0078
1,8,58.5833,48.8069,Warrior,79.8810,79.5019,35.2337,0.9995,4.3838,1.9365,200,60.0635,244.9454,307.1182,255.9427,50.3533,88.7535,0.0350,0.0992,Population structure converged. Difference: 0.0078
1,9,59.1446,50.9671,Warrior,80.0877,82.8749,33.4166,1.1539,2.4669,1.9365,200,60.0635,193.9256,237.1673,264.6435,45.3302,42.4534,0.0206,0.0992,Population structure converged. Difference: 0.0078
1,10,59.1446,53.1633,Warrior,80.0877,82.8749,33.4166,1.1539,2.4669,1.9365,200,60.0635,107.8290,181.6352,205.1670,32.7107,20.4713,0.0114,0.0992,Population structure converged. Difference: 0.0078
