Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,41.6881,30.3017,Warrior,74.9114,65.4341,26.6030,3.7868,29.2646,1.7378,200,54.0377,360.9432,426.7620,346.2591,275.8583,420.0954,0.0333,0.0387,Population structure converged. Difference: 0.0433
1,1,41.6881,33.4869,Warrior,74.9114,65.4341,26.6030,3.7868,29.2646,1.7378,200,54.0377,285.5100,327.6792,304.2089,218.0511,324.2766,0.0302,0.0387,Population structure converged. Difference: 0.0433
1,2,44.9248,37.2313,Warrior,54.5211,60.1322,55.1349,13.1150,17.0968,1.9234,200,54.0377,343.3387,183.7156,251.6020,189.0084,195.6141,0.0245,0.0387,Population structure converged. Difference: 0.0433
1,3,49.9326,39.9415,Warrior,76.8979,50.8830,46.6543,11.0977,14.4671,1.9234,200,54.0377,204.4795,166.0633,215.5001,154.9129,144.4088,0.0235,0.0387,Population structure converged. Difference: 0.0433
1,4,49.9326,42.6156,Warrior,76.8979,50.8830,46.6543,11.0977,14.4671,1.9234,200,54.0377,139.1610,101.5706,172.6333,93.2124,83.5347,0.0232,0.0387,Population structure converged. Difference: 0.0433
1,5,51.4657,44.6742,Warrior,77.8247,67.9788,27.6375,11.5293,15.0297,1.9234,200,54.0377,168.7840,105.4792,167.6694,46.0049,60.0717,0.0230,0.0387,Population structure converged. Difference: 0.0433
1,6,51.4657,46.8198,Warrior,77.8247,67.9788,27.6375,11.5293,15.0297,1.9234,200,54.0377,192.4635,103.5506,173.1986,31.1852,28.3385,0.0126,0.0387,Population structure converged. Difference: 0.0433
1,7,54.5836,48.3818,Warrior,99.5966,56.7904,31.1717,4.4372,8.0042,1.9136,200,54.0377,136.1449,85.2469,138.3603,19.4694,24.1746,0.0046,0.0387,Population structure converged. Difference: 0.0433
1,8,53.9708,49.6580,Warrior,78.9711,71.9162,29.2383,5.0173,14.8571,1.9234,200,54.0377,60.3111,93.3408,119.6375,12.7242,9.6314,0.0041,0.0387,Population structure converged. Difference: 0.0433
1,9,53.9708,50.8585,Warrior,78.9711,71.9162,29.2383,5.0173,14.8571,1.9234,200,54.0377,29.7884,70.8278,77.1714,12.9837,6.5014,0.0019,0.0387,Population structure converged. Difference: 0.0433
1,10,54.0377,51.7932,Warrior,80.6280,70.4274,29.1382,5.0001,14.8062,1.9234,200,54.0377,30.5641,61.9697,50.0631,15.0532,6.5670,0.0014,0.0387,Population structure converged. Difference: 0.0433
2,0,51.3842,30.9946,Warrior,91.6275,62.2877,23.9216,20.4653,1.6979,1.8970,200,58.7760,535.9123,463.9149,434.3931,386.0242,475.9206,0.0565,0.0304,Population structure converged. Difference: 0.0327
2,1,51.3842,36.7027,Warrior,91.6275,62.2877,23.9216,20.4653,1.6979,1.8970,200,58.7760,386.2071,484.6095,378.7155,315.7875,360.1680,0.0584,0.0304,Population structure converged. Difference: 0.0327
2,2,53.0675,42.8453,Warrior,93.1755,62.4927,34.8432,6.4282,3.0603,1.9803,200,58.7760,194.6786,315.5916,450.3004,144.4929,283.2338,0.0398,0.0304,Population structure converged. Difference: 0.0327
2,3,53.0675,46.3508,Warrior,93.1755,62.4927,34.8432,6.4282,3.0603,1.9803,200,58.7760,177.2741,250.5872,377.6126,75.6726,265.8505,0.0221,0.0304,Population structure converged. Difference: 0.0327
2,4,58.3916,49.5866,Warrior,84.3320,86.3782,22.7286,4.9984,1.5627,1.8970,200,58.7760,104.2592,150.7244,194.9373,46.5922,108.4357,0.0062,0.0304,Population structure converged. Difference: 0.0327
2,5,58.3916,50.9200,Warrior,84.3320,86.3782,22.7286,4.9984,1.5627,1.8970,200,58.7760,103.2987,108.3118,101.8128,49.7737,90.8738,0.0025,0.0304,Population structure converged. Difference: 0.0327
2,6,58.3916,53.2683,Warrior,84.3320,86.3782,22.7286,4.9984,1.5627,1.8970,200,58.7760,48.8875,70.8511,59.2823,53.7492,31.9149,0.0027,0.0304,Population structure converged. Difference: 0.0327
2,7,58.4028,55.5294,Warrior,83.8320,85.8660,23.7797,4.9688,1.5535,1.8970,200,58.7760,33.9959,97.0517,20.1093,41.2087,3.0492,0.0006,0.0304,Population structure converged. Difference: 0.0327
2,8,58.7760,56.9139,Warrior,91.5219,80.1820,22.2056,4.6399,1.4506,1.8970,200,58.7760,34.8064,94.8104,18.3194,22.3551,0.3504,0.0004,0.0304,Population structure converged. Difference: 0.0327
3,0,46.1073,28.7918,Warrior,59.3296,54.4311,59.9930,15.8769,10.3694,1.9088,200,58.3994,406.7486,562.1804,501.4347,397.8464,502.2383,0.0392,0.0364,Population structure converged. Difference: 0.0450
3,1,46.1073,32.8761,Warrior,59.3296,54.4311,59.9930,15.8769,10.3694,1.9088,200,58.3994,158.8237,494.0374,480.8129,346.5605,350.4797,0.0432,0.0364,Population structure converged. Difference: 0.0450
3,2,46.1073,35.8218,Warrior,59.3296,54.4311,59.9930,15.8769,10.3694,1.9088,200,58.3994,112.9556,366.2730,451.0654,274.9523,296.1204,0.0370,0.0364,Population structure converged. Difference: 0.0450
3,3,52.1682,39.5050,Warrior,72.4337,66.3850,42.4333,4.6501,14.0979,1.9555,200,58.3994,88.5378,218.9235,285.7288,204.4474,207.1901,0.0291,0.0364,Population structure converged. Difference: 0.0450
3,4,55.5785,43.5520,Warrior,66.3538,88.9301,38.1186,0.8106,5.7869,1.9088,200,58.3994,82.2131,197.9154,238.1339,123.6629,120.0594,0.0117,0.0364,Population structure converged. Difference: 0.0450
3,5,56.4354,47.3534,Warrior,73.0096,97.8505,21.8806,0.8919,6.3674,1.9088,200,58.3994,63.3034,162.8651,248.0566,59.4421,30.7593,0.0055,0.0364,Population structure converged. Difference: 0.0450
3,6,57.0384,49.7166,Warrior,72.2914,78.9911,41.5296,0.8832,6.3048,1.9088,200,58.3994,60.6147,196.3813,246.9254,61.2376,18.2608,0.0045,0.0364,Population structure converged. Difference: 0.0450
3,7,58.3994,52.2361,Warrior,86.2480,83.0204,22.7705,0.9705,6.9906,1.9065,200,58.3994,59.2659,199.4391,152.0838,67.7006,10.4367,0.0031,0.0364,Population structure converged. Difference: 0.0450
3,8,58.3994,54.8581,Warrior,86.2480,83.0204,22.7705,0.9705,6.9906,1.9065,200,58.3994,31.3500,181.5293,109.6534,44.0582,6.3236,0.0001,0.0364,Population structure converged. Difference: 0.0450
3,9,58.3994,55.8845,Warrior,86.2480,83.0204,22.7705,0.9705,6.9906,1.9065,200,58.3994,29.4090,152.0440,95.5945,35.1148,3.6475,0.0000,0.0364,Population structure converged. Difference: 0.0450
4,0,36.8599,28.6868,Warrior,67.8461,22.9165,64.4885,13.1638,31.5852,1.8167,200,53.9335,281.5401,337.5273,270.5954,298.2199,346.5344,0.0432,0.0432,Population structure converged. Difference: 0.0484
4,1,45.1728,31.5112,Warrior,57.4838,55.5331,52.5736,7.0250,27.3845,1.9190,200,53.9335,170.5626,215.1923,232.1321,304.1037,302.0381,0.0398,0.0432,Population structure converged. Difference: 0.0484
4,2,45.1728,33.7952,Warrior,57.4838,55.5331,52.5736,7.0250,27.3845,1.9190,200,53.9335,131.6935,189.1275,187.1483,279.7418,232.9697,0.0389,0.0432,Population structure converged. Difference: 0.0484
4,3,47.1421,36.1115,Warrior,55.5022,68.4962,57.2336,7.6477,11.1203,1.9531,200,53.9335,94.0544,160.6361,124.0769,203.5789,195.3134,0.0285,0.0432,Population structure converged. Difference: 0.0484
4,4,48.2459,39.0326,Warrior,57.8492,71.3926,51.3623,7.8055,11.5905,1.9531,200,53.9335,82.6040,133.6892,127.5035,151.7772,150.6278,0.0242,0.0432,Population structure converged. Difference: 0.0484
4,5,51.1826,42.2298,Warrior,63.4516,59.5697,64.3756,4.3265,8.2766,1.9190,200,53.9335,68.1137,57.6731,42.9297,77.6314,123.4049,0.0260,0.0432,Population structure converged. Difference: 0.0484
