Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,42.9981,33.5695,Warrior,98.0762,85.5977,2.4891,7.7351,6.1019,1.6665,200,54.4937,613.9664,601.6248,546.0775,387.5383,421.4648,0.0303,0.0304,Population structure converged. Difference: 0.0078
1,1,48.7089,39.0569,Warrior,98.0762,85.5977,2.4891,7.7351,6.1019,1.7898,200,54.4937,475.1784,532.7375,318.4163,238.5164,352.2468,0.0208,0.0304,Population structure converged. Difference: 0.0078
1,2,48.7089,42.8392,Warrior,98.0762,85.5977,2.4891,7.7351,6.1019,1.7898,200,54.4937,167.7712,183.6780,215.8298,59.1387,88.1493,0.0160,0.0304,Population structure converged. Difference: 0.0078
1,3,51.0126,45.5169,Warrior,77.1679,103.1570,2.9997,9.3219,7.3536,1.8561,200,54.4937,100.9040,60.2790,115.8082,29.7252,78.4575,0.0193,0.0304,Population structure converged. Difference: 0.0078
1,4,54.1111,47.6527,Warrior,98.0762,85.5977,2.4891,7.7351,6.1019,1.9458,200,54.4937,72.3366,57.2672,61.4640,5.2807,50.5999,0.0097,0.0304,Population structure converged. Difference: 0.0078
1,5,54.1538,49.5973,Warrior,97.9417,85.4804,2.7573,7.0612,6.7594,1.9458,200,54.4937,101.1307,77.5551,78.2058,1.1823,28.5391,0.0057,0.0304,Population structure converged. Difference: 0.0078
1,6,54.1538,51.8913,Warrior,97.9417,85.4804,2.7573,7.0612,6.7594,1.9458,200,54.4937,52.9006,42.0341,11.1030,0.6060,9.8172,0.0053,0.0304,Population structure converged. Difference: 0.0078
1,7,54.4819,53.3339,Warrior,94.0951,89.6536,2.7690,7.0912,6.3911,1.9458,200,54.4937,45.8581,20.1163,20.3236,0.5864,12.4099,0.0019,0.0304,Population structure converged. Difference: 0.0078
1,8,54.4937,53.9007,Warrior,93.4249,91.0587,2.1972,6.8279,6.4912,1.9458,200,54.4937,14.9247,12.7336,0.0269,0.6004,0.2152,0.0005,0.0304,Population structure converged. Difference: 0.0078
1,9,54.4937,54.0704,Warrior,93.4249,91.0587,2.1972,6.8279,6.4912,1.9458,200,54.4937,5.8008,5.5096,0.0328,0.2640,0.1713,0.0002,0.0304,Population structure converged. Difference: 0.0078
2,0,47.1700,34.0311,Warrior,62.5111,64.4179,60.9451,5.0069,7.1190,1.8079,200,56.5142,454.6188,818.5643,682.0725,597.1197,249.9929,0.0393,0.0345,Population structure converged. Difference: 0.0094
2,1,49.0748,40.2420,Warrior,76.7948,58.3189,35.9293,2.5173,26.4397,1.8642,200,56.5142,241.3554,882.9941,768.9299,401.2962,163.6133,0.0410,0.0345,Population structure converged. Difference: 0.0094
2,2,49.7059,43.4365,Warrior,70.3998,105.1476,5.5296,8.7321,10.1909,1.8642,200,56.5142,112.9960,793.1099,731.4954,106.6769,115.6195,0.0395,0.0345,Population structure converged. Difference: 0.0094
2,3,50.8162,45.5552,Warrior,80.2197,65.6849,40.4675,5.6271,8.0008,1.8079,200,56.5142,100.7424,500.6249,599.8916,58.1274,77.9277,0.0295,0.0345,Population structure converged. Difference: 0.0094
2,4,54.0624,47.6886,Warrior,78.4468,64.2333,39.5731,5.5027,12.2440,1.9286,200,56.5142,52.7181,510.0490,586.6992,29.9178,69.9471,0.0148,0.0345,Population structure converged. Difference: 0.0094
2,5,55.1780,49.8171,Warrior,83.8943,64.7749,39.9068,2.7960,8.6280,1.8642,200,56.5142,81.3269,387.2768,398.2382,22.8000,52.9428,0.0097,0.0345,Population structure converged. Difference: 0.0094
2,6,55.1780,52.1986,Warrior,83.8943,64.7749,39.9068,2.7960,8.6280,1.8642,200,56.5142,50.7885,274.4571,244.6666,8.5404,26.3166,0.0035,0.0345,Population structure converged. Difference: 0.0094
