Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,58.0687,34.1503,Warrior,74.9810,72.8753,47.7091,0.2640,4.1706,1.9143,200,59.2966,394.0442,339.9144,404.6856,392.7028,393.6350,0.0437,0.0336,Population structure converged. Difference: 0.0251
1,1,58.0687,40.6880,Warrior,74.9810,72.8753,47.7091,0.2640,4.1706,1.9143,200,59.2966,292.1904,287.6904,275.6716,242.9133,370.7045,0.0465,0.0336,Population structure converged. Difference: 0.0251
1,2,58.0687,47.3664,Warrior,74.9810,72.8753,47.7091,0.2640,4.1706,1.9143,200,59.2966,151.3420,216.5486,115.7625,133.0391,209.8775,0.0368,0.0336,Population structure converged. Difference: 0.0251
1,3,58.5416,53.7171,Warrior,79.2405,70.0438,45.8554,0.2538,4.6065,1.9143,200,59.2966,71.5869,112.5755,49.4823,56.2316,33.4998,0.0106,0.0336,Population structure converged. Difference: 0.0251
1,4,59.1203,56.2694,Warrior,82.0737,79.7689,32.5932,0.9991,4.5651,1.9143,200,59.2966,41.4808,62.8306,29.0705,39.8906,15.3485,0.0044,0.0336,Population structure converged. Difference: 0.0251
1,5,59.2966,57.8458,Warrior,81.2126,78.9320,35.0523,0.2860,4.5172,1.9143,200,59.2966,28.3562,26.7107,26.6383,4.6667,2.7557,0.0003,0.0336,Population structure converged. Difference: 0.0251
2,0,51.4623,32.7564,Warrior,78.8583,67.5328,31.5454,6.2877,15.7758,1.8563,200,59.6482,427.1267,598.2542,476.2321,378.9543,486.6283,0.0488,0.0460,Population structure converged. Difference: 0.0368
2,1,51.4623,37.9173,Warrior,78.8583,67.5328,31.5454,6.2877,15.7758,1.8563,200,59.6482,374.3349,577.1241,465.8038,221.6151,294.5296,0.0506,0.0460,Population structure converged. Difference: 0.0368
2,2,56.5338,43.9482,Warrior,106.2683,58.5775,30.3388,0.1028,4.7126,1.8923,200,59.6482,210.1579,346.6376,238.0073,106.1913,131.7360,0.0378,0.0460,Population structure converged. Difference: 0.0368
2,3,58.8983,47.8061,Warrior,96.5191,85.8820,13.2252,0.0934,4.2803,1.8923,200,59.6482,143.6394,145.3349,78.4274,57.7946,70.1129,0.0255,0.0460,Population structure converged. Difference: 0.0368
2,4,58.8983,50.5317,Warrior,96.5191,85.8820,13.2252,0.0934,4.2803,1.8923,200,59.6482,140.4501,111.1033,59.8716,36.9895,32.5267,0.0080,0.0460,Population structure converged. Difference: 0.0368
2,5,59.2835,53.3264,Warrior,93.6022,71.0872,31.0692,0.0906,4.1509,1.8923,200,59.6482,175.5698,105.7373,43.9947,26.4850,30.1174,0.0030,0.0460,Population structure converged. Difference: 0.0368
2,6,59.2835,55.8429,Warrior,93.6022,71.0872,31.0692,0.0906,4.1509,1.8923,200,59.6482,107.6609,93.2823,44.1197,8.7208,22.6095,0.0014,0.0460,Population structure converged. Difference: 0.0368
2,7,59.6482,57.5285,Warrior,89.4471,79.5893,26.9104,0.0866,3.9667,1.8923,200,59.6482,61.4530,99.3299,64.5666,2.9012,7.8029,0.0001,0.0460,Population structure converged. Difference: 0.0368
3,0,46.8744,29.8336,Warrior,72.1502,48.2197,47.9723,11.1342,20.5235,1.8718,200,55.2142,340.0642,385.2827,395.0724,282.8809,474.9634,0.0344,0.0509,Population structure converged. Difference: 0.0409
