Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,49.2425,30.4693,Warrior,79.1107,65.0776,26.2946,2.3198,27.1973,1.8637,200,58.3840,337.7297,343.4524,403.4519,432.6982,391.0463,0.0371,0.0575,Population structure converged. Difference: 0.0398
1,1,49.2425,33.4229,Warrior,79.1107,65.0776,26.2946,2.3198,27.1973,1.8637,200,58.3840,241.6317,255.6566,425.3136,380.9248,329.7405,0.0391,0.0575,Population structure converged. Difference: 0.0398
1,2,49.2425,36.5994,Warrior,79.1107,65.0776,26.2946,2.3198,27.1973,1.8637,200,58.3840,227.1065,196.3600,392.0585,306.7171,206.8086,0.0340,0.0575,Population structure converged. Difference: 0.0398
1,3,49.2959,39.6422,Warrior,79.9830,64.6080,26.1049,2.3030,27.0011,1.8637,200,58.3840,191.0985,133.3581,316.8451,246.2577,173.1353,0.0263,0.0575,Population structure converged. Difference: 0.0398
1,4,49.5098,43.0521,Warrior,77.4156,68.1158,25.5840,2.2701,26.6146,1.8637,200,58.3840,163.1315,85.5465,261.1256,178.9323,140.6186,0.0174,0.0575,Population structure converged. Difference: 0.0398
1,5,51.5923,45.5761,Warrior,81.5601,67.0926,27.1088,2.3916,21.8469,1.8739,200,58.3840,98.8232,75.1614,214.2515,150.9259,100.5241,0.0120,0.0575,Population structure converged. Difference: 0.0398
1,6,51.8227,46.8565,Warrior,75.0478,61.7354,46.8992,12.6763,3.6413,1.8637,200,58.3840,70.0723,84.5871,188.5544,76.1592,65.5181,0.0062,0.0575,Population structure converged. Difference: 0.0398
1,7,53.7015,47.3438,Warrior,92.6786,48.9154,51.0800,4.7079,2.6180,1.8637,200,58.3840,61.2976,82.8843,129.4978,35.8653,43.3246,0.0042,0.0575,Population structure converged. Difference: 0.0398
1,8,54.4690,48.4944,Warrior,107.2505,56.6064,30.4290,2.6845,3.0296,1.8637,200,58.3840,60.4315,51.8167,102.3841,16.0659,55.6755,0.0042,0.0575,Population structure converged. Difference: 0.0398
1,9,56.6369,49.4225,Warrior,81.2122,66.8063,46.1897,1.8515,3.9403,1.8637,200,58.3840,59.9531,26.6849,74.9225,15.7958,79.6489,0.0025,0.0575,Population structure converged. Difference: 0.0398
1,10,57.6440,50.4814,Warrior,87.6140,75.8103,30.6312,2.0091,3.9354,1.8637,200,58.3840,73.0179,43.5459,84.2759,18.4798,94.7707,0.0014,0.0575,Population structure converged. Difference: 0.0398
1,11,57.6440,51.5984,Warrior,87.6140,75.8103,30.6312,2.0091,3.9354,1.8637,200,58.3840,62.7592,37.8120,84.5574,21.1206,91.0510,0.0008,0.0575,Population structure converged. Difference: 0.0398
1,12,57.6440,52.7192,Warrior,87.6140,75.8103,30.6312,2.0091,3.9354,1.8637,200,58.3840,67.4763,49.2801,102.7811,20.7083,82.2655,0.0005,0.0575,Population structure converged. Difference: 0.0398
1,13,57.6749,53.9612,Warrior,90.6232,73.7349,29.9226,1.8283,3.8910,1.8637,200,58.3840,50.1137,55.2955,101.4786,16.5312,58.5202,0.0005,0.0575,Population structure converged. Difference: 0.0398
1,14,58.3840,55.0920,Warrior,90.4018,74.3659,30.0476,1.9711,3.2137,1.8739,200,58.3840,39.8863,46.5772,69.0580,11.8983,40.3445,0.0003,0.0575,Population structure converged. Difference: 0.0398
1,15,58.3840,56.1485,Warrior,90.4018,74.3659,30.0476,1.9711,3.2137,1.8739,200,58.3840,26.3602,40.4642,62.7584,6.0734,18.9086,0.0003,0.0575,Population structure converged. Difference: 0.0398
2,0,48.0389,29.3743,Warrior,59.3875,104.9069,17.3333,8.8737,9.4985,1.8772,200,57.1570,407.8437,509.4033,523.7704,561.0259,298.3320,0.0385,0.0441,Population structure converged. Difference: 0.0482
2,1,51.0437,33.2742,Warrior,119.7783,67.5291,2.0147,3.7016,6.9764,1.8956,200,57.1570,355.2474,491.4318,443.4716,312.8746,278.5426,0.0444,0.0441,Population structure converged. Difference: 0.0482
2,2,51.7906,36.1318,Warrior,65.4547,70.9409,45.1282,6.4049,12.0713,1.8956,200,57.1570,504.9740,492.7222,452.2991,229.9807,339.7554,0.0376,0.0441,Population structure converged. Difference: 0.0482
2,3,52.7361,40.9432,Warrior,73.3958,99.2655,9.9204,4.3652,13.0532,1.9172,200,57.1570,559.1679,426.4018,489.9023,168.4849,212.9438,0.0319,0.0441,Population structure converged. Difference: 0.0482
2,4,52.7361,43.7066,Warrior,73.3958,99.2655,9.9204,4.3652,13.0532,1.9172,200,57.1570,598.5647,381.3098,442.0886,130.4706,208.4916,0.0222,0.0441,Population structure converged. Difference: 0.0482
2,5,53.8862,46.3995,Warrior,101.6561,82.7840,2.4698,4.5377,8.5523,1.8772,200,57.1570,499.8303,323.3859,322.9713,105.7554,84.2061,0.0158,0.0441,Population structure converged. Difference: 0.0482
2,6,54.7089,47.9319,Warrior,79.0374,77.0105,28.4218,3.8920,11.6383,1.8772,200,57.1570,444.0187,365.4622,433.8345,84.2056,55.7906,0.0083,0.0441,Population structure converged. Difference: 0.0482
2,7,55.3640,49.7542,Warrior,86.6158,72.7134,26.8358,6.6823,7.1528,1.8772,200,57.1570,313.0082,340.9586,374.3435,39.0351,36.5276,0.0044,0.0441,Population structure converged. Difference: 0.0482
2,8,55.5185,51.4843,Warrior,79.0374,77.0105,28.4218,3.8920,11.6383,1.9172,200,57.1570,261.6379,251.7374,374.3775,32.5471,16.2114,0.0006,0.0441,Population structure converged. Difference: 0.0482
2,9,55.9255,52.2758,Warrior,79.8013,77.7549,28.6965,3.9297,9.8177,1.8956,200,57.1570,220.9220,219.0568,294.9649,15.4926,7.7460,0.0006,0.0441,Population structure converged. Difference: 0.0482
2,10,56.7429,53.3440,Warrior,91.1696,71.4168,26.3573,6.9009,4.1554,1.8956,200,57.1570,158.0514,180.5764,226.9654,13.0421,6.3912,0.0006,0.0441,Population structure converged. Difference: 0.0482
2,11,57.0114,54.1694,Warrior,98.3064,67.8784,25.0514,3.0380,5.7258,1.8956,200,57.1570,100.5103,143.4401,194.7902,6.9759,6.2897,0.0006,0.0441,Population structure converged. Difference: 0.0482
2,12,57.1570,54.5285,Warrior,81.2923,79.2076,29.2326,4.0031,6.2644,1.8956,200,57.1570,83.1486,117.4603,159.8598,4.1657,5.5012,0.0006,0.0441,Population structure converged. Difference: 0.0482
