Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,39.1330,27.9395,Warrior,59.1108,56.6689,28.0996,36.2330,19.8876,1.8629,200,56.4470,324.2858,448.2362,484.3703,514.1355,363.1384,0.0307,0.1832,Population structure converged. Difference: 0.0099
1,1,39.6865,30.0054,Warrior,54.6107,72.7519,59.2980,3.4962,9.8433,1.5762,200,56.4470,196.1830,408.3934,413.4039,360.3947,369.8414,0.0318,0.1832,Population structure converged. Difference: 0.0099
1,2,39.6865,30.8968,Warrior,54.6107,72.7519,59.2980,3.4962,9.8433,1.5762,200,56.4470,123.1994,396.0204,363.0684,351.9012,284.1019,0.0381,0.1832,Population structure converged. Difference: 0.0099
1,3,42.8796,32.2355,Warrior,51.4367,68.5236,55.8516,3.2930,20.8950,1.9834,200,56.4470,80.3626,277.1174,283.3179,314.9207,240.4753,0.0407,0.1832,Population structure converged. Difference: 0.0099
1,4,42.8796,33.0390,Warrior,51.4367,68.5236,55.8516,3.2930,20.8950,1.9834,200,56.4470,94.2782,181.8509,251.5149,282.9961,268.8310,0.0414,0.1832,Population structure converged. Difference: 0.0099
1,5,41.7323,33.3738,Warrior,57.5268,61.2409,56.7063,0.5127,24.0133,1.4830,200,56.4470,111.0988,153.8559,236.3727,251.5675,254.4968,0.0398,0.1832,Population structure converged. Difference: 0.0099
1,6,42.3145,34.5068,Warrior,59.7149,53.0939,44.5356,28.0365,14.6192,1.8816,200,56.4470,110.9055,159.5249,193.0379,173.9919,217.6577,0.0388,0.1832,Population structure converged. Difference: 0.0099
1,7,43.5103,35.5161,Warrior,53.8424,48.6558,77.8312,4.9170,14.7537,1.8664,200,56.4470,97.6484,147.1126,234.3775,169.5077,186.5041,0.0379,0.1832,Population structure converged. Difference: 0.0099
1,8,43.5422,36.3693,Warrior,77.5445,62.9156,40.7489,4.6971,14.0939,1.5762,200,56.4470,81.2081,150.5878,236.7127,139.4053,217.7558,0.0435,0.1832,Population structure converged. Difference: 0.0099
1,9,43.9894,36.9855,Warrior,60.8702,76.3690,28.3966,9.4301,24.9340,1.9834,200,56.4470,96.8413,136.4613,224.2185,139.7715,195.9497,0.0415,0.1832,Population structure converged. Difference: 0.0099
1,10,46.2443,38.0833,Warrior,64.9191,59.4426,50.0207,6.4035,19.2141,1.9834,200,56.4470,130.7241,157.1342,241.7690,90.8686,169.6531,0.0474,0.1832,Population structure converged. Difference: 0.0099
1,11,44.7753,39.0885,Warrior,58.6377,83.1521,30.9188,10.2677,17.0237,1.9834,200,56.4470,191.3701,161.6487,311.1720,79.1902,125.5033,0.0422,0.1832,Population structure converged. Difference: 0.0099
1,12,48.7651,40.1486,Warrior,66.9513,71.2739,33.2308,0.5967,27.9473,1.8664,200,56.4470,228.5459,193.9800,357.7806,63.3690,99.8703,0.0414,0.1832,Population structure converged. Difference: 0.0099
1,13,48.7651,41.2324,Warrior,66.9513,71.2739,33.2308,0.5967,27.9473,1.8664,200,56.4470,223.2304,137.9043,292.3571,48.2294,92.5305,0.0393,0.1832,Population structure converged. Difference: 0.0099
1,14,48.8595,42.1867,Warrior,61.9508,64.7491,46.6114,6.6712,20.0175,1.9194,200,56.4470,186.2642,150.3856,309.5179,37.4825,58.3480,0.0392,0.1832,Population structure converged. Difference: 0.0099
