Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,41.6195,27.9275,Warrior,72.7694,39.4356,51.4290,8.9149,27.4511,1.8010,200,59.7443,386.8676,472.7916,524.5112,517.4185,440.9833,0.0572,0.1034,Population structure converged. Difference: 0.0097
1,1,41.6195,29.5926,Warrior,72.7694,39.4356,51.4290,8.9149,27.4511,1.8010,200,59.7443,273.2099,363.8856,368.1980,498.8764,374.0563,0.0534,0.1034,Population structure converged. Difference: 0.0097
1,2,41.4750,31.6715,Warrior,73.1542,66.9323,13.4799,1.8184,44.6152,1.9762,200,59.7443,167.5984,292.4709,370.0512,495.5288,260.8246,0.0453,0.1034,Population structure converged. Difference: 0.0097
1,3,54.8180,33.6835,Warrior,89.5086,83.1769,21.8735,0.8355,4.6055,1.9852,200,59.7443,148.3834,272.9231,312.0137,462.1045,251.4708,0.0473,0.1034,Population structure converged. Difference: 0.0097
1,4,54.8180,35.7296,Warrior,89.5086,83.1769,21.8735,0.8355,4.6055,1.9852,200,59.7443,127.0778,333.7390,263.0863,335.8893,262.8173,0.0466,0.1034,Population structure converged. Difference: 0.0097
1,5,54.0235,36.9467,Warrior,88.3723,82.1209,21.5958,0.8249,7.0861,1.9852,200,59.7443,126.1728,321.2472,245.0486,213.7752,263.5534,0.0391,0.1034,Population structure converged. Difference: 0.0097
1,6,58.6670,39.0011,Warrior,82.3032,89.0513,23.4183,0.8945,4.3327,1.9360,200,59.7443,173.4512,290.4040,227.0850,144.9906,292.4294,0.0347,0.1034,Population structure converged. Difference: 0.0097
1,7,58.2962,39.7058,Warrior,79.0016,92.6575,24.3667,0.9307,3.0436,1.8847,200,59.7443,195.5453,299.5992,200.6510,115.9176,325.9200,0.0350,0.1034,Population structure converged. Difference: 0.0097
1,8,58.2962,41.3982,Warrior,79.0016,92.6575,24.3667,0.9307,3.0436,1.8847,200,59.7443,208.6228,349.8258,213.0756,108.2509,359.1365,0.0302,0.1034,Population structure converged. Difference: 0.0097
1,9,58.2962,44.1487,Warrior,79.0016,92.6575,24.3667,0.9307,3.0436,1.8847,200,59.7443,192.1133,453.1727,232.6204,86.7198,347.0135,0.0168,0.1034,Population structure converged. Difference: 0.0097
1,10,58.3173,45.4577,Warrior,98.5948,75.5799,19.8757,0.7592,5.1904,1.9360,200,59.7443,200.8481,535.7013,249.5146,76.5785,264.9712,0.0149,0.1034,Population structure converged. Difference: 0.0097
1,11,58.6670,47.5500,Warrior,82.3032,89.0513,23.4183,0.8945,4.3327,1.9360,200,59.7443,183.2524,513.7235,270.3465,70.6774,171.3338,0.0073,0.1034,Population structure converged. Difference: 0.0097
1,12,58.2962,47.9765,Warrior,79.0016,92.6575,24.3667,0.9307,3.0436,1.8847,200,59.7443,164.7029,492.6336,242.0934,59.7975,154.1987,0.0079,0.1034,Population structure converged. Difference: 0.0097
1,13,58.3692,49.5924,Warrior,79.3814,92.1415,24.4838,0.9352,3.0582,1.8847,200,59.7443,131.5320,387.4584,194.4352,57.8352,129.1327,0.0050,0.1034,Population structure converged. Difference: 0.0097
1,14,58.3692,51.5402,Warrior,79.3814,92.1415,24.4838,0.9352,3.0582,1.8847,200,59.7443,111.3148,366.0343,225.1998,41.1750,51.2230,0.0048,0.1034,Population structure converged. Difference: 0.0097
1,15,58.5217,52.3616,Warrior,84.1894,71.7167,38.0553,1.4141,4.6244,1.9360,200,59.7443,108.1148,261.9230,184.6970,29.2872,28.5623,0.0040,0.1034,Population structure converged. Difference: 0.0097
1,16,58.7707,52.7852,Warrior,80.1212,84.7347,31.1135,0.9439,3.0867,1.8847,200,59.7443,95.5755,196.0726,110.7769,29.0624,21.7643,0.0038,0.1034,Population structure converged. Difference: 0.0097
1,17,58.8579,53.7639,Warrior,87.4730,80.2166,26.1594,0.9785,5.1725,1.9360,200,59.7443,72.1899,160.0813,90.5007,22.4215,8.7228,0.0034,0.1034,Population structure converged. Difference: 0.0097
1,18,58.8579,54.4136,Warrior,87.4730,80.2166,26.1594,0.9785,5.1725,1.9360,200,59.7443,64.7993,129.5983,54.1085,16.2926,7.2591,0.0033,0.1034,Population structure converged. Difference: 0.0097
1,19,58.8579,54.6906,Warrior,87.4730,80.2166,26.1594,0.9785,5.1725,1.9360,200,59.7443,54.0709,92.6365,42.8663,18.4438,11.4845,0.0040,0.1034,Population structure converged. Difference: 0.0097
1,20,59.4606,55.6887,Warrior,92.7460,72.7073,30.5846,0.9279,3.0342,1.9360,200,59.7443,42.5130,60.5086,33.0819,11.6638,6.1714,0.0027,0.1034,Population structure converged. Difference: 0.0097
1,21,59.3581,56.2160,Warrior,88.4370,81.1007,26.4477,0.9893,3.0252,1.8847,200,59.7443,38.6156,53.4569,40.4254,4.1000,1.7504,0.0021,0.1034,Population structure converged. Difference: 0.0097
1,22,59.3581,56.5080,Warrior,88.4370,81.1007,26.4477,0.9893,3.0252,1.8847,200,59.7443,35.3263,54.1064,30.9260,3.3823,1.7244,0.0020,0.1034,Population structure converged. Difference: 0.0097
1,23,59.3947,56.8179,Warrior,85.1568,80.2509,30.9683,0.7791,2.8449,1.8847,200,59.7443,23.1323,28.0151,23.9652,2.1505,1.6426,0.0018,0.1034,Population structure converged. Difference: 0.0097
1,24,59.5689,57.5800,Warrior,86.2600,79.1042,30.6283,0.9722,3.0354,1.9360,200,59.7443,25.4548,28.5844,16.8374,1.4933,1.4919,0.0014,0.1034,Population structure converged. Difference: 0.0097
1,25,59.4938,57.9387,Warrior,88.3820,79.9225,28.0203,0.7901,2.8851,1.8847,200,59.7443,19.7925,20.5553,11.4154,2.1889,1.4820,0.0012,0.1034,Population structure converged. Difference: 0.0097
1,26,59.4506,58.1375,Warrior,87.3734,82.3398,26.6065,0.7613,2.9190,1.8847,200,59.7443,18.6290,15.5275,11.2890,4.1299,1.6471,0.0009,0.1034,Population structure converged. Difference: 0.0097
1,27,59.5795,58.3977,Warrior,86.8261,79.6234,29.4976,0.9491,3.1038,1.9360,200,59.7443,14.3998,13.2789,8.9498,2.7337,1.6266,0.0008,0.1034,Population structure converged. Difference: 0.0097
1,28,59.7218,58.6039,Warrior,86.2738,79.4704,30.6671,0.7715,2.8172,1.9360,200,59.7443,15.3623,19.0410,9.9907,2.0308,1.4289,0.0008,0.1034,Population structure converged. Difference: 0.0097
1,29,59.7218,58.7376,Warrior,86.2738,79.4704,30.6671,0.7715,2.8172,1.9360,200,59.7443,9.9023,12.8261,9.5755,1.3525,1.3734,0.0007,0.1034,Population structure converged. Difference: 0.0097
1,30,59.7218,58.8954,Warrior,86.2738,79.4704,30.6671,0.7715,2.8172,1.9360,200,59.7443,9.2846,11.2826,10.8978,1.4195,1.1610,0.0007,0.1034,Population structure converged. Difference: 0.0097
1,31,59.7121,59.0297,Warrior,86.2618,79.4594,30.6628,0.7714,2.8445,1.9360,200,59.7443,7.9938,12.3156,11.7952,0.0188,0.8726,0.0007,0.1034,Population structure converged. Difference: 0.0097
1,32,59.7443,59.1282,Warrior,88.6578,81.3031,26.3553,0.7919,2.8918,1.9360,200,59.7443,5.6758,12.2301,11.7636,0.0186,0.7506,0.0007,0.1034,Population structure converged. Difference: 0.0097
1,33,59.7443,59.1726,Warrior,88.6578,81.3031,26.3553,0.7919,2.8918,1.9360,200,59.7443,4.9602,8.6335,9.8442,0.0180,0.7202,0.0007,0.1034,Population structure converged. Difference: 0.0097
2,0,56.0763,27.7770,Warrior,69.2276,79.2641,45.9738,3.3232,2.2113,1.9381,200,59.5789,425.3179,548.5969,498.5374,520.8665,409.7405,0.0454,0.3516,Population structure converged. Difference: 0.0092
2,1,56.0763,30.4516,Warrior,69.2276,79.2641,45.9738,3.3232,2.2113,1.9381,200,59.5789,336.2818,464.7288,395.0850,505.1738,359.9325,0.0515,0.3516,Population structure converged. Difference: 0.0092
2,2,56.0763,30.9465,Warrior,69.2276,79.2641,45.9738,3.3232,2.2113,1.9381,200,59.5789,341.8562,507.3497,434.8013,452.6329,394.7127,0.0536,0.3516,Population structure converged. Difference: 0.0092
2,3,56.0763,33.6462,Warrior,69.2276,79.2641,45.9738,3.3232,2.2113,1.9381,200,59.5789,281.9618,580.5023,368.1025,368.3290,304.2468,0.0526,0.3516,Population structure converged. Difference: 0.0092
2,4,56.0763,34.3927,Warrior,69.2276,79.2641,45.9738,3.3232,2.2113,1.9381,200,59.5789,251.2647,539.1661,396.6532,284.1355,262.0937,0.0575,0.3516,Population structure converged. Difference: 0.0092
2,5,56.0763,35.4085,Warrior,69.2276,79.2641,45.9738,3.3232,2.2113,1.9381,200,59.5789,262.8603,589.0821,268.0656,256.6428,231.8116,0.0625,0.3516,Population structure converged. Difference: 0.0092
2,6,56.0763,36.8397,Warrior,69.2276,79.2641,45.9738,3.3232,2.2113,1.9381,200,59.5789,212.5190,586.8951,260.4047,256.8320,211.1613,0.0637,0.3516,Population structure converged. Difference: 0.0092
2,7,57.6070,38.8832,Warrior,82.3442,94.2823,16.7905,3.9528,2.6303,1.9381,200,59.5789,168.4744,516.2957,220.4398,228.3998,223.4411,0.0663,0.3516,Population structure converged. Difference: 0.0092
2,8,57.6884,40.1367,Warrior,81.0549,92.8060,19.6590,3.8909,2.5891,1.9381,200,59.5789,205.9559,516.2937,244.0665,179.6187,233.6114,0.0619,0.3516,Population structure converged. Difference: 0.0092
2,9,57.6070,42.7333,Warrior,82.3442,94.2823,16.7905,3.9528,2.6303,1.9381,200,59.5789,185.1104,459.7565,238.8954,153.4365,249.4374,0.0640,0.3516,Population structure converged. Difference: 0.0092
2,10,57.4735,45.0180,Warrior,82.4717,94.4282,16.1982,4.2675,2.6343,1.9381,200,59.5789,151.6713,365.1868,204.6428,103.9577,228.9719,0.0623,0.3516,Population structure converged. Difference: 0.0092
2,11,57.4735,46.8868,Warrior,82.4717,94.4282,16.1982,4.2675,2.6343,1.9381,200,59.5789,135.7620,269.2185,198.9352,100.9266,184.8640,0.0568,0.3516,Population structure converged. Difference: 0.0092
2,12,58.5158,48.4857,Warrior,90.4833,69.7113,33.9926,2.9227,2.8903,1.9381,200,59.5789,153.2757,215.2148,170.1319,79.7518,156.5672,0.0511,0.3516,Population structure converged. Difference: 0.0092
2,13,58.5158,50.0342,Warrior,90.4833,69.7113,33.9926,2.9227,2.8903,1.9381,200,59.5789,120.3678,171.6904,176.8991,55.8720,125.4740,0.0460,0.3516,Population structure converged. Difference: 0.0092
2,14,57.8924,51.9320,Warrior,93.9397,80.9289,17.6227,4.6428,2.8660,1.9381,200,59.5789,79.6128,149.4694,201.2710,37.4569,95.3305,0.0352,0.3516,Population structure converged. Difference: 0.0092
2,15,58.1561,53.3190,Warrior,82.5435,77.0786,32.5142,5.1668,2.6969,1.9115,200,59.5789,80.5984,126.6954,178.2900,33.2451,59.2839,0.0278,0.3516,Population structure converged. Difference: 0.0092
2,16,58.1561,54.7423,Warrior,82.5435,77.0786,32.5142,5.1668,2.6969,1.9115,200,59.5789,85.8459,86.2165,190.7698,15.2198,42.4479,0.0061,0.3516,Population structure converged. Difference: 0.0092
2,17,58.4742,55.5243,Warrior,94.7039,81.5872,17.7660,3.4403,2.5026,1.9381,200,59.5789,89.0438,86.9422,184.7985,11.0213,31.5053,0.0031,0.3516,Population structure converged. Difference: 0.0092
2,18,59.0309,56.0653,Warrior,84.1871,72.5270,38.0275,2.8895,2.3689,1.9115,200,59.5789,79.3137,66.9969,141.2406,10.5533,20.3398,0.0001,0.3516,Population structure converged. Difference: 0.0092
2,19,58.6636,56.5597,Warrior,84.9291,72.7667,36.9088,2.8048,2.5906,1.9381,200,59.5789,72.4026,53.7936,122.3582,6.9318,6.7325,0.0001,0.3516,Population structure converged. Difference: 0.0092
2,20,58.6636,56.7344,Warrior,84.9291,72.7667,36.9088,2.8048,2.5906,1.9381,200,59.5789,57.4441,58.6283,121.9652,6.5203,5.7767,0.0001,0.3516,Population structure converged. Difference: 0.0092
2,21,58.7406,57.2181,Warrior,89.8206,73.5192,30.9638,3.2976,2.3987,1.9381,200,59.5789,49.7336,38.4687,95.1443,4.8844,3.3995,0.0002,0.3516,Population structure converged. Difference: 0.0092
2,22,58.8679,57.5862,Warrior,83.5201,71.9524,39.0754,3.0452,2.4069,1.9115,200,59.5789,47.7475,37.2182,90.3791,3.1884,2.7497,0.0002,0.3516,Population structure converged. Difference: 0.0092
2,23,59.0916,57.5687,Warrior,87.7709,77.8090,29.3399,2.4183,2.6619,1.9381,200,59.5789,41.3371,35.4516,86.7721,4.7452,2.7130,0.0002,0.3516,Population structure converged. Difference: 0.0092
2,24,59.0916,57.8786,Warrior,87.7709,77.8090,29.3399,2.4183,2.6619,1.9381,200,59.5789,37.9336,25.1004,75.9604,2.7204,1.4793,0.0002,0.3516,Population structure converged. Difference: 0.0092
2,25,59.1104,57.9911,Warrior,90.0494,84.7957,19.4288,3.1363,2.5898,1.9115,200,59.5789,35.2480,24.5452,68.3914,1.4591,1.4831,0.0001,0.3516,Population structure converged. Difference: 0.0092
2,26,59.3387,58.0960,Warrior,84.1666,76.3822,34.5278,2.4998,2.4235,1.9115,200,59.5789,30.7635,29.9367,69.3480,1.4672,1.3106,0.0002,0.3516,Population structure converged. Difference: 0.0092
2,27,59.4893,58.2604,Warrior,87.9469,77.0458,29.9301,2.4670,2.6102,1.9115,200,59.5789,29.3651,31.3783,63.1218,0.6615,0.0692,0.0002,0.3516,Population structure converged. Difference: 0.0092
2,28,59.4893,58.4192,Warrior,87.9469,77.0458,29.9301,2.4670,2.6102,1.9115,200,59.5789,18.8573,29.9424,54.6918,0.7305,0.0712,0.0002,0.3516,Population structure converged. Difference: 0.0092
2,29,59.2211,58.5047,Warrior,84.5035,77.5192,32.6047,3.0229,2.3498,1.9115,200,59.5789,14.8221,33.8867,50.9507,0.6154,0.0686,0.0002,0.3516,Population structure converged. Difference: 0.0092
2,30,59.5335,58.6052,Warrior,89.3136,78.6911,26.9994,2.7420,2.2540,1.9115,200,59.5789,12.6091,30.0626,48.0625,0.5001,0.0730,0.0002,0.3516,Population structure converged. Difference: 0.0092
2,31,59.5335,58.7064,Warrior,89.3136,78.6911,26.9994,2.7420,2.2540,1.9115,200,59.5789,11.9416,25.6561,44.1127,0.3971,0.0670,0.0002,0.3516,Population structure converged. Difference: 0.0092
2,32,59.5205,58.7393,Warrior,84.7817,77.7447,32.8852,2.5628,2.0256,1.9115,200,59.5789,7.0351,22.8969,34.4035,0.3806,0.0805,0.0002,0.3516,Population structure converged. Difference: 0.0092
2,33,59.5205,58.8274,Warrior,84.7817,77.7447,32.8852,2.5628,2.0256,1.9115,200,59.5789,6.8755,27.0709,39.8022,0.3340,0.0681,0.0002,0.3516,Population structure converged. Difference: 0.0092
2,34,59.5514,58.8878,Warrior,85.2788,77.4093,32.7433,2.5517,2.0169,1.9115,200,59.5789,7.9314,24.1935,36.8564,0.3254,0.0795,0.0002,0.3516,Population structure converged. Difference: 0.0092
