Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,43.6365,35.0773,Warrior,88.2146,73.2444,11.4535,21.3171,5.7704,1.4235,200,51.6512,306.1994,390.8699,386.5397,293.8616,357.2772,0.0401,0.0312,Population structure converged. Difference: 0.0062
1,1,47.5822,41.5995,Warrior,80.3989,66.7551,40.1257,11.5416,1.1787,1.4235,200,51.6512,215.8400,162.8529,231.5767,63.7060,175.5090,0.0191,0.0312,Population structure converged. Difference: 0.0062
1,2,50.0062,44.1521,Warrior,81.5996,67.7520,44.0068,1.3040,5.3377,1.4235,200,51.6512,33.2550,37.1659,140.6324,29.5157,28.5670,0.0066,0.0312,Population structure converged. Difference: 0.0062
1,3,51.0380,46.3714,Warrior,82.6128,69.6176,45.2185,1.3399,1.2112,1.4235,200,51.6512,42.1889,44.7877,219.4595,47.1427,27.2383,0.0000,0.0312,Population structure converged. Difference: 0.0062
1,4,51.2803,48.3436,Warrior,89.6492,67.2483,40.4221,1.4078,1.2725,1.4235,200,51.6512,26.8253,37.0966,170.8926,32.8414,9.2516,0.0000,0.0312,Population structure converged. Difference: 0.0062
1,5,51.5952,49.8974,Warrior,85.2096,74.4910,37.7934,1.3163,1.1898,1.4235,200,51.6512,12.5850,15.3096,51.9973,12.4390,4.5809,0.0000,0.0312,Population structure converged. Difference: 0.0062
1,6,51.5952,50.7270,Warrior,85.2096,74.4910,37.7934,1.3163,1.1898,1.4235,200,51.6512,5.9744,5.2919,4.4131,0.7788,4.2298,0.0000,0.0312,Population structure converged. Difference: 0.0062
1,7,51.6284,51.0907,Warrior,85.2442,74.5212,37.8087,1.1881,1.2378,1.4235,200,51.6512,6.6942,4.7814,5.5823,0.0034,1.8524,0.0000,0.0312,Population structure converged. Difference: 0.0062
1,8,51.6512,51.3351,Warrior,85.9217,74.0713,37.5804,1.1885,1.2382,1.4235,200,51.6512,3.4909,4.4373,4.4100,0.0040,0.3802,0.0000,0.0312,Population structure converged. Difference: 0.0062
2,0,46.2148,36.7832,Warrior,79.1094,61.5283,50.1282,3.7283,5.5057,1.5414,200,46.2148,344.6991,210.4873,226.0833,263.1245,480.9415,0.0278,0.0109,Population structure converged. Difference: 0.0046
2,1,46.2148,44.7481,Warrior,79.1094,61.5283,50.1282,3.7283,5.5057,1.5414,200,46.2148,67.2629,32.2559,59.0522,51.1290,199.9792,0.0055,0.0109,Population structure converged. Difference: 0.0046
2,2,46.2148,46.0024,Warrior,79.1094,61.5283,50.1282,3.7283,5.5057,1.5414,200,46.2148,5.8177,12.6724,3.3494,6.1598,33.0792,0.0013,0.0109,Population structure converged. Difference: 0.0046
3,0,46.2652,36.6008,Warrior,76.7567,71.4359,21.1114,27.0212,3.6748,1.8313,200,51.3334,328.5002,359.8127,191.7555,178.0325,476.4612,0.0398,0.0459,Population structure converged. Difference: 0.0068
3,1,47.1560,45.3120,Warrior,73.8967,70.7105,31.0550,21.1110,3.2268,1.9860,200,51.3334,35.1609,34.7217,42.6607,22.1686,30.6990,0.0133,0.0459,Population structure converged. Difference: 0.0068
