Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,49.8735,33.1025,Warrior,61.3280,65.3837,53.3344,7.4957,12.4583,1.9220,200,56.2015,406.5662,422.4226,311.7457,380.8022,277.3536,0.0364,0.0327,Population structure converged. Difference: 0.0089
1,1,51.8561,40.5538,Warrior,77.5537,80.9251,16.2879,9.4788,15.7544,1.9220,200,56.2015,242.5009,277.2513,334.9621,130.0093,180.7597,0.0364,0.0327,Population structure converged. Difference: 0.0089
1,2,52.3895,46.2873,Warrior,78.2859,67.3912,30.1036,4.3933,19.8260,1.9220,200,56.2015,108.2182,192.0059,263.9647,48.3640,61.4126,0.0443,0.0327,Population structure converged. Difference: 0.0089
1,3,53.4651,49.8894,Warrior,83.5136,87.1441,9.5063,3.1532,16.6828,1.9220,200,56.2015,62.2025,101.1399,238.4038,8.0483,23.6767,0.0023,0.0327,Population structure converged. Difference: 0.0089
1,4,54.1876,51.3240,Warrior,73.4824,75.3217,33.6461,4.9103,12.6395,1.9220,200,56.2015,36.3585,111.0809,170.5243,5.4418,12.8641,0.0023,0.0327,Population structure converged. Difference: 0.0089
1,5,54.5233,52.4619,Warrior,73.9753,77.1911,32.0937,4.6837,12.0563,1.9220,200,56.2015,20.4279,94.7899,123.9365,5.7809,4.5442,0.0000,0.0327,Population structure converged. Difference: 0.0089
1,6,55.0606,53.4831,Warrior,84.8509,88.5395,11.0127,3.6529,11.9441,1.9220,200,56.2015,27.8885,77.7488,139.5679,3.7892,4.1328,0.0000,0.0327,Population structure converged. Difference: 0.0089
1,7,55.7791,54.2440,Warrior,80.1771,74.1072,30.8115,3.0273,11.8770,1.9220,200,56.2015,29.5526,25.7265,63.8457,1.5995,2.7050,0.0000,0.0327,Population structure converged. Difference: 0.0089
1,8,56.0288,54.8165,Warrior,82.9701,70.8991,31.8273,3.2261,11.0774,1.9220,200,56.2015,24.3739,25.1519,63.0747,0.8678,0.8315,0.0000,0.0327,Population structure converged. Difference: 0.0089
1,9,56.1896,55.3125,Warrior,82.2381,73.3083,30.4793,2.9946,10.9797,1.9220,200,56.2015,12.8793,25.5674,51.9678,0.7299,0.3521,0.0000,0.0327,Population structure converged. Difference: 0.0089
1,10,56.2015,55.7047,Warrior,81.7756,73.6905,30.6382,2.9778,10.9179,1.9220,200,56.2015,5.3402,9.5979,16.6060,0.3417,0.1483,0.0000,0.0327,Population structure converged. Difference: 0.0089
2,0,42.0955,31.5934,Warrior,57.3883,62.7227,47.2919,26.3774,6.2197,1.8335,200,56.8791,303.2753,553.0596,578.3266,304.6762,320.2253,0.0363,0.0313,Population structure converged. Difference: 0.0069
2,1,43.5049,35.8658,Warrior,66.0968,72.2407,24.1189,30.3801,7.1636,1.8335,200,56.8791,266.2559,541.1550,679.5265,171.7058,208.2123,0.0276,0.0313,Population structure converged. Difference: 0.0069
2,2,45.4488,38.3085,Warrior,102.5963,78.7245,2.0241,3.2185,13.4365,1.7631,200,56.8791,146.3575,268.5821,323.7084,102.6267,156.8245,0.0200,0.0313,Population structure converged. Difference: 0.0069
2,3,54.5311,41.2572,Warrior,97.0970,89.2200,2.2940,3.6476,7.7413,1.9547,200,56.8791,159.2348,177.7081,451.1625,95.2762,163.4165,0.0236,0.0313,Population structure converged. Difference: 0.0069
2,4,56.4667,44.6430,Warrior,88.3164,76.1959,25.4394,3.0070,7.0413,1.9547,200,56.8791,175.4684,189.8769,425.7230,85.7338,120.3612,0.0174,0.0313,Population structure converged. Difference: 0.0069
2,5,56.8006,48.4918,Warrior,87.5518,80.4492,22.9386,2.7114,6.3491,1.9547,200,56.8791,158.6695,134.2462,316.0354,42.9370,80.4816,0.0217,0.0313,Population structure converged. Difference: 0.0069
2,6,56.8006,53.3815,Warrior,87.5518,80.4492,22.9386,2.7114,6.3491,1.9547,200,56.8791,94.4315,101.1743,258.7407,3.7399,14.9757,0.0052,0.0313,Population structure converged. Difference: 0.0069
2,7,56.8528,54.9069,Warrior,86.5907,79.5660,24.9087,2.9443,5.9903,1.9547,200,56.8791,67.3227,62.9999,222.1448,0.6799,4.1723,0.0007,0.0313,Population structure converged. Difference: 0.0069
2,8,56.8528,55.9297,Warrior,86.5907,79.5660,24.9087,2.9443,5.9903,1.9547,200,56.8791,50.9681,42.4530,140.0728,0.2351,0.3733,0.0001,0.0313,Population structure converged. Difference: 0.0069
2,9,56.8791,56.4913,Warrior,90.1862,77.8091,23.2147,2.6305,6.1595,1.9547,200,56.8791,11.5414,7.8363,16.6959,0.0403,0.1575,0.0000,0.0313,Population structure converged. Difference: 0.0069
3,0,51.6824,33.2601,Warrior,93.2533,70.7036,12.6450,14.4988,8.8992,1.9302,200,56.1956,385.3806,406.7258,502.2775,278.4921,314.9206,0.0403,0.0266,Population structure converged. Difference: 0.0094
3,1,52.8126,40.7794,Warrior,85.1461,64.5569,28.9331,13.2383,8.1256,1.9302,200,56.1956,244.4074,326.6711,402.1734,94.7425,175.2449,0.0456,0.0266,Population structure converged. Difference: 0.0094
3,2,55.1696,48.5448,Warrior,81.7935,68.0778,34.4779,5.8056,9.8452,1.9302,200,56.1956,113.0318,171.5053,193.2951,21.2495,40.3961,0.0275,0.0266,Population structure converged. Difference: 0.0094
3,3,55.7268,51.7755,Warrior,86.6161,66.0402,33.4460,5.6319,8.2659,1.9302,200,56.1956,34.7069,60.0461,119.3556,10.3189,1.0383,0.0000,0.0266,Population structure converged. Difference: 0.0094
3,4,55.7664,52.8540,Warrior,85.8372,66.5762,33.7175,5.6776,8.1915,1.9302,200,56.1956,17.3385,11.8501,51.7365,5.8516,0.5274,0.0000,0.0266,Population structure converged. Difference: 0.0094
3,5,56.0508,53.8684,Warrior,88.3188,66.9623,31.5917,5.3196,7.8076,1.9302,200,56.1956,13.7495,8.2844,45.1182,8.4125,0.6718,0.0000,0.0266,Population structure converged. Difference: 0.0094
3,6,56.0508,55.0402,Warrior,88.3188,66.9623,31.5917,5.3196,7.8076,1.9302,200,56.1956,7.0063,2.9709,10.8029,5.1231,0.5803,0.0000,0.0266,Population structure converged. Difference: 0.0094
3,7,56.1956,55.6701,Warrior,87.4111,68.3296,31.2670,5.2649,7.7273,1.9302,200,56.1956,3.0303,2.0652,4.1832,0.5378,0.1866,0.0000,0.0266,Population structure converged. Difference: 0.0094
4,0,46.1370,34.0296,Warrior,77.4738,62.2130,20.8863,24.5100,14.9169,1.8817,200,57.3236,197.7016,318.8427,445.6206,302.6439,368.3932,0.0394,0.0384,Population structure converged. Difference: 0.0077
4,1,47.5862,39.4387,Warrior,69.0275,55.4305,58.9957,9.5669,6.9794,1.8204,200,57.3236,157.3027,320.4929,451.2772,145.1368,326.0574,0.0407,0.0384,Population structure converged. Difference: 0.0077
4,2,51.6550,43.4851,Warrior,67.6427,54.6011,67.8857,2.1999,7.6706,1.8817,200,57.3236,112.7843,207.5550,380.5027,122.7705,63.0190,0.0245,0.0384,Population structure converged. Difference: 0.0077
4,3,51.6550,46.4551,Warrior,67.6427,54.6011,67.8857,2.1999,7.6706,1.8817,200,57.3236,102.6351,146.2551,292.4619,98.6292,24.0226,0.0024,0.0384,Population structure converged. Difference: 0.0077
4,4,55.9769,49.3754,Warrior,87.5990,70.7099,28.9086,2.8489,9.9336,1.8817,200,57.3236,62.0747,68.2327,276.3648,50.6568,15.6921,0.0021,0.0384,Population structure converged. Difference: 0.0077
4,5,56.5504,51.2476,Warrior,91.1632,73.2059,24.5768,2.4637,8.5904,1.8817,200,57.3236,64.0646,56.9565,317.0420,21.5550,14.2983,0.0001,0.0384,Population structure converged. Difference: 0.0077
4,6,57.1266,53.0435,Warrior,91.9546,73.8414,24.7902,2.4851,6.9287,1.8817,200,57.3236,57.2709,69.9152,252.2246,18.8663,5.6477,0.0000,0.0384,Population structure converged. Difference: 0.0077
4,7,57.1266,55.0244,Warrior,91.9546,73.8414,24.7902,2.4851,6.9287,1.8817,200,57.3236,51.5046,69.3475,146.0448,11.9592,2.8458,0.0000,0.0384,Population structure converged. Difference: 0.0077
4,8,57.1701,56.3783,Warrior,89.9786,75.1918,25.2436,2.5305,7.0554,1.8817,200,57.3236,25.4768,18.2996,36.2413,2.4571,0.8097,0.0000,0.0384,Population structure converged. Difference: 0.0077
4,9,57.3236,56.8871,Warrior,92.2814,74.1039,24.7220,1.9394,6.9533,1.8817,200,57.3236,12.4782,12.2520,21.9777,0.0320,0.3128,0.0000,0.0384,Population structure converged. Difference: 0.0077
5,0,43.6325,33.9661,Warrior,73.3611,51.3662,49.7862,10.3928,15.0937,1.4466,200,55.0740,230.6070,355.7340,379.2194,212.8397,326.3710,0.0419,0.0340,Population structure converged. Difference: 0.0055
5,1,47.6748,39.4983,Warrior,90.4412,70.1672,6.8865,12.4924,20.0126,1.9522,200,55.0740,145.5214,258.9459,264.3517,85.9150,130.1928,0.0369,0.0340,Population structure converged. Difference: 0.0055
5,2,49.8597,42.8393,Warrior,74.3810,56.8455,43.2800,9.0347,16.4589,1.9522,200,55.0740,139.0532,202.4221,225.6293,57.2062,64.4509,0.0414,0.0340,Population structure converged. Difference: 0.0055
