Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,40.7804,29.2455,Warrior,64.9612,59.8082,19.3516,17.8126,38.0663,1.8723,200,57.2104,370.3131,289.4911,448.7079,519.6674,378.7517,0.0372,0.0372,Population structure converged. Difference: 0.0372
1,1,43.1613,33.8815,Warrior,54.3479,71.5397,32.2265,3.1224,38.7635,1.9167,200,57.2104,341.2481,196.0104,429.2310,359.7673,304.7636,0.0372,0.0372,Population structure converged. Difference: 0.0372
1,2,52.5374,37.3933,Warrior,70.3780,63.8765,50.7361,4.6652,10.3441,1.8723,200,57.2104,267.2457,180.9416,386.6580,204.3508,230.2695,0.0350,0.0372,Population structure converged. Difference: 0.0372
1,3,53.4804,40.4473,Warrior,76.2269,60.9943,48.4467,4.4547,9.8774,1.8723,200,57.2104,162.6401,163.3348,269.6067,134.7028,181.2945,0.0267,0.0372,Population structure converged. Difference: 0.0372
1,4,53.5658,43.4417,Warrior,71.4821,78.0940,35.1791,4.7384,10.5064,1.8723,200,57.2104,83.6334,101.9258,237.8756,53.4735,211.7693,0.0136,0.0372,Population structure converged. Difference: 0.0372
1,5,56.4231,46.3115,Warrior,77.6319,67.1105,45.0710,3.8366,6.3499,1.9167,200,57.2104,95.7022,95.3831,281.5752,20.4453,237.7056,0.0068,0.0372,Population structure converged. Difference: 0.0372
1,6,56.4231,49.8493,Warrior,77.6319,67.1105,45.0710,3.8366,6.3499,1.9167,200,57.2104,96.9711,73.5769,161.7396,13.4795,145.4389,0.0020,0.0372,Population structure converged. Difference: 0.0372
1,7,56.6693,51.8473,Warrior,81.2857,70.2692,36.8348,4.9614,6.6488,1.9167,200,57.2104,79.9384,70.4545,81.5911,2.9398,68.8975,0.0008,0.0372,Population structure converged. Difference: 0.0372
1,8,56.7676,53.4124,Warrior,81.4074,70.3744,36.8900,4.9689,6.3594,1.9167,200,57.2104,66.2931,58.7173,35.8081,2.7505,37.1408,0.0008,0.0372,Population structure converged. Difference: 0.0372
1,9,57.2104,54.2402,Warrior,81.8685,70.7730,37.0989,3.8641,6.3954,1.9167,200,57.2104,47.3189,39.4632,29.6131,3.5565,29.8300,0.0007,0.0372,Population structure converged. Difference: 0.0372
1,10,57.2104,55.1589,Warrior,81.8685,70.7730,37.0989,3.8641,6.3954,1.9167,200,57.2104,36.5406,22.0094,23.0024,3.4289,14.6319,0.0005,0.0372,Population structure converged. Difference: 0.0372
2,0,49.8706,29.6774,Warrior,65.5758,60.2306,53.4881,12.3784,8.3271,1.9337,200,57.3555,296.4570,308.7847,321.3919,310.4097,345.2043,0.0388,0.0365,Population structure converged. Difference: 0.0420
2,1,50.2837,34.2610,Warrior,69.5917,57.9289,50.5058,13.1365,8.8371,1.9337,200,57.3555,193.8813,218.4998,223.0307,284.9438,306.5256,0.0368,0.0365,Population structure converged. Difference: 0.0420
2,2,54.5619,39.2925,Warrior,73.6701,61.3239,53.4657,2.1854,9.3550,1.9337,200,57.3555,153.7771,146.0294,165.5110,258.1120,288.9638,0.0308,0.0365,Population structure converged. Difference: 0.0420
2,3,54.5619,43.8570,Warrior,73.6701,61.3239,53.4657,2.1854,9.3550,1.9337,200,57.3555,77.1518,120.4116,162.7705,195.7531,176.9464,0.0167,0.0365,Population structure converged. Difference: 0.0420
2,4,54.7305,47.9332,Warrior,76.0877,59.8300,52.1633,2.2571,9.6620,1.9337,200,57.3555,65.4969,81.0844,152.9647,99.9121,76.8203,0.0043,0.0365,Population structure converged. Difference: 0.0420
2,5,55.2016,50.3324,Warrior,81.6942,57.1454,49.8227,2.6202,8.7176,1.9337,200,57.3555,41.8739,55.4302,102.9518,53.7403,36.2420,0.0041,0.0365,Population structure converged. Difference: 0.0420
2,6,56.1856,52.2643,Warrior,84.3468,84.1102,20.0806,1.5468,9.9156,1.8768,200,57.3555,35.6350,37.5506,74.5528,33.4305,27.0060,0.0006,0.0365,Population structure converged. Difference: 0.0420
2,7,56.7309,53.5782,Warrior,85.0356,84.7971,20.2446,1.5594,8.3633,1.8768,200,57.3555,23.5703,36.7472,47.1495,20.2784,13.5474,0.0004,0.0365,Population structure converged. Difference: 0.0420
2,8,57.3555,54.5038,Warrior,85.0356,84.7971,20.2446,1.5594,8.3633,1.9337,200,57.3555,24.0623,60.7686,82.3793,6.4902,3.1532,0.0003,0.0365,Population structure converged. Difference: 0.0420
2,9,57.3555,55.0442,Warrior,85.0356,84.7971,20.2446,1.5594,8.3633,1.9337,200,57.3555,21.0227,113.1883,151.2020,3.3142,0.3748,0.0005,0.0365,Population structure converged. Difference: 0.0420
