Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,52.5604,31.0485,Warrior,88.5843,48.2546,48.3972,5.0590,9.7049,1.9424,200,54.8110,310.0565,279.2079,446.5466,306.9035,437.7060,0.0254,0.0248,Population structure converged. Difference: 0.0096
1,1,53.7126,38.2244,Warrior,74.2385,58.9670,54.4216,4.2397,8.1333,1.9424,200,54.8110,349.5953,174.3303,184.6227,220.3532,189.1474,0.0235,0.0248,Population structure converged. Difference: 0.0096
1,2,53.7126,45.6766,Warrior,74.2385,58.9670,54.4216,4.2397,8.1333,1.9424,200,54.8110,309.9318,148.4011,119.0131,113.3520,53.0450,0.0089,0.0248,Population structure converged. Difference: 0.0096
1,3,54.4847,50.5255,Warrior,82.6555,55.0204,50.7792,3.9559,7.5889,1.9424,200,54.8110,144.9707,56.2468,35.7572,34.1419,17.7534,0.0023,0.0248,Population structure converged. Difference: 0.0096
1,4,54.4847,52.6832,Warrior,82.6555,55.0204,50.7792,3.9559,7.5889,1.9424,200,54.8110,68.4579,38.7911,29.5614,11.3021,4.2312,0.0000,0.0248,Population structure converged. Difference: 0.0096
1,5,54.6485,53.6451,Warrior,78.9998,62.7489,44.6027,5.2545,8.3942,1.9424,200,54.8110,26.3186,19.9993,11.6435,9.1234,1.4542,0.0000,0.0248,Population structure converged. Difference: 0.0096
1,6,54.8110,54.2896,Warrior,81.1718,61.6225,43.8020,5.1601,8.2435,1.9424,200,54.8110,10.2415,8.3779,5.1030,0.1423,0.2638,0.0000,0.0248,Population structure converged. Difference: 0.0096
2,0,43.2289,31.6195,Warrior,75.3630,59.3227,34.1759,0.7356,30.4028,1.4743,200,58.9370,307.3205,291.8612,298.4279,284.5624,358.1256,0.0446,0.0352,Population structure converged. Difference: 0.0075
2,1,45.6238,36.5285,Warrior,59.5356,52.8752,55.3562,0.7615,31.4716,1.8880,200,58.9370,209.6554,121.5104,266.2251,229.8919,222.8712,0.0434,0.0352,Population structure converged. Difference: 0.0075
2,2,47.3407,41.0669,Warrior,75.9139,59.7564,34.4257,0.7410,29.1631,1.9771,200,58.9370,124.6656,101.8381,192.4702,193.3700,139.0876,0.0528,0.0352,Population structure converged. Difference: 0.0075
