Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,44.3060,34.8360,Warrior,62.8153,53.5281,41.7236,6.2638,35.6692,1.8869,200,55.4004,291.4691,401.1782,368.0609,351.7984,313.6230,0.0452,0.0522,Population structure converged. Difference: 0.0079
1,1,51.2465,40.7437,Warrior,83.3343,49.4834,47.7393,9.7661,9.6769,1.8869,200,55.4004,135.5242,169.1008,154.0787,222.4109,113.3933,0.0329,0.0522,Population structure converged. Difference: 0.0079
1,2,51.4242,44.5219,Warrior,85.8944,51.0036,43.0618,10.0661,9.9742,1.8869,200,55.4004,79.0426,57.1906,61.3172,55.8310,146.6733,0.0200,0.0522,Population structure converged. Difference: 0.0079
1,3,52.0133,48.0619,Warrior,69.2752,64.9715,47.4368,9.7042,8.6123,1.9360,200,55.4004,71.6499,34.3159,45.5413,27.2361,156.7654,0.0110,0.0522,Population structure converged. Difference: 0.0079
1,4,54.7649,49.9966,Warrior,74.7706,70.1254,40.7039,5.1046,9.2955,1.9360,200,55.4004,36.1559,20.4501,14.1481,6.7193,79.5606,0.0026,0.0522,Population structure converged. Difference: 0.0079
1,5,54.7649,51.0969,Warrior,74.7706,70.1254,40.7039,5.1046,9.2955,1.9360,200,55.4004,28.2666,37.5816,8.2030,5.3301,30.9080,0.0002,0.0522,Population structure converged. Difference: 0.0079
1,6,54.7649,52.2561,Warrior,74.7706,70.1254,40.7039,5.1046,9.2955,1.9360,200,55.4004,33.0303,88.3850,10.8290,6.4642,14.9426,0.0006,0.0522,Population structure converged. Difference: 0.0079
1,7,55.2376,53.3412,Warrior,79.9126,67.2461,39.0326,4.8950,8.9139,1.8869,200,55.4004,25.4036,87.7973,10.6942,5.7599,9.5159,0.0006,0.0522,Population structure converged. Difference: 0.0079
1,8,55.4004,54.0975,Warrior,79.9126,67.2461,39.0326,4.8950,8.9139,1.9360,200,55.4004,15.8055,48.9267,9.5609,3.3665,0.1598,0.0004,0.0522,Population structure converged. Difference: 0.0079
1,9,55.4004,54.4268,Warrior,79.9126,67.2461,39.0326,4.8950,8.9139,1.9360,200,55.4004,14.3304,29.8227,4.9181,2.0487,0.0941,0.0004,0.0522,Population structure converged. Difference: 0.0079
1,10,55.4004,54.5901,Warrior,79.9126,67.2461,39.0326,4.8950,8.9139,1.9360,200,55.4004,11.9377,20.8970,5.1073,1.3269,0.0820,0.0004,0.0522,Population structure converged. Difference: 0.0079
1,11,55.4004,54.8122,Warrior,79.9126,67.2461,39.0326,4.8950,8.9139,1.9360,200,55.4004,8.7614,11.7563,2.9780,0.6110,0.1053,0.0005,0.0522,Population structure converged. Difference: 0.0079
1,12,55.4004,54.9665,Warrior,79.9126,67.2461,39.0326,4.8950,8.9139,1.9360,200,55.4004,8.2013,5.3804,1.4984,0.6336,0.1004,0.0005,0.0522,Population structure converged. Difference: 0.0079
2,0,42.4175,33.0687,Warrior,71.1841,58.5078,20.3368,1.6429,48.3284,1.9132,200,55.7995,308.1823,353.6614,276.5647,378.3523,365.9007,0.0391,0.0368,Population structure converged. Difference: 0.0099
