Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,47.1489,31.0825,Warrior,64.0195,91.2969,18.3944,23.5962,2.6929,1.8650,200,56.7031,332.5257,307.9191,439.3862,357.0135,407.0571,0.0475,0.0347,Population structure converged. Difference: 0.0478
1,1,47.1489,34.8340,Warrior,64.0195,91.2969,18.3944,23.5962,2.6929,1.8650,200,56.7031,225.4572,252.3896,447.9076,218.9907,369.2358,0.0435,0.0347,Population structure converged. Difference: 0.0478
1,2,47.1489,38.3167,Warrior,64.0195,91.2969,18.3944,23.5962,2.6929,1.8650,200,56.7031,198.6882,383.3142,401.6758,150.0064,267.3048,0.0375,0.0347,Population structure converged. Difference: 0.0478
1,3,49.2918,41.7943,Warrior,72.0178,60.6803,56.1009,5.6609,5.5401,1.8061,200,56.7031,130.3361,365.3583,388.6672,112.9776,149.7135,0.0268,0.0347,Population structure converged. Difference: 0.0478
1,4,49.4365,44.7732,Warrior,72.1940,85.8086,17.2886,22.1778,2.5310,1.8650,200,56.7031,84.1077,375.6117,256.4711,64.1561,100.6147,0.0195,0.0347,Population structure converged. Difference: 0.0478
1,5,54.2831,46.4222,Warrior,86.2740,59.6453,42.7483,8.7193,2.6131,1.8650,200,56.7031,47.4786,214.5418,150.0045,32.7279,44.3893,0.0075,0.0347,Population structure converged. Difference: 0.0478
1,6,54.2831,47.8311,Warrior,86.2740,59.6453,42.7483,8.7193,2.6131,1.8650,200,56.7031,61.6665,157.1709,160.2786,46.6337,6.1114,0.0034,0.0347,Population structure converged. Difference: 0.0478
1,7,55.8119,49.1622,Warrior,90.0357,75.8617,21.8402,6.1973,6.0651,1.8755,200,56.7031,55.0356,183.3140,249.1432,74.1399,4.9014,0.0049,0.0347,Population structure converged. Difference: 0.0478
1,8,55.8119,50.8804,Warrior,90.0357,75.8617,21.8402,6.1973,6.0651,1.8755,200,56.7031,58.1516,218.1810,174.5001,71.3561,4.7162,0.0019,0.0347,Population structure converged. Difference: 0.0478
1,9,56.3761,52.5261,Warrior,91.5641,77.1495,22.2110,6.3325,2.7430,1.8650,200,56.7031,74.7928,249.8539,118.4740,50.5528,2.2983,0.0003,0.0347,Population structure converged. Difference: 0.0478
1,10,56.7031,54.1180,Warrior,91.3479,76.9674,22.1585,6.7813,2.7449,1.8755,200,56.7031,65.6051,182.8187,108.4021,25.0636,2.7201,0.0001,0.0347,Population structure converged. Difference: 0.0478
2,0,47.1860,32.5438,Warrior,73.7880,61.3811,51.3859,4.3037,9.1413,1.4516,200,50.0008,328.7581,478.0728,398.7176,332.2071,290.4145,0.0384,0.0227,Population structure converged. Difference: 0.0444
2,1,47.2372,37.0186,Warrior,91.9978,62.2771,28.9621,5.3658,11.3972,1.4516,200,50.0008,264.7618,309.1652,403.6297,293.2934,170.9841,0.0337,0.0227,Population structure converged. Difference: 0.0444
2,2,48.0746,41.1374,Warrior,81.9587,74.3271,29.0668,4.5882,10.0592,1.7613,200,50.0008,152.2762,188.5659,372.7728,134.9192,117.2056,0.0332,0.0227,Population structure converged. Difference: 0.0444
2,3,48.2988,44.0215,Warrior,74.4955,74.8177,29.9386,3.6361,17.1120,1.9943,200,50.0008,126.5083,95.2767,271.5475,59.9625,77.1685,0.0435,0.0227,Population structure converged. Difference: 0.0444
2,4,49.0426,46.1414,Warrior,86.5888,71.7469,28.7098,3.4869,9.4676,1.4516,200,50.0008,92.1221,64.2605,208.9256,19.3240,35.3580,0.0354,0.0227,Population structure converged. Difference: 0.0444
2,5,49.9926,47.0365,Warrior,77.1864,77.5203,30.1167,4.7540,10.4226,1.9943,200,50.0008,71.9437,60.8953,130.1558,4.9665,31.0019,0.0377,0.0227,Population structure converged. Difference: 0.0444
2,6,50.0008,47.8755,Warrior,77.3831,77.2082,30.1935,4.7661,10.4491,1.9943,200,50.0008,48.4704,33.4599,44.0706,2.3907,7.7370,0.0463,0.0227,Population structure converged. Difference: 0.0444
3,0,46.6365,31.1650,Warrior,55.3164,80.2233,58.4594,3.1462,2.8546,1.8135,200,57.9788,336.5854,368.9979,521.4931,465.9850,312.8968,0.0373,0.0287,Population structure converged. Difference: 0.0390
3,1,51.7173,35.3130,Warrior,72.8228,70.4836,48.7936,4.1419,3.7581,1.8135,200,57.9788,304.9212,312.4217,507.3374,244.2767,279.3159,0.0329,0.0287,Population structure converged. Difference: 0.0390
3,2,51.7173,39.9709,Warrior,72.8228,70.4836,48.7936,4.1419,3.7581,1.8135,200,57.9788,237.4593,288.3813,612.9291,149.1095,201.7937,0.0277,0.0287,Population structure converged. Difference: 0.0390
3,3,57.6571,44.0754,Warrior,87.1030,92.3627,13.2099,3.8402,3.4843,1.9368,200,57.9788,117.7488,240.8170,529.1824,93.6114,141.4280,0.0230,0.0287,Population structure converged. Difference: 0.0390
3,4,57.6571,46.6026,Warrior,87.1030,92.3627,13.2099,3.8402,3.4843,1.9368,200,57.9788,157.1794,114.7824,410.4014,71.7207,105.7431,0.0112,0.0287,Population structure converged. Difference: 0.0390
3,5,57.6571,49.2723,Warrior,87.1030,92.3627,13.2099,3.8402,3.4843,1.9368,200,57.9788,113.7375,93.5074,350.0988,65.6574,53.8288,0.0068,0.0287,Population structure converged. Difference: 0.0390
3,6,57.9788,51.7319,Warrior,87.5318,92.8174,13.2749,3.8591,2.5168,1.9368,200,57.9788,107.0013,104.3183,275.6176,26.1985,25.4863,0.0038,0.0287,Population structure converged. Difference: 0.0390
3,7,57.9788,53.7635,Warrior,87.5318,92.8174,13.2749,3.8591,2.5168,1.9368,200,57.9788,123.9419,142.8984,340.6294,14.1071,26.5629,0.0039,0.0287,Population structure converged. Difference: 0.0390
3,8,57.9788,55.8047,Warrior,87.5318,92.8174,13.2749,3.8591,2.5168,1.9368,200,57.9788,77.4590,146.2817,300.5303,5.5141,11.5405,0.0024,0.0287,Population structure converged. Difference: 0.0390
4,0,45.5104,30.6550,Warrior,49.5551,66.5651,66.1009,0.5670,17.2119,1.9166,200,55.3333,333.0568,629.4117,381.7761,523.8413,309.2858,0.0314,0.0279,Population structure converged. Difference: 0.0416
4,1,45.5104,35.1140,Warrior,49.5551,66.5651,66.1009,0.5670,17.2119,1.9166,200,55.3333,225.9307,539.5852,437.1718,336.6656,266.5992,0.0286,0.0279,Population structure converged. Difference: 0.0416
4,2,51.7094,40.0598,Warrior,89.1790,70.3252,19.9379,0.6556,19.9022,1.8539,200,55.3333,232.1529,273.1012,430.7800,181.3992,180.7458,0.0242,0.0279,Population structure converged. Difference: 0.0416
4,3,51.7094,43.1958,Warrior,89.1790,70.3252,19.9379,0.6556,19.9022,1.8539,200,55.3333,227.4703,191.1428,413.0552,104.2744,155.7483,0.0134,0.0279,Population structure converged. Difference: 0.0416
4,4,53.6393,45.2862,Warrior,73.2825,57.7895,54.3182,0.4659,14.1438,1.9166,200,55.3333,178.9704,80.7334,380.1591,15.3648,126.7347,0.0068,0.0279,Population structure converged. Difference: 0.0416
4,5,54.6816,47.4129,Warrior,89.2501,70.3813,22.5755,0.5675,17.2256,1.9166,200,55.3333,196.6263,83.5772,357.1644,12.9961,79.3650,0.0028,0.0279,Population structure converged. Difference: 0.0416
4,6,54.6816,50.0671,Warrior,89.2501,70.3813,22.5755,0.5675,17.2256,1.9166,200,55.3333,173.8334,75.4689,319.9174,8.1411,33.9936,0.0016,0.0279,Population structure converged. Difference: 0.0416
4,7,55.3249,52.0301,Warrior,91.5500,72.1949,20.4680,0.6731,15.1140,1.9170,200,55.3333,86.8964,53.9500,200.9615,5.1769,12.8804,0.0011,0.0279,Population structure converged. Difference: 0.0416
4,8,55.3333,53.1224,Warrior,91.5603,72.2030,20.4703,0.6732,15.0933,1.9166,200,55.3333,72.0488,42.8386,201.1775,2.0783,9.2118,0.0006,0.0279,Population structure converged. Difference: 0.0416
5,0,42.5975,30.5308,Warrior,76.0594,35.6186,59.0246,19.7151,9.5823,1.9757,200,53.7156,390.4131,238.6642,307.4824,357.2984,494.9639,0.0499,0.0314,Population structure converged. Difference: 0.0436
5,1,47.5432,35.1678,Warrior,97.9433,34.3440,56.6667,0.5598,10.4862,1.9757,200,53.7156,291.3146,212.9270,219.9304,211.6734,253.5013,0.0520,0.0314,Population structure converged. Difference: 0.0436
5,2,47.5432,39.0044,Warrior,97.9433,34.3440,56.6667,0.5598,10.4862,1.9757,200,53.7156,374.3574,167.8830,238.5290,134.5698,207.0672,0.0639,0.0314,Population structure converged. Difference: 0.0436
5,3,49.1502,41.8289,Warrior,85.2269,39.9117,63.4968,0.6273,10.7373,1.9757,200,53.7156,251.7720,187.2618,148.0182,87.6851,140.7002,0.0483,0.0314,Population structure converged. Difference: 0.0436
5,4,51.9532,44.5544,Warrior,72.5399,72.3200,41.1159,4.8853,9.1389,1.9757,200,53.7156,232.8525,157.4952,99.0159,85.9764,93.2455,0.0299,0.0314,Population structure converged. Difference: 0.0436
5,5,51.9532,46.3227,Warrior,72.5399,72.3200,41.1159,4.8853,9.1389,1.9757,200,53.7156,201.3502,103.1319,90.9013,84.2973,43.2703,0.0185,0.0314,Population structure converged. Difference: 0.0436
