Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,47.8123,29.8973,Warrior,67.7745,68.3325,36.5268,18.8507,8.5155,1.8522,200,57.7366,410.9205,395.3587,465.1334,419.1579,315.8687,0.0424,0.1754,Population structure converged. Difference: 0.0092
1,1,49.6235,32.8315,Warrior,76.3980,53.7807,50.9153,12.0652,6.8408,1.8474,200,57.7366,235.3986,264.6823,441.7378,415.3160,205.1320,0.0484,0.1754,Population structure converged. Difference: 0.0092
1,2,49.6235,36.2325,Warrior,76.3980,53.7807,50.9153,12.0652,6.8408,1.8474,200,57.7366,161.5612,266.2193,339.2630,257.3876,192.4827,0.0425,0.1754,Population structure converged. Difference: 0.0092
1,3,49.6235,38.1407,Warrior,76.3980,53.7807,50.9153,12.0652,6.8408,1.8474,200,57.7366,196.2504,321.3088,364.4983,220.4795,238.4519,0.0358,0.1754,Population structure converged. Difference: 0.0092
1,4,53.0269,40.2210,Warrior,89.2873,86.2090,8.9244,4.3608,11.2184,1.8522,200,57.7366,186.3964,316.1042,277.8473,189.5703,201.2963,0.0295,0.1754,Population structure converged. Difference: 0.0092
1,5,53.0269,41.9591,Warrior,89.2873,86.2090,8.9244,4.3608,11.2184,1.8522,200,57.7366,142.2554,316.2725,270.7689,107.8960,181.8367,0.0239,0.1754,Population structure converged. Difference: 0.0092
1,6,53.0269,43.8494,Warrior,89.2873,86.2090,8.9244,4.3608,11.2184,1.8522,200,57.7366,149.0452,305.6833,271.3158,96.2679,133.1865,0.0142,0.1754,Population structure converged. Difference: 0.0092
1,7,53.0269,45.1876,Warrior,89.2873,86.2090,8.9244,4.3608,11.2184,1.8522,200,57.7366,136.7767,298.0545,274.2751,96.9104,107.3939,0.0080,0.1754,Population structure converged. Difference: 0.0092
1,8,53.0269,46.8677,Warrior,89.2873,86.2090,8.9244,4.3608,11.2184,1.8522,200,57.7366,119.1394,272.1619,261.9673,73.3008,81.6722,0.0045,0.1754,Population structure converged. Difference: 0.0092
1,9,53.5575,48.2119,Warrior,85.1467,65.1637,34.8329,4.1586,10.6982,1.8522,200,57.7366,118.4698,288.4884,265.1785,46.1203,46.7372,0.0011,0.1754,Population structure converged. Difference: 0.0092
1,10,54.0143,49.1715,Warrior,78.5150,75.8081,31.9773,3.8347,9.8650,1.8522,200,57.7366,101.0529,346.0905,319.4929,57.2318,17.4011,0.0006,0.1754,Population structure converged. Difference: 0.0092
1,11,54.0143,49.9574,Warrior,78.5150,75.8081,31.9773,3.8347,9.8650,1.8522,200,57.7366,120.0908,276.5885,302.0320,47.1101,22.2779,0.0004,0.1754,Population structure converged. Difference: 0.0092
1,12,54.2444,50.4504,Warrior,79.1571,76.4281,32.2388,3.8660,8.3099,1.8474,200,57.7366,84.2072,245.1015,277.9481,52.1060,9.1033,0.0003,0.1754,Population structure converged. Difference: 0.0092
1,13,54.2444,50.9554,Warrior,79.1571,76.4281,32.2388,3.8660,8.3099,1.8474,200,57.7366,69.2782,175.3409,232.3873,46.6331,12.2028,0.0002,0.1754,Population structure converged. Difference: 0.0092
1,14,54.3773,51.5288,Warrior,79.0857,67.5777,35.7525,4.2683,13.3157,1.8962,200,57.7366,66.8759,177.6613,222.1893,39.2246,13.1077,0.0002,0.1754,Population structure converged. Difference: 0.0092
1,15,54.3773,51.6226,Warrior,79.0857,67.5777,35.7525,4.2683,13.3157,1.8962,200,57.7366,57.5574,151.0747,207.1167,44.9297,12.9630,0.0003,0.1754,Population structure converged. Difference: 0.0092
1,16,54.7149,52.4713,Warrior,81.6198,78.8058,27.3444,3.4233,8.8067,1.8522,200,57.7366,43.6599,107.1349,181.5559,34.0224,8.8936,0.0003,0.1754,Population structure converged. Difference: 0.0092
1,17,54.7149,52.6162,Warrior,81.6198,78.8058,27.3444,3.4233,8.8067,1.8522,200,57.7366,56.1585,110.2203,173.3084,29.2986,9.3000,0.0002,0.1754,Population structure converged. Difference: 0.0092
1,18,55.2599,52.9273,Warrior,80.9162,76.5776,32.3133,3.8750,6.3179,1.8522,200,57.7366,60.6816,99.9443,156.6342,25.1986,6.1599,0.0003,0.1754,Population structure converged. Difference: 0.0092
1,19,55.2599,53.3264,Warrior,80.9162,76.5776,32.3133,3.8750,6.3179,1.8522,200,57.7366,53.9669,99.5825,138.7179,19.0551,6.8257,0.0004,0.1754,Population structure converged. Difference: 0.0092
1,20,55.9287,53.2399,Warrior,82.8285,70.7759,32.4804,3.8950,10.0202,1.8962,200,57.7366,55.0611,87.4314,116.7191,27.4842,4.5408,0.0004,0.1754,Population structure converged. Difference: 0.0092
1,21,56.9740,53.2993,Warrior,79.4013,77.5518,32.7244,3.9242,6.3983,1.8962,200,57.7366,55.2521,78.9026,102.0215,28.5972,4.7797,0.0005,0.1754,Population structure converged. Difference: 0.0092
1,22,56.9740,53.9012,Warrior,79.4013,77.5518,32.7244,3.9242,6.3983,1.8962,200,57.7366,43.4309,53.5296,80.0522,20.9540,4.6233,0.0005,0.1754,Population structure converged. Difference: 0.0092
1,23,57.0261,54.2271,Warrior,82.4347,73.7381,33.1467,4.1497,6.5309,1.8962,200,57.7366,38.3484,42.3584,70.1278,23.4624,4.1238,0.0005,0.1754,Population structure converged. Difference: 0.0092
1,24,57.0261,54.7179,Warrior,82.4347,73.7381,33.1467,4.1497,6.5309,1.8962,200,57.7366,30.1783,47.2501,65.0177,11.0668,3.8963,0.0005,0.1754,Population structure converged. Difference: 0.0092
1,25,57.2625,55.1327,Warrior,82.1134,75.8078,31.9884,3.8360,6.2544,1.8962,200,57.7366,33.7807,37.0865,70.0585,6.1090,4.5535,0.0004,0.1754,Population structure converged. Difference: 0.0092
1,26,57.2625,55.5150,Warrior,82.1134,75.8078,31.9884,3.8360,6.2544,1.8962,200,57.7366,30.8216,31.8711,64.2511,0.2592,5.0052,0.0003,0.1754,Population structure converged. Difference: 0.0092
1,27,57.2798,55.5984,Warrior,84.3403,73.2642,32.1875,3.8807,6.3273,1.8962,200,57.7366,23.8069,35.5051,60.8083,0.2415,5.1196,0.0004,0.1754,Population structure converged. Difference: 0.0092
1,28,57.3281,55.9378,Warrior,82.1831,75.8722,32.0156,3.6694,6.2597,1.8962,200,57.7366,18.8049,24.2101,46.4130,0.2967,3.7019,0.0003,0.1754,Population structure converged. Difference: 0.0092
1,29,57.3281,56.1247,Warrior,82.1831,75.8722,32.0156,3.6694,6.2597,1.8962,200,57.7366,14.9594,27.6411,51.2198,0.3475,3.5252,0.0003,0.1754,Population structure converged. Difference: 0.0092
1,30,57.3863,56.2509,Warrior,82.8427,72.6459,34.8710,3.0915,6.5489,1.8962,200,57.7366,20.4032,20.4272,49.8396,0.3868,3.3109,0.0002,0.1754,Population structure converged. Difference: 0.0092
1,31,57.3914,56.3711,Warrior,85.6981,73.2279,31.0644,3.8890,6.1206,1.8962,200,57.7366,16.4912,20.5477,45.7584,0.4027,3.6896,0.0002,0.1754,Population structure converged. Difference: 0.0092
1,32,57.4117,56.5960,Warrior,83.2452,75.1882,31.7270,3.6363,6.2033,1.8962,200,57.7366,12.8556,18.1933,33.4123,0.4217,3.0390,0.0001,0.1754,Population structure converged. Difference: 0.0092
1,33,57.6611,56.7611,Warrior,86.7275,74.1074,29.7734,3.5704,5.8213,1.8962,200,57.7366,10.7300,11.2960,25.1016,0.4401,2.0527,0.0001,0.1754,Population structure converged. Difference: 0.0092
1,34,57.6611,56.9074,Warrior,86.7275,74.1074,29.7734,3.5704,5.8213,1.8962,200,57.7366,8.9112,8.3656,18.8863,0.4302,1.8542,0.0001,0.1754,Population structure converged. Difference: 0.0092
1,35,57.6611,56.9589,Warrior,86.7275,74.1074,29.7734,3.5704,5.8213,1.8962,200,57.7366,8.4358,7.8050,13.4858,0.5312,1.4997,0.0001,0.1754,Population structure converged. Difference: 0.0092
1,36,57.6611,57.0646,Warrior,86.7275,74.1074,29.7734,3.5704,5.8213,1.8962,200,57.7366,7.6035,9.1773,19.2763,0.3717,1.3025,0.0001,0.1754,Population structure converged. Difference: 0.0092
1,37,57.7366,57.0636,Warrior,87.8309,75.0503,27.8394,3.4010,5.8783,1.8962,200,57.7366,7.7121,8.4632,17.5636,0.3997,1.3417,0.0001,0.1754,Population structure converged. Difference: 0.0092
1,38,57.7366,57.2111,Warrior,87.8309,75.0503,27.8394,3.4010,5.8783,1.8962,200,57.7366,4.8205,6.0371,10.7625,0.2760,1.2356,0.0001,0.1754,Population structure converged. Difference: 0.0092
2,0,40.1572,27.3402,Warrior,60.4340,51.1762,70.6170,3.8279,13.9449,1.7237,200,58.2221,303.8989,341.8901,469.2191,365.6196,607.5712,0.0353,0.1181,Population structure converged. Difference: 0.0094
2,1,40.1572,28.9277,Warrior,60.4340,51.1762,70.6170,3.8279,13.9449,1.7237,200,58.2221,280.4323,336.0352,460.4908,220.4779,562.1312,0.0369,0.1181,Population structure converged. Difference: 0.0094
2,2,43.7702,30.7521,Warrior,49.9257,55.0294,75.9340,4.1161,14.9948,1.9224,200,58.2221,219.7415,249.5121,418.5809,234.1535,497.5693,0.0449,0.1181,Population structure converged. Difference: 0.0094
