Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,51.7920,29.6298,Warrior,89.0945,44.2336,53.1056,10.9643,2.6020,1.9222,200,59.6435,535.1066,392.0595,566.5027,478.3623,482.8694,0.0398,0.2629,Population structure converged. Difference: 0.0100
1,1,54.3958,32.1892,Warrior,91.4571,58.3384,35.9712,11.5623,2.6710,1.9222,200,59.6435,266.9681,356.3410,548.2077,524.7609,521.2217,0.0380,0.2629,Population structure converged. Difference: 0.0100
1,2,52.6762,34.9315,Warrior,74.8399,71.3777,33.7803,1.8933,18.1088,1.8718,200,59.6435,277.1251,360.4912,574.4448,370.6150,461.9130,0.0373,0.2629,Population structure converged. Difference: 0.0100
1,3,52.6762,37.0008,Warrior,74.8399,71.3777,33.7803,1.8933,18.1088,1.8718,200,59.6435,291.0244,400.4139,524.4223,354.3245,351.4081,0.0388,0.2629,Population structure converged. Difference: 0.0100
1,4,53.9592,38.1425,Warrior,76.3302,72.7991,34.4530,1.9310,14.4867,1.8718,200,59.6435,297.7351,410.4456,576.5008,291.6483,306.0119,0.0380,0.2629,Population structure converged. Difference: 0.0100
1,5,55.5695,39.5865,Warrior,82.7566,52.5188,58.3025,4.0052,2.4169,1.9222,200,59.6435,296.4035,378.7618,526.0448,271.0139,308.6615,0.0381,0.2629,Population structure converged. Difference: 0.0100
1,6,56.3072,41.1858,Warrior,66.8782,89.3737,39.8634,1.9315,1.9532,1.9222,200,59.6435,288.1568,334.5057,563.4417,254.0417,248.6237,0.0375,0.2629,Population structure converged. Difference: 0.0100
1,7,56.3072,41.7294,Warrior,66.8782,89.3737,39.8634,1.9315,1.9532,1.9222,200,59.6435,246.0391,244.2708,563.8800,160.1636,247.4189,0.0356,0.2629,Population structure converged. Difference: 0.0100
1,8,56.3072,43.2336,Warrior,66.8782,89.3737,39.8634,1.9315,1.9532,1.9222,200,59.6435,226.0821,218.8256,550.8128,137.0260,166.2464,0.0330,0.2629,Population structure converged. Difference: 0.0100
1,9,57.4747,45.0948,Warrior,75.0564,83.8831,37.4145,1.8128,1.8332,1.8718,200,59.6435,143.3459,230.2938,413.2236,117.7312,124.7103,0.0215,0.2629,Population structure converged. Difference: 0.0100
1,10,57.4747,46.6841,Warrior,75.0564,83.8831,37.4145,1.8128,1.8332,1.8718,200,59.6435,109.0409,227.0060,366.3882,98.3407,71.3017,0.0164,0.2629,Population structure converged. Difference: 0.0100
1,11,57.4747,47.7399,Warrior,75.0564,83.8831,37.4145,1.8128,1.8332,1.8718,200,59.6435,110.5485,223.7043,352.4936,77.0949,75.7957,0.0183,0.2629,Population structure converged. Difference: 0.0100
1,12,57.4747,48.8551,Warrior,75.0564,83.8831,37.4145,1.8128,1.8332,1.8718,200,59.6435,90.9424,200.2841,313.4019,67.4367,69.8121,0.0109,0.2629,Population structure converged. Difference: 0.0100
1,13,57.4747,49.9720,Warrior,75.0564,83.8831,37.4145,1.8128,1.8332,1.8718,200,59.6435,64.8018,168.5248,252.8093,59.0920,65.7452,0.0091,0.2629,Population structure converged. Difference: 0.0100
1,14,58.6920,50.8414,Warrior,83.3808,78.2944,34.9217,1.6921,1.7111,1.8718,200,59.6435,63.4614,172.5806,195.7851,40.9275,58.8878,0.0098,0.2629,Population structure converged. Difference: 0.0100
1,15,58.6920,51.4399,Warrior,83.3808,78.2944,34.9217,1.6921,1.7111,1.8718,200,59.6435,75.0606,163.2093,148.6356,27.9766,51.4149,0.0062,0.2629,Population structure converged. Difference: 0.0100
1,16,58.6920,51.9422,Warrior,83.3808,78.2944,34.9217,1.6921,1.7111,1.8718,200,59.6435,56.9816,157.5741,140.9354,19.3338,52.8435,0.0086,0.2629,Population structure converged. Difference: 0.0100
1,17,58.6920,52.3307,Warrior,83.3808,78.2944,34.9217,1.6921,1.7111,1.8718,200,59.6435,69.9496,145.4613,116.9424,16.9423,54.6613,0.0080,0.2629,Population structure converged. Difference: 0.0100
1,18,58.8192,52.7925,Warrior,78.3570,74.7320,42.9459,1.9715,1.9936,1.9222,200,59.6435,73.7597,151.0149,109.0234,13.8163,49.9010,0.0041,0.2629,Population structure converged. Difference: 0.0100
1,19,58.6920,52.8788,Warrior,83.3808,78.2944,34.9217,1.6921,1.7111,1.8718,200,59.6435,65.8703,148.3628,112.4853,17.4714,46.8905,0.0054,0.2629,Population structure converged. Difference: 0.0100
1,20,58.6920,52.9577,Warrior,83.3808,78.2944,34.9217,1.6921,1.7111,1.8718,200,59.6435,66.6595,138.3366,97.1160,16.4937,42.5148,0.0078,0.2629,Population structure converged. Difference: 0.0100
1,21,58.6920,53.4564,Warrior,83.3808,78.2944,34.9217,1.6921,1.7111,1.8718,200,59.6435,70.6699,142.5285,95.6375,2.8708,34.6689,0.0089,0.2629,Population structure converged. Difference: 0.0100
1,22,58.6920,53.9682,Warrior,83.3808,78.2944,34.9217,1.6921,1.7111,1.8718,200,59.6435,82.3757,151.5633,81.8663,2.8828,30.1221,0.0055,0.2629,Population structure converged. Difference: 0.0100
1,23,59.1721,54.0249,Warrior,79.4616,77.0608,39.6169,1.9196,1.9411,1.9196,200,59.6435,56.4574,127.0993,82.9271,4.5023,33.3122,0.0041,0.2629,Population structure converged. Difference: 0.0100
1,24,59.1721,54.1423,Warrior,79.4616,77.0608,39.6169,1.9196,1.9411,1.9196,200,59.6435,67.7920,125.6262,75.8790,2.7073,28.2622,0.0053,0.2629,Population structure converged. Difference: 0.0100
1,25,58.8819,54.6252,Warrior,79.1841,76.7917,39.4785,2.6114,1.9343,1.9196,200,59.6435,67.2214,112.2494,70.7736,0.1107,23.9701,0.0029,0.2629,Population structure converged. Difference: 0.0100
1,26,58.8819,55.0203,Warrior,79.1841,76.7917,39.4785,2.6114,1.9343,1.9196,200,59.6435,52.1181,118.5089,73.7324,0.1216,20.9144,0.0029,0.2629,Population structure converged. Difference: 0.0100
1,27,58.8819,55.7108,Warrior,79.1841,76.7917,39.4785,2.6114,1.9343,1.9196,200,59.6435,34.7255,93.8223,56.3788,0.1423,20.5270,0.0003,0.2629,Population structure converged. Difference: 0.0100
1,28,58.8819,55.9354,Warrior,79.1841,76.7917,39.4785,2.6114,1.9343,1.9196,200,59.6435,37.3636,83.3017,43.7361,0.1366,18.7379,0.0004,0.2629,Population structure converged. Difference: 0.0100
1,29,58.8819,56.1621,Warrior,79.1841,76.7917,39.4785,2.6114,1.9343,1.9196,200,59.6435,39.0835,76.8505,47.3022,0.1397,14.7637,0.0004,0.2629,Population structure converged. Difference: 0.0100
1,30,58.7500,56.3689,Warrior,80.4589,71.2303,43.8457,2.5280,1.9371,1.9196,200,59.6435,38.3294,63.0939,46.3712,0.1432,13.7337,0.0004,0.2629,Population structure converged. Difference: 0.0100
1,31,58.7500,56.5496,Warrior,80.4589,71.2303,43.8457,2.5280,1.9371,1.9196,200,59.6435,39.3496,62.2850,41.8219,0.1315,12.8715,0.0005,0.2629,Population structure converged. Difference: 0.0100
1,32,58.9147,56.7683,Warrior,81.7795,70.1532,43.8274,2.2990,1.9409,1.9196,200,59.6435,33.9386,64.5729,39.5550,0.1576,9.9480,0.0005,0.2629,Population structure converged. Difference: 0.0100
1,33,58.9661,56.9738,Warrior,78.5053,76.6065,40.9149,1.9693,2.0041,1.9196,200,59.6435,35.3593,66.0880,45.9451,0.1647,5.0185,0.0005,0.2629,Population structure converged. Difference: 0.0100
1,34,59.6552,57.1894,Warrior,88.3977,70.0882,37.8585,1.9095,1.7462,1.9196,200,59.6435,20.7139,51.5194,42.2710,0.2061,5.6540,0.0005,0.2629,Population structure converged. Difference: 0.0100
1,35,59.2708,57.2593,Warrior,80.8713,75.1147,40.1181,1.9310,1.9650,1.9196,200,59.6435,18.8546,41.8308,41.4309,0.1925,3.2197,0.0005,0.2629,Population structure converged. Difference: 0.0100
1,36,58.9645,57.2348,Warrior,84.2370,65.5521,46.6415,1.2963,2.2731,1.9196,200,59.6435,20.9997,41.8882,36.7653,0.2094,4.2929,0.0005,0.2629,Population structure converged. Difference: 0.0100
1,37,59.5029,57.3601,Warrior,87.1579,68.8572,40.2355,1.3617,2.3877,1.9196,200,59.6435,16.8552,41.6694,38.1058,0.1604,3.1146,0.0005,0.2629,Population structure converged. Difference: 0.0100
1,38,59.6008,57.5491,Warrior,84.9086,72.8783,38.3942,1.8603,1.9586,1.9196,200,59.6435,22.0163,30.5512,31.1790,0.1548,1.8769,0.0006,0.2629,Population structure converged. Difference: 0.0100
1,39,59.6148,57.9695,Warrior,84.1275,74.0477,38.0410,1.8432,1.9406,1.9196,200,59.6435,20.1752,28.9854,21.4019,0.1575,1.1939,0.0006,0.2629,Population structure converged. Difference: 0.0100
1,40,59.6966,58.1754,Warrior,85.1581,72.5077,38.7257,1.3105,2.2980,1.9196,200,59.6435,18.5391,25.7983,17.1294,0.1752,1.0655,0.0006,0.2629,Population structure converged. Difference: 0.0100
1,41,59.6148,58.1611,Warrior,84.1275,74.0477,38.0410,1.8432,1.9406,1.9196,200,59.6435,19.2230,27.2705,15.7669,0.2198,0.9264,0.0005,0.2629,Population structure converged. Difference: 0.0100
1,42,59.8310,58.4154,Warrior,84.3427,74.2372,38.1383,1.2731,2.0086,1.9196,200,59.6435,16.0147,23.1969,14.8956,0.1996,0.6225,0.0004,0.2629,Population structure converged. Difference: 0.0100
1,43,59.7668,58.3486,Warrior,83.7672,71.8144,41.6140,1.0880,1.7165,1.9196,200,59.6435,14.6782,19.0207,14.3175,0.2156,0.7570,0.0004,0.2629,Population structure converged. Difference: 0.0100
1,44,59.7668,58.3778,Warrior,83.7672,71.8144,41.6140,1.0880,1.7165,1.9196,200,59.6435,14.7743,15.5135,11.1270,0.2271,0.7904,0.0004,0.2629,Population structure converged. Difference: 0.0100
