Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,41.1045,26.9080,Warrior,89.4489,20.9520,59.9107,4.3164,25.3721,1.8842,200,61.0980,397.5991,429.7605,435.3326,535.0500,411.6290,0.0467,0.1301,Population structure converged. Difference: 0.0465
1,1,41.1045,28.3590,Warrior,89.4489,20.9520,59.9107,4.3164,25.3721,1.8842,200,61.0980,276.2343,329.6031,366.0252,504.3968,332.4166,0.0370,0.1301,Population structure converged. Difference: 0.0465
1,2,43.8075,29.8122,Warrior,60.1607,51.2614,51.0788,18.6018,18.8972,1.8797,200,61.0980,247.5473,330.2479,277.1880,483.8769,291.2406,0.0336,0.1301,Population structure converged. Difference: 0.0465
1,3,46.5639,31.3687,Warrior,54.0110,81.6469,43.7396,19.3615,1.2410,1.9132,200,61.0980,206.4594,322.8751,276.9058,341.8925,238.8759,0.0308,0.1301,Population structure converged. Difference: 0.0465
1,4,46.5639,32.5235,Warrior,54.0110,81.6469,43.7396,19.3615,1.2410,1.9132,200,61.0980,242.1798,292.8959,192.7519,317.1350,255.6574,0.0300,0.1301,Population structure converged. Difference: 0.0465
1,5,46.5639,33.2420,Warrior,54.0110,81.6469,43.7396,19.3615,1.2410,1.9132,200,61.0980,209.5136,251.3484,154.1689,260.0193,226.6205,0.0274,0.1301,Population structure converged. Difference: 0.0465
1,6,52.8469,34.7726,Warrior,72.5460,71.2808,38.1863,16.9033,1.0835,1.9132,200,61.0980,151.8311,240.7767,188.2702,212.0473,242.7132,0.0289,0.1301,Population structure converged. Difference: 0.0465
1,7,53.8884,35.4246,Warrior,87.1282,85.6086,9.2115,16.7504,1.3013,1.9132,200,61.0980,155.0583,226.8054,217.5735,174.9712,239.6723,0.0311,0.1301,Population structure converged. Difference: 0.0465
1,8,53.8884,36.3263,Warrior,87.1282,85.6086,9.2115,16.7504,1.3013,1.9132,200,61.0980,144.4948,260.2583,234.8341,138.2145,247.3283,0.0335,0.1301,Population structure converged. Difference: 0.0465
1,9,53.8884,37.5556,Warrior,87.1282,85.6086,9.2115,16.7504,1.3013,1.9132,200,61.0980,157.8056,264.0797,201.3053,134.4436,297.9274,0.0315,0.1301,Population structure converged. Difference: 0.0465
1,10,53.8884,38.6960,Warrior,87.1282,85.6086,9.2115,16.7504,1.3013,1.9132,200,61.0980,164.9115,243.4449,202.4969,99.0130,274.2104,0.0276,0.1301,Population structure converged. Difference: 0.0465
1,11,53.8884,39.7125,Warrior,87.1282,85.6086,9.2115,16.7504,1.3013,1.9132,200,61.0980,143.7495,299.2612,192.8195,100.1252,291.4876,0.0305,0.1301,Population structure converged. Difference: 0.0465
1,12,53.8884,41.6997,Warrior,87.1282,85.6086,9.2115,16.7504,1.3013,1.9132,200,61.0980,156.3085,346.1186,259.2905,77.4909,238.5669,0.0295,0.1301,Population structure converged. Difference: 0.0465
1,13,53.8884,43.9274,Warrior,87.1282,85.6086,9.2115,16.7504,1.3013,1.9132,200,61.0980,135.3489,356.3268,265.2641,79.8153,197.9140,0.0213,0.1301,Population structure converged. Difference: 0.0465
1,14,53.8884,45.3307,Warrior,87.1282,85.6086,9.2115,16.7504,1.3013,1.9132,200,61.0980,123.4618,325.5032,305.6863,45.5853,174.2818,0.0193,0.1301,Population structure converged. Difference: 0.0465
