Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,56.4236,27.8891,Warrior,73.6742,79.0368,39.3856,0.3907,7.5128,1.9471,200,60.8485,590.0786,473.6270,556.9756,444.5607,498.6802,0.0372,0.1569,Population structure converged. Difference: 0.0099
1,1,56.4236,29.7087,Warrior,73.6742,79.0368,39.3856,0.3907,7.5128,1.9471,200,60.8485,563.4373,448.2695,556.4317,470.3783,449.0452,0.0420,0.1569,Population structure converged. Difference: 0.0099
1,2,56.4236,31.6796,Warrior,73.6742,79.0368,39.3856,0.3907,7.5128,1.9471,200,60.8485,423.6172,514.8864,408.9110,386.5832,486.7918,0.0460,0.1569,Population structure converged. Difference: 0.0099
1,3,56.4236,33.7511,Warrior,73.6742,79.0368,39.3856,0.3907,7.5128,1.9471,200,60.8485,348.7416,504.8129,400.0190,403.7085,421.7023,0.0483,0.1569,Population structure converged. Difference: 0.0099
1,4,56.4236,36.0510,Warrior,73.6742,79.0368,39.3856,0.3907,7.5128,1.9471,200,60.8485,305.2984,440.4672,483.7259,385.5201,357.8734,0.0467,0.1569,Population structure converged. Difference: 0.0099
1,5,56.4236,37.3537,Warrior,73.6742,79.0368,39.3856,0.3907,7.5128,1.9471,200,60.8485,275.9624,453.4851,538.7423,327.8040,367.1191,0.0472,0.1569,Population structure converged. Difference: 0.0099
1,6,56.4236,39.9795,Warrior,73.6742,79.0368,39.3856,0.3907,7.5128,1.9471,200,60.8485,251.0067,367.8111,392.5609,192.4742,332.2733,0.0498,0.1569,Population structure converged. Difference: 0.0099
1,7,57.0858,41.1497,Warrior,73.6742,79.0368,39.3856,0.3907,7.5128,1.9283,200,60.8485,247.7474,325.6714,317.5674,159.3324,279.6615,0.0470,0.1569,Population structure converged. Difference: 0.0099
1,8,57.0858,43.3568,Warrior,73.6742,79.0368,39.3856,0.3907,7.5128,1.9283,200,60.8485,249.9286,315.1380,320.7050,120.0835,211.5696,0.0467,0.1569,Population structure converged. Difference: 0.0099
1,9,57.0858,46.0477,Warrior,73.6742,79.0368,39.3856,0.3907,7.5128,1.9283,200,60.8485,213.1460,181.5773,281.6810,104.5897,157.2109,0.0405,0.1569,Population structure converged. Difference: 0.0099
