Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,41.7030,25.9660,Warrior,69.8992,52.4940,53.6847,3.1963,20.7257,1.7144,200,56.8021,510.8868,372.9204,511.7076,408.3263,446.3373,0.0399,0.2120,Population structure converged. Difference: 0.0474
1,1,45.0972,27.9317,Warrior,69.8992,52.4940,53.6847,3.1963,20.7257,1.7889,200,56.8021,462.5502,306.5105,430.8492,439.9184,371.1090,0.0403,0.2120,Population structure converged. Difference: 0.0474
1,2,41.7030,29.0933,Warrior,69.8992,52.4940,53.6847,3.1963,20.7257,1.7144,200,56.8021,389.4588,259.3260,487.5154,447.3838,327.6883,0.0382,0.2120,Population structure converged. Difference: 0.0474
1,3,47.1607,30.8776,Warrior,69.1537,42.2501,61.2867,3.6489,23.6606,1.9051,200,56.8021,270.5573,206.5729,310.5515,390.7497,210.6587,0.0394,0.2120,Population structure converged. Difference: 0.0474
1,4,47.2716,30.7648,Warrior,68.8717,42.8935,61.0367,3.6340,23.5641,1.9051,200,56.8021,213.7802,224.1476,312.0165,397.1404,198.8220,0.0403,0.2120,Population structure converged. Difference: 0.0474
1,5,47.2716,31.6656,Warrior,68.8717,42.8935,61.0367,3.6340,23.5641,1.9051,200,56.8021,153.2426,170.0814,266.1259,354.6944,190.1139,0.0402,0.2120,Population structure converged. Difference: 0.0474
1,6,49.4040,32.6272,Warrior,65.1984,59.9797,48.3594,2.6309,23.8316,1.9051,200,56.8021,175.3150,132.0820,223.8316,337.0553,187.4317,0.0431,0.2120,Population structure converged. Difference: 0.0474
1,7,49.4040,34.2941,Warrior,65.1984,59.9797,48.3594,2.6309,23.8316,1.9051,200,56.8021,131.9191,117.7357,199.5096,258.7683,163.0860,0.0464,0.2120,Population structure converged. Difference: 0.0474
1,8,48.7882,34.9206,Warrior,71.4499,49.6044,50.7295,3.7701,24.4462,1.9051,200,56.8021,104.7244,110.3789,215.4042,234.6802,141.5948,0.0416,0.2120,Population structure converged. Difference: 0.0474
1,9,48.7882,35.5969,Warrior,71.4499,49.6044,50.7295,3.7701,24.4462,1.9051,200,56.8021,107.4944,91.2508,153.1248,251.1615,122.2457,0.0451,0.2120,Population structure converged. Difference: 0.0474
1,10,48.7882,36.9862,Warrior,71.4499,49.6044,50.7295,3.7701,24.4462,1.9051,200,56.8021,96.8401,82.8795,185.4700,210.8941,105.3179,0.0454,0.2120,Population structure converged. Difference: 0.0474
1,11,48.7882,38.3113,Warrior,71.4499,49.6044,50.7295,3.7701,24.4462,1.9051,200,56.8021,61.8363,102.0939,151.6263,144.0263,106.0665,0.0488,0.2120,Population structure converged. Difference: 0.0474
1,12,54.9679,39.2523,Warrior,79.2717,55.0347,56.2830,4.1828,5.2277,1.9051,200,56.8021,79.8988,84.1816,134.8060,99.9974,117.8347,0.0484,0.2120,Population structure converged. Difference: 0.0474
1,13,54.9679,40.5980,Warrior,79.2717,55.0347,56.2830,4.1828,5.2277,1.9051,200,56.8021,54.9316,64.5685,85.5384,78.4380,114.3329,0.0512,0.2120,Population structure converged. Difference: 0.0474
1,14,54.9679,41.4031,Warrior,79.2717,55.0347,56.2830,4.1828,5.2277,1.9051,200,56.8021,58.1952,81.2079,87.9163,74.8456,121.7785,0.0495,0.2120,Population structure converged. Difference: 0.0474
1,15,54.9679,42.4954,Warrior,79.2717,55.0347,56.2830,4.1828,5.2277,1.9051,200,56.8021,67.5353,72.2125,81.9361,61.0792,100.4844,0.0440,0.2120,Population structure converged. Difference: 0.0474
1,16,52.5931,42.8543,Warrior,71.2227,57.2601,58.5589,9.1443,3.8140,1.9051,200,56.8021,73.4703,74.8727,94.4067,52.1932,93.8254,0.0398,0.2120,Population structure converged. Difference: 0.0474
1,17,52.5931,43.6772,Warrior,71.2227,57.2601,58.5589,9.1443,3.8140,1.9051,200,56.8021,78.3382,75.9902,72.1654,50.4288,118.4395,0.0375,0.2120,Population structure converged. Difference: 0.0474
1,18,52.5931,45.2102,Warrior,71.2227,57.2601,58.5589,9.1443,3.8140,1.9051,200,56.8021,55.2299,61.9008,80.9694,29.2133,122.1971,0.0307,0.2120,Population structure converged. Difference: 0.0474
1,19,54.1502,45.5193,Warrior,87.0948,50.8319,49.5348,4.3133,8.2252,1.9051,200,56.8021,73.1022,47.2724,73.2030,34.5312,120.3707,0.0240,0.2120,Population structure converged. Difference: 0.0474
1,20,55.6209,46.3559,Warrior,84.1034,57.4487,47.5525,4.4151,6.4803,1.9051,200,56.8021,64.7630,43.3072,77.9251,15.1729,117.0641,0.0188,0.2120,Population structure converged. Difference: 0.0474
1,21,55.3871,47.3160,Warrior,77.1176,61.5039,51.0497,5.7988,4.5300,1.9051,200,56.8021,54.8824,45.2606,53.6491,15.6362,104.9792,0.0148,0.2120,Population structure converged. Difference: 0.0474
1,22,55.3871,47.9197,Warrior,77.1176,61.5039,51.0497,5.7988,4.5300,1.9051,200,56.8021,42.1228,43.2545,50.7025,14.7075,98.9509,0.0182,0.2120,Population structure converged. Difference: 0.0474
1,23,55.6148,48.3469,Warrior,76.1787,60.2448,55.0422,3.1995,5.3348,1.9051,200,56.8021,47.9463,42.1700,45.7516,22.6092,91.8647,0.0118,0.2120,Population structure converged. Difference: 0.0474
