Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,41.9201,28.2320,Warrior,67.9806,56.2681,56.1190,16.6695,2.9628,1.5088,200,56.4928,486.2045,351.8766,346.8689,347.0229,488.8628,0.0337,0.2338,Population structure converged. Difference: 0.0092
1,1,42.1035,29.4539,Warrior,81.7201,33.5483,79.0255,4.9072,0.7989,1.4925,200,56.4928,650.3913,348.2541,355.8711,386.9413,489.9811,0.0322,0.2338,Population structure converged. Difference: 0.0092
1,2,51.9154,31.7104,Warrior,81.0546,64.1838,30.4438,5.1438,19.1739,1.8881,200,56.4928,480.0798,291.4154,375.3514,348.3879,359.9389,0.0327,0.2338,Population structure converged. Difference: 0.0092
1,3,51.9154,32.9418,Warrior,81.0546,64.1838,30.4438,5.1438,19.1739,1.8881,200,56.4928,450.0624,326.0026,404.5171,235.2053,344.7560,0.0282,0.2338,Population structure converged. Difference: 0.0092
1,4,51.4792,34.2616,Warrior,73.6243,58.3001,45.9871,4.6723,17.4163,1.8881,200,56.4928,423.1189,313.6063,371.5498,178.9736,259.6058,0.0223,0.2338,Population structure converged. Difference: 0.0092
1,5,54.8013,35.8183,Warrior,75.5128,59.8267,57.4724,6.1818,1.0064,1.8834,200,56.4928,206.8920,264.6063,339.7511,141.6078,182.3477,0.0215,0.2338,Population structure converged. Difference: 0.0092
1,6,51.5601,36.3319,Warrior,72.5193,57.4551,55.1941,13.8650,0.9665,1.8834,200,56.4928,245.0135,288.3772,312.0481,146.8399,184.2430,0.0230,0.2338,Population structure converged. Difference: 0.0092
1,7,51.5601,37.3397,Warrior,72.5193,57.4551,55.1941,13.8650,0.9665,1.8834,200,56.4928,170.1728,257.7067,348.3218,149.6895,136.2075,0.0253,0.2338,Population structure converged. Difference: 0.0092
1,8,51.5601,38.4317,Warrior,72.5193,57.4551,55.1941,13.8650,0.9665,1.8834,200,56.4928,118.2746,231.4447,354.2138,95.8561,129.6455,0.0250,0.2338,Population structure converged. Difference: 0.0092
1,9,51.5601,39.1596,Warrior,72.5193,57.4551,55.1941,13.8650,0.9665,1.8834,200,56.4928,121.2970,191.7330,311.3220,87.5523,128.4409,0.0257,0.2338,Population structure converged. Difference: 0.0092
