Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,44.2420,25.7338,Warrior,82.6802,43.5982,35.3897,2.3243,36.0076,1.8667,200,56.6611,502.5634,400.0173,394.3463,518.4087,506.3806,0.0504,0.6967,Population structure converged. Difference: 0.0086
1,1,39.4886,27.5335,Warrior,81.3101,56.5017,9.5619,3.1910,49.4352,1.8667,200,56.6611,501.0525,320.4676,428.3592,503.4561,389.8496,0.0472,0.6967,Population structure converged. Difference: 0.0086
1,2,43.1765,28.4133,Warrior,72.1077,32.6956,63.3183,4.1603,27.7182,1.8536,200,56.6611,488.6483,345.3087,427.0639,489.8708,265.8610,0.0503,0.6967,Population structure converged. Difference: 0.0086
1,3,44.1000,28.9079,Warrior,76.4590,45.5092,37.4588,2.4601,38.1128,1.8667,200,56.6611,469.2012,240.9442,468.7250,471.4234,325.6308,0.0455,0.6967,Population structure converged. Difference: 0.0086
1,4,44.2048,30.3716,Warrior,75.4744,44.9231,36.9764,2.4285,40.1976,1.9127,200,56.6611,302.3472,211.4715,400.6350,485.4276,319.8078,0.0431,0.6967,Population structure converged. Difference: 0.0086
1,5,45.5936,32.0558,Warrior,68.6517,48.5453,44.0302,2.2089,36.5638,1.9127,200,56.6611,332.1539,181.7446,385.8723,445.2052,285.5784,0.0396,0.6967,Population structure converged. Difference: 0.0086
1,6,45.1309,33.2450,Warrior,58.8755,70.5547,31.6072,2.4846,36.4780,1.9124,200,56.6611,308.4954,203.2517,386.4523,407.3069,271.8293,0.0300,0.6967,Population structure converged. Difference: 0.0086
1,7,45.4342,34.3956,Warrior,72.5511,50.9296,35.5443,2.3344,38.6407,1.9127,200,56.6611,320.7545,161.9529,382.5252,359.9386,230.8835,0.0272,0.6967,Population structure converged. Difference: 0.0086
1,8,45.1309,35.7475,Warrior,58.8755,70.5547,31.6072,2.4846,36.4780,1.9124,200,56.6611,284.7603,158.9511,337.0186,309.9816,186.2423,0.0274,0.6967,Population structure converged. Difference: 0.0086
1,9,45.1309,36.1196,Warrior,58.8755,70.5547,31.6072,2.4846,36.4780,1.9124,200,56.6611,201.7332,218.4311,312.8585,276.1434,186.6736,0.0216,0.6967,Population structure converged. Difference: 0.0086
1,10,49.2860,36.8802,Warrior,57.5099,76.2347,51.8715,3.4067,10.9772,1.8667,200,56.6611,173.6528,166.1442,277.7079,255.0368,181.0044,0.0235,0.6967,Population structure converged. Difference: 0.0086
1,11,50.3527,38.0736,Warrior,64.0542,76.7606,34.3873,2.7032,22.0947,1.9124,200,56.6611,147.6421,160.1073,265.3042,216.8270,153.9077,0.0169,0.6967,Population structure converged. Difference: 0.0086
1,12,51.1112,38.5327,Warrior,74.9216,59.6638,39.3327,2.5832,23.4987,1.9124,200,56.6611,149.0137,135.7196,241.9786,218.4831,153.1791,0.0080,0.6967,Population structure converged. Difference: 0.0086
1,13,51.1112,39.3983,Warrior,74.9216,59.6638,39.3327,2.5832,23.4987,1.9124,200,56.6611,146.0433,97.0901,185.2699,189.8079,138.3671,0.0062,0.6967,Population structure converged. Difference: 0.0086
1,14,57.6290,39.8590,Warrior,93.7669,81.2008,15.8860,5.3015,3.8448,1.9127,200,56.6611,120.9174,128.3273,158.2678,172.6726,114.7870,0.0041,0.6967,Population structure converged. Difference: 0.0086
1,15,57.6290,40.7102,Warrior,93.7669,81.2008,15.8860,5.3015,3.8448,1.9127,200,56.6611,140.4810,130.7319,148.2352,150.5983,139.4689,0.0034,0.6967,Population structure converged. Difference: 0.0086
1,16,57.6290,41.5969,Warrior,93.7669,81.2008,15.8860,5.3015,3.8448,1.9127,200,56.6611,141.5739,139.3970,126.3575,122.8071,133.5685,0.0032,0.6967,Population structure converged. Difference: 0.0086
1,17,57.6290,41.5381,Warrior,93.7669,81.2008,15.8860,5.3015,3.8448,1.9127,200,56.6611,111.2785,116.7436,105.8075,132.8106,113.6218,0.0032,0.6967,Population structure converged. Difference: 0.0086
1,18,57.6290,42.0375,Warrior,93.7669,81.2008,15.8860,5.3015,3.8448,1.9127,200,56.6611,130.0519,107.8754,88.8283,127.6116,111.4166,0.0026,0.6967,Population structure converged. Difference: 0.0086
1,19,54.7713,42.5842,Warrior,95.9966,57.0327,37.3094,2.6938,6.9675,1.8667,200,56.6611,155.2647,112.8445,117.0887,119.5946,142.9725,0.0026,0.6967,Population structure converged. Difference: 0.0086
1,20,54.7713,43.3823,Warrior,95.9966,57.0327,37.3094,2.6938,6.9675,1.8667,200,56.6611,169.0964,99.1118,90.0240,94.0400,143.8592,0.0016,0.6967,Population structure converged. Difference: 0.0086
